"gene","mean_formula","var_formula"
"NOC2L",0.652088431769157,0.97481303243551
"ISG15",0.0190011903224925,0.0360250456082703
"SDF4",0.180476097300219,0.389531248005753
"UBE2J2",0.0145693059513065,0.0311440534883025
"AURKAIP1",0.0126078327455084,0.0584461363722063
"CCNL2",3.7112884077243e-05,3.64197175158311e-05
"MRPL20",0.2224763975241,0.119580978258116
"SSU72",0.000483309708756884,0.00394751748218858
"MIB2",0.000660574379357492,0.000971302148354846
"CDK11B",0.00122668711097772,0.00114476745969692
"CDK11A",0.00371491018396941,0.00307477966432505
"GNB1",0.000824446408573889,0.000454931699598039
"SKI",0.00647482517437935,0.00353998068985265
"RER1",0.786984179614959,0.668870728410686
"TNFRSF14",0.610536994733635,0.639258087516202
"TPRG1L",0.128064364127825,0.232664943834214
"LRRC47",0.0203763581722361,0.0146143320464924
"C1orf174",0.764728014395913,0.984884962524231
"KCNAB2",0.00660989356100837,0.00468897484632749
"RPL22",0.0111560808376848,0.0272401354153036
"TNFRSF25",0.0462825980491549,0.0210582415271343
"NOL9",0.000658614014528645,0.000456256493282104
"CAMTA1",0.0163182753065173,0.0589468390710158
"VAMP3",0.875060665141994,0.623650802497153
"PARK7",0.000197176925176087,0.00711681854781518
"RERE",0.000260512203480702,0.000213697275638748
"ENO1",0.0249287346393268,0.087525520681401
"PIK3CD",0.000174272368381975,0.000156990724828179
"CLSTN1",0.00405157351546774,0.00177373133141126
"LZIC",0.354555569022594,0.158830553493147
"DFFA",0.00440635729492124,0.00316118764674038
"TARDBP",5.10790795402136e-05,4.20782039616551e-05
"SRM",0.000227207412245941,0.000429080474952406
"EXOSC10",0.000165478425274261,0.000157571874048267
"FBXO6",0.389003123276957,0.341194271447282
"MAD2L2",0.000115101104637364,0.00038959609247424
"AGTRAP",0.0446882410828546,0.0864418693258666
"KIAA2013",0.338491906222244,0.261435781161205
"MIIP",0.111923560926546,0.0940047051271797
"TNFRSF1B",0.102345410070077,0.0400467297673181
"VPS13D",3.35209761273966e-05,3.25414158349275e-05
"PRDM2",3.46321301437718e-05,3.21873697670105e-05
"EFHD2",0.920270386086109,0.569590494663642
"PLEKHM2",0.0758396937801869,0.0519025339618225
"SPEN",2.86005632795725e-05,2.17133498382469e-05
"SZRD1",0.0779214049845662,0.0568436239684918
"NECAP2",0.616074843233094,0.795508389439354
"SDHB",0.265609872357129,0.441715291507056
"RCC2",0.000353349032303415,0.000268034932363417
"UBR4",0.000151646932496353,0.000137788630055452
"MRTO4",0.310973046853321,0.403728099981365
"AKR7A2",3.42366058459479e-05,3.57131470730131e-05
"CAPZB",0.260141807804816,0.320593766316463
"MINOS1",0.928299048592084,0.490898512711954
"CAMK2N1",0.164428015502107,0.172642039721261
"DDOST",0.000147105291441088,0.000228543274782705
"HP1BP3",0.000467179443016309,0.00012693754300837
"EIF4G3",0.000846096072228248,0.000399149756260916
"USP48",0.000292373223765228,0.000223850280329564
"CDC42",0.0421617083160753,0.955944210478586
"KDM1A",0.000169966611645316,0.000136308497366981
"LUZP1",0.0477731904930362,0.0179582697476547
"HNRNPR",0.011516237007741,0.00565786191176066
"RPL11",0.00855058192337097,0.248800488883923
"PITHD1",0.0182172670700767,0.0356528397754342
"LYPLA2",0.329823014082583,0.496914172775146
"PNRC2",0.000768842295268219,0.000538404407529761
"SRSF10",0.000570760049666762,0.000362502221211784
"RCAN3",0.508506322162826,0.393294162507902
"SRRM1",0.946874933626664,0.678532221536707
"RUNX3",0.841381148628468,0.821082588180975
"SYF2",0.341675103028756,0.882773700242137
"TMEM50A",0.824842807620691,0.396899216280417
"LDLRAP1",0.0118605634876255,0.00770861805627302
"STMN1",0.0650805558108516,0.230832375311263
"ZNF593",0.00293497228558836,0.00555696754410186
"SH3BGRL3",0.00122178272889726,0.046676337507346
"CD52",0.0178031780536411,0.274028571821111
"ZNF683",0.678195727733127,0.550263421800847
"HMGN2",0.630568697140633,0.921709810958632
"RPS6KA1",0.965914483623052,0.841550099809609
"ARID1A",0.000206670871167495,0.000158647532577441
"ZDHHC18",0.08388973633818,0.0691763227430119
"NUDC",0.130505506771206,0.0843794659356343
"WDTC1",0.00209356390856819,0.00172095816790986
"TMEM222",0.138821514248393,0.216826456500788
"SYTL1",0.911483887712286,0.89672657703978
"WASF2",0.241068231768831,0.12764331915967
"FGR",0.0620917085578284,0.0372081965320787
"IFI6",0.0159271297581464,0.0361369737044485
"FAM76A",0.00132326590149368,0.00122293456435422
"STX12",0.000331271515195081,0.000231133292236876
"THEMIS2",0.00653333852779868,0.00415266376715842
"RPA2",0.24171335664374,0.167715349780075
"DNAJC8",0.328495910458121,0.709412328048981
"PHACTR4",0.000144145302723789,0.000154352371861498
"TRNAU1AP",0.205334923074507,0.173993869884127
"SNHG12",0.0301590910775917,0.0261711199648367
"TAF12",0.2410284174384,0.172952246889173
"GMEB1",0.0023830794191279,0.001711963977104
"YTHDF2",0.0815138869883199,0.0290395568059747
"EPB41",6.26422388488696e-05,6.50936548787526e-05
"SRSF4",4.2494270837418e-05,3.262741532254e-05
"LAPTM5",0.00112217937568992,0.00277155322618718
"PUM1",9.5904617527145e-05,7.70066434738978e-05
"SNRNP40",0.0687678076804652,0.0649931528859565
"ZCCHC17",0.0500717525501841,0.0223883980773574
"PEF1",0.845027399155348,0.954801132003931
"PTP4A2",0.0415135665107894,0.0136992563956837
