gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
NOC2L	0.962821340626365	0.51146	0.36152	0.5345	0.40372	0.64028	0.64976	0.55748	0.58388	0.0540112240358543	0.217548227820651	0.077595807950167	0.14268	0.1246	0.12324	0.1045
ISG15	0.353055274153916	0.01898	0.00780000000000003	0.01835	0.01191	0.01939	0.02905	0.01249	0.01482	4.81796278667637e-16	0.00120468602454791	6.00612102597832e-08	0.00427	0.00244999999999995	0.00538	0.00482
SDF4	0.0528805829128388	0.19976	0.15992	0.2324	0.20572	0.16628	0.15938	0.09537	0.16268	0.0561894397726468	0.437091425445554	0.0106315955548448	0.13772	0.16864	0.10556	0.12962
UBE2J2	0.0129075526814026	0.27362	0.587	0.23944	0.54202	0.03795	0.0511	0.01356	0.02392	4.45518208305711e-08	0.000169945818357058	5.80927160404922e-06	0.02533	0.04532	0.00082	0.00333
AURKAIP1	0.00349186867177274	0.01666	0.01784	0.0189	0.01774	0.04325	0.05066	0.01151	0.01754	1.64090828147344e-08	0.0502937820578116	2.34162348342991e-10	0.05024	0.06209	0.00444	0.00468
CCNL2	0.0139325896181054	0.00161	0.00117999999999996	0.00096	0.00103	0.00394000000000005	0.00619999999999998	5e-05	0.00074	3.16943706802831e-16	3.33200815110687e-06	6.71655627647824e-14	0.00310999999999995	0.00654999999999995	5e-05	0.00023
MRPL20	0.0050567903183842	0.44062	0.5118	0.44424	0.5156	0.26564	0.57842	0.22782	0.52142	1.35536005281142e-08	0.000109484745862996	4.11025010067519e-07	0.4693	0.4207	0.44578	0.36574
SSU72	0.0200701117694523	0.0606	0.10876	0.06508	0.11482	0.00294000000000005	0.00839999999999996	0.00071	0.00261	1.66094805733676e-06	0.0106409772697554	2.18226838976603e-07	0.0145999999999999	0.02512	0.00024	0.00092
MIB2	0.607514270430503	0.17678	0.1578	0.21194	0.21032	0.00273000000000001	0.10706	0.00538	0.1359	0.000559336321074744	0.0288938287900092	0.0101192320476285	0.00632999999999995	0.00451999999999997	0.01066	0.00844
CDK11B	0.0525324643858199	0.13706	0.11316	0.06486	0.0618	0.01361	0.04658	0.00083	0.00541	3.5829096178389e-10	8.67260834257998e-05	2.27597637401482e-06	0.00617999999999996	0.00919000000000003	0.00052	0.00255
CDK11A	0.617497240016971	0.97888	0.94702	0.98028	0.95714	0.01379	0.01993	0.00329	0.01103	0.00102463175926382	0.0405814148407781	0.262401233658591	0.00616000000000005	0.01006	0.00073	0.00112
GNB1	0.881586067098686	0.74478	0.99574	0.74886	0.9948	0.00309000000000004	0.0148700000000001	0.00144	0.00764	2.86931826251174e-05	0.00413160440463462	0.0437394921010574	0.09143	0.08882	0.03995	0.04878
SKI	0.0632649035155385	0.44176	0.47212	0.4438	0.4524	0.0616100000000001	0.24094	0.03907	0.20674	0.000837066115042196	0.00188137597894756	0.269226049395295	0.0166500000000001	0.01778	0.00836	0.011
RER1	0.127623662666235	0.5774	0.60212	0.54168	0.5542	0.94484	0.9924	0.93718	0.9888	0.0321494941065294	0.0942308882063723	0.335057132877213	0.07279	0.03691	0.03517	0.0367
TNFRSF14	0.883988749801597	0.82974	0.84472	0.8144	0.8515	0.53558	0.36722	0.52914	0.35512	4.42667211404454e-05	0.0145716562235775	0.0796762938371027	0.8625	0.64638	0.8694	0.64682
TPRG1L	0.288398403694162	0.66722	0.65206	0.69658	0.69	0.1241	0.24004	0.1234	0.28396	0.480281210573095	0.599348191023127	0.216284945372635	0.0399	0.04943	0.00831	0.01686
LRRC47	0.547030677356521	0.93772	0.97158	0.92508	0.9898	0.05135	0.15526	0.03674	0.1285	0.00378499613331677	0.0196399279164452	0.606150962254685	0.000659999999999994	0.00753999999999999	0.00029	0.01431
C1orf174	0.927308662907369	0.3309	0.26924	0.33766	0.25858	0.76362	0.76018	0.76224	0.74752	0.00205805770331124	0.00365471330464031	0.987745183899635	0.48866	0.4729	0.51584	0.5068
KCNAB2	0.0174708001751422	0.02721	0.03426	0.02722	0.03772	0.0164299999999999	0.02455	0.01131	0.02168	1.88661054206523e-06	0.000608596951002848	0.00331982012749567	0.00158999999999998	0.00197999999999998	0.00023	0.00144
RPL22	0.00496437121620913	0.00112000000000001	0.00102999999999998	0.00254	0.00249	0.004	0.00344999999999995	0.00388	0.00439	3.90481633190389e-15	0.000492968611884438	5.55220323038581e-16	0.00055000000000005	0.000589999999999979	0.00115	0.00191
TNFRSF25	0.470375765110306	0.20456	0.23342	0.22834	0.24948	0.04311	0.07167	0.04151	0.07636	0.00578526346458222	0.0105671714884045	0.740205482702582	0.05423	0.07736	0.04125	0.05667
NOL9	0.0879836635693162	0.00536000000000003	0.00405999999999995	0.00538	0.00495	0.00575999999999999	0.01127	0.00143	0.00232	1.5485220338309e-07	6.68350101691201e-06	0.000779162555032545	0.000149999999999983	0.000430000000000041	0.00013	0.00092
CAMTA1	0.0654715919770654	0.26072	0.16496	0.21178	0.14448	0.00838000000000005	0.00648000000000004	0.012	0.00961	0.00133992026273047	0.00284329720528639	0.0466454111665762	0.01214	0.0206499999999999	0.0059	0.01352
