gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
NOC2L	0.25994	0.30198	0.1504	0.22272
ISG15	0.11308	0.07896	0.10374	0.06359
SDF4	0.34388	0.22288	0.29934	0.29062
UBE2J2	0.35792	0.2588	0.26056	0.16208
AURKAIP1	0.6975	0.5595	0.67032	0.52178
CCNL2	0.19824	0.20728	0.1341	0.1533
MRPL20	0.32006	0.3559	0.3075	0.32144
SSU72	0.0895899999999999	0.11684	0.08461	0.10152
MIB2	0.30626	0.8418	0.3972	0.8266
CDK11B	0.21954	0.35114	0.1266	0.2135
CDK11A	0.21482	0.31638	0.1567	0.2952
GNB1	0.10152	0.05854	0.08196	0.04255
SKI	0.6806	0.71418	0.63664	0.6643
RER1	0.195	0.26096	0.12224	0.16374
TNFRSF14	0.8004	0.47338	0.79872	0.44082
TPRG1L	0.12088	0.27648	0.1183	0.2062
LRRC47	0.2763	0.46512	0.23848	0.36972
C1orf174	0.86366	0.83142	0.76268	0.71142
KCNAB2	0.10554	0.08922	0.08536	0.06993
RPL22	0.02723	0.01287	0.03159	0.01833
TNFRSF25	0.89282	0.90484	0.95244	0.90358
NOL9	0.33992	0.38018	0.3021	0.32934
CAMTA1	0.02234	0.05232	0.03522	0.07782
VAMP3	0.77678	0.81132	0.8204	0.85568
PARK7	0.39254	0.38668	0.34008	0.32952
RERE	0.28112	0.42622	0.19778	0.4331
ENO1	0.22752	0.19004	0.16308	0.1136
PIK3CD	0.2919	0.45324	0.22152	0.4605
CLSTN1	0.0587800000000001	0.0406800000000001	0.0734	0.05403
LZIC	0.5247	0.66084	0.44642	0.57378
DFFA	0.29726	0.43722	0.19888	0.32784
TARDBP	0.18928	0.19132	0.11264	0.12012
SRM	0.03254	0.0343599999999999	0.03966	0.04112
EXOSC10	0.13892	0.18308	0.12454	0.19328
FBXO6	0.21906	0.16558	0.17394	0.10736
MAD2L2	0.23738	0.30132	0.2765	0.3457
AGTRAP	0.94548	0.92356	0.97648	0.78826
KIAA2013	0.42718	0.8315	0.29376	0.80896
MIIP	0.31504	0.24002	0.219	0.14666
TNFRSF1B	0.15568	0.2899	0.07128	0.21718
VPS13D	0.11836	0.05894	0.09596	0.07251
PRDM2	0.16128	0.13604	0.09597	0.09631
EFHD2	0.12616	0.21022	0.14716	0.23352
PLEKHM2	0.96116	0.98066	0.96686	0.90908
SPEN	0.11866	0.12024	0.10242	0.1237
SZRD1	0.32962	0.35582	0.22252	0.2503
NECAP2	0.46632	0.89932	0.40496	0.84872
SDHB	0.96282	0.90542	0.93974	0.84254
RCC2	0.11146	0.06595	0.07699	0.05238
UBR4	0.10878	0.09978	0.07436	0.06681
MRTO4	0.00585000000000002	0.00953000000000004	0.00915	0.00779
AKR7A2	0.12834	0.2406	0.08453	0.19684
CAPZB	0.998	0.74406	0.99342	0.67208
MINOS1	0.69232	0.87904	0.6629	0.82146
CAMK2N1	0.403	0.47272	0.39368	0.46636
DDOST	0.23968	0.29628	0.17538	0.23688
HP1BP3	0.11034	0.10382	0.1297	0.13314
EIF4G3	0.08521	0.10894	0.06967	0.10718
USP48	0.11626	0.11694	0.10258	0.11436
CDC42	0.64394	0.62762	0.59974	0.58184
KDM1A	0.13292	0.18832	0.13616	0.22102
LUZP1	0.88178	0.97262	0.79782	0.96888
HNRNPR	0.0973000000000001	0.1364	0.10814	0.14388
RPL11	0.0688800000000001	0.03448	0.04629	0.02996
PITHD1	0.02456	0.06941	0.03672	0.09874
LYPLA2	0.93102	0.77752	0.9268	0.74136
PNRC2	0.05171	0.03878	0.05863	0.04525
SRSF10	0.29808	0.42548	0.18426	0.28526
RCAN3	0.69768	0.4274	0.66048	0.40268
SRRM1	0.64344	0.80948	0.7119	0.91178
RUNX3	0.93676	0.7864	0.98528	0.87012
SYF2	0.54736	0.7173	0.62096	0.67078
TMEM50A	0.36364	0.3906	0.2489	0.27482
LDLRAP1	0.8574	0.57312	0.7812	0.50262
STMN1	0.5895	0.59034	0.67786	0.69866
ZNF593	0.06382	0.06614	0.1073	0.12752
SH3BGRL3	0.57324	0.80752	0.44522	0.76262
CD52	0.70628	0.69796	0.54248	0.46794
ZNF683	0.12892	0.0913	0.08601	0.05689
HMGN2	0.87162	0.89064	0.90574	0.93568
RPS6KA1	0.29086	0.39326	0.1615	0.25764
ARID1A	0.13632	0.1659	0.12394	0.17122
ZDHHC18	0.75656	0.92108	0.68006	0.8546
NUDC	0.06091	0.02481	0.07078	0.03189
WDTC1	0.17216	0.3151	0.16558	0.33052
TMEM222	0.71038	0.60108	0.59998	0.41974
SYTL1	0.82424	0.93718	0.7437	0.94088
WASF2	0.50006	0.5823	0.3339	0.46704
FGR	0.18296	0.14574	0.1171	0.09574
IFI6	0.12342	0.10328	0.12118	0.10074
FAM76A	0.47306	0.74252	0.37786	0.66456
STX12	0.15928	0.18202	0.13146	0.16512
THEMIS2	0.23304	0.31302	0.148	0.23384
RPA2	0.11262	0.18132	0.15262	0.21254
DNAJC8	0.57654	0.32432	0.50286	0.30032
PHACTR4	0.19214	0.24992	0.12898	0.16938
TRNAU1AP	0.35052	0.53374	0.2839	0.44352
SNHG12	0.7131	0.91216	0.76596	0.90274
TAF12	0.14546	0.14488	0.1359	0.1077
GMEB1	0.50824	0.93148	0.48456	0.94918
YTHDF2	0.68388	0.92336	0.64648	0.8977
EPB41	0.0825399999999999	0.07612	0.08039	0.08534
SRSF4	0.12902	0.12636	0.08736	0.10034
LAPTM5	0.03592	0.03205	0.05467	0.04703
PUM1	0.11976	0.11156	0.10002	0.10102
SNRNP40	0.1291	0.2283	0.15006	0.24696
ZCCHC17	0.08438	0.05037	0.09848	0.0673
PEF1	0.71248	0.48602	0.6712	0.44138
PTP4A2	0.03545	0.02207	0.05364	0.04056
KHDRBS1	0.10718	0.13228	0.11138	0.13042
KPNA6	0.32238	0.47468	0.197	0.33646
TXLNA	0.13044	0.1735	0.12338	0.18764
EIF3I	0.22096	0.20864	0.20278	0.16414
LCK	0.65052	0.79346	0.583	0.7808
HDAC1	0.50108	0.58934	0.50556	0.62338
MARCKSL1	0.1264	0.07395	0.13708	0.10086
BSDC1	0.73734	0.95432	0.63008	0.90268
ZBTB8OS	0.29706	0.47086	0.31818	0.48528
RBBP4	0.19678	0.22334	0.09336	0.10228
SYNC	0.62256	0.67184	0.36172	0.41854
YARS	0.33756	0.25446	0.18016	0.12692
S100PBP	0.2585	0.25256	0.17778	0.23576
AK2	0.2393	0.44112	0.25174	0.4676
PHC2	0.9235	0.6285	0.90722	0.72216
SMIM12	0.93244	0.97424	0.82044	0.88448
SFPQ	0.20216	0.24282	0.14664	0.18786
ZMYM4	0.10998	0.11536	0.09318	0.12864
PSMB2	0.66502	0.99376	0.60688	0.98832
AGO4	0.12996	0.1495	0.13018	0.17994
AGO1	0.42154	0.74488	0.35534	0.72622
AGO3	0.16214	0.16144	0.13544	0.15528
TRAPPC3	0.75786	0.9307	0.7183	0.87574
