"gene","theta_formula"
"NOC2L",0.00789698259672678
"ISG15",0.532623169909979
"SDF4",0.000204156729928445
"UBE2J2",0.000175435100545894
"AURKAIP1",0.0197357403967067
"CCNL2",0.339411435463743
"MRPL20",0.0589685373763725
"SSU72",0.000391929040200498
"MIB2",0.00111714139587149
"CDK11B",0.0116246205641968
"CDK11A",0.0033323675887727
"GNB1",9.92099303303728e-05
"SKI",0.0097275732221894
"RER1",0.0327698169880917
"TNFRSF14",0.764779673128634
"TPRG1L",0.00129324923344464
"LRRC47",0.00555967585878746
"C1orf174",8.2496610544204e-05
"KCNAB2",0.0312636448903055
"RPL22",0.0305735934071555
"TNFRSF25",0.303718664942471
"NOL9",0.0210283157504104
"CAMTA1",0.000168637832207644
"VAMP3",8.74714697540522e-05
"PARK7",0.0286257457543593
"RERE",0.0113073001257178
"ENO1",0.0625058789895553
"PIK3CD",0.46227988081725
"CLSTN1",0.011030445433793
"LZIC",0.000522509859348542
"DFFA",0.377702744814599
"TARDBP",0.00216010291720988
"SRM",0.000149479064039665
"EXOSC10",0.958737957172406
"FBXO6",0.127037001296632
"MAD2L2",9.69998808059649e-06
"AGTRAP",0.00134280508290609
"KIAA2013",0.00174955610375493
"MIIP",0.00456001080257028
"TNFRSF1B",0.157882025780569
"VPS13D",0.963321965651554
"PRDM2",0.000620211568976246
"EFHD2",0.634782884943267
"PLEKHM2",0.0619700070389899
"SPEN",0.526535292448289
"SZRD1",0.00033579524083379
"NECAP2",0.00488301442551425
"SDHB",0.00244616839592889
"RCC2",0.0152939725409344
"UBR4",0.98596881511506
"MRTO4",0.0390643476054267
"AKR7A2",0.00011789545445655
"CAPZB",0.969109597813933
"MINOS1",0.0019811035377268
"CAMK2N1",0.141282753154245
"DDOST",0.00126448447532786
"HP1BP3",0.00204035192734031
"EIF4G3",0.0130666303926915
"USP48",0.244593683704759
"CDC42",0.00355438633143134
"KDM1A",0.267862452132777
"LUZP1",0.00119336359213055
"HNRNPR",0.0183208294153065
"RPL11",0.012958002964079
"PITHD1",0.00034725226712476
"LYPLA2",7.86087602258983e-05
"PNRC2",0.00526655976923968
"SRSF10",0.00856236263465292
"RCAN3",0.939603604216332
"SRRM1",0.0118883296047805
"RUNX3",0.0186503458376916
"SYF2",0.000307236090865654
"TMEM50A",0.000410316672105608
"LDLRAP1",0.584173018824036
"STMN1",0.285109243987609
"ZNF593",8.13381901719729e-05
"SH3BGRL3",0.0151410751820893
"CD52",0.0685349541086918
"ZNF683",0.99503806694007
"HMGN2",0.590226168516171
"RPS6KA1",0.035248178949156
"ARID1A",0.0674230489030666
"ZDHHC18",0.00751065703788673
"NUDC",0.0868495051295364
"WDTC1",0.01615859084245
"TMEM222",0.000121417449413464
"SYTL1",0.000289122985811411
"WASF2",0.0017836764137124
"FGR",0.66305563598129
"IFI6",0.950673905519128
"FAM76A",0.172056409434448
"STX12",0.00904320370321316
"THEMIS2",0.566090429479336
"RPA2",0.0716357065615783
"DNAJC8",0.000311691774398187
"PHACTR4",0.888569095669462
"TRNAU1AP",0.037361298730626
"SNHG12",0.366194833460481
"TAF12",0.00421902202112264
"GMEB1",0.0159323960906876
"YTHDF2",0.000604403542770457
"EPB41",0.0101268769576938
"SRSF4",0.000102441200366963
"LAPTM5",0.17413239749975
"PUM1",0.214495772917443
"SNRNP40",0.545232952899248
"ZCCHC17",0.181004417903174
"PEF1",0.00362600069801742
"PTP4A2",0.000616721189056416
"KHDRBS1",0.0126996736785057
"KPNA6",0.00267728334531565
"TXLNA",0.879966830562314
"EIF3I",0.255629320343128
"LCK",0.731580236135615
"HDAC1",0.014945599761441
"MARCKSL1",0.105576039595767
"BSDC1",0.0130694872584358
"ZBTB8OS",0.00149964858163979
"RBBP4",0.000134646743451695
"SYNC",0.152655194857202
"YARS",0.105078552921134
"S100PBP",0.830180588157305
"AK2",0.340565867173088
"PHC2",0.000560249857697365
"SMIM12",9.61125928737379e-05
"SFPQ",0.00195571193782493
"ZMYM4",0.026254685244255
"PSMB2",0.4820943818573
"AGO4",0.0512729222163172
"AGO1",0.00653950248876752
"AGO3",0.364712588924127
"TRAPPC3",0.000969182557442838
"MAP7D1",0.0393793921672567
"THRAP3",0.0104421614102754
"LSM10",0.000267775723023754
"MRPS15",0.0255634629348424
"ZC3H12A",0.00117519754957089
"MEAF6",0.00111617959922544
"YRDC",0.00136031354313436
"C1orf122",3.26485238821053e-05
"SF3A3",0.199506210584719
"RRAGC",0.00083956045977602
"AKIRIN1",0.0022985767763881
"NDUFS5",0.000855792355475835
"MACF1",0.0216719675298844
"PABPC4",0.0742614515894374
"PPIE",0.00190364517381197
"CAP1",0.226260792205348
"PPT1",0.00197291291708573
"RLF",0.0214708339430447
"SMAP2",0.0370222334065241
"NFYC",0.016057099235041
"CTPS1",0.0142405110212962
"HIVEP3",0.0511075702153608
"FOXJ3",0.659830277698735
"PPCS",0.00295350046599389
"PPIH",0.00432300943864973
"YBX1",0.0224458486073075
"EBNA1BP2",0.00290702976092754
"ELOVL1",9.2919594534295e-06
"MED8",0.00066155097506609
"ATP6V0B",0.00102629284889784
"DMAP1",0.00209831520443367
"ERI3",0.000148055503242565
"RNF220",0.000629776055482599
"RPS8",0.0209737419957296
"PLK3",0.142685929144059
"UROD",0.000443480494249603
"PRDX1",0.0153345463065495
"AKR1A1",0.00261751479705136
"NASP",0.589512878587658
"GPBP1L1",0.00480773662113882
"POMGNT1",0.00722620882534927
"UQCRH",0.0181222420063008
"MKNK1",0.002383749889729
"ATPAF1",0.000525156623159
"EFCAB14",0.0288029421109404
"CMPK1",0.0198686366192473
"FAF1",0.0130711451289989
"RNF11",0.000514217927742914
"EPS15",0.00685586788202972
"OSBPL9",0.0867484192416008
"TXNDC12",0.00021353164448563
"KTI12",0.000317384711689033
"BTF3L4",0.034269836109862
"PRPF38A",0.00537098573232261
"ECHDC2",0.00441172353955967
"SCP2",0.00299650842340614
"C1orf123",0.000526716644077953
"MAGOH",0.00107791975250688
"HSPB11",0.00809712534043494
"TMEM59",0.000444574822261431
"SSBP3",0.342408896737238
"USP24",0.944811865201131
"MYSM1",0.442083546420807
"JUN",0.00113464604106839
"TM2D1",0.00309944233499021
"USP1",0.0872409654588922
"JAK1",6.20103191964985e-05
"LEPROT",0.000235152307884705
"PDE4B",0.587066626980619
"MIER1",0.0133081605573117
