gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
NOC2L	0.50538	0.40536	0.4113	0.3181
ISG15	0.09451	0.04095	0.11678	0.05995
SDF4	0.4682	0.71738	0.48764	0.77292
UBE2J2	0.25754	0.38164	0.11776	0.2573
AURKAIP1	0.96228	0.98544	0.96222	0.96958
CCNL2	0.16748	0.16936	0.10774	0.11088
MRPL20	0.93692	0.78052	0.93202	0.71412
SSU72	0.40152	0.36942	0.22468	0.2143
MIB2	0.17926	0.37294	0.24444	0.44052
CDK11B	0.19614	0.26172	0.13062	0.22602
CDK11A	0.29018	0.3731	0.22368	0.33102
GNB1	0.28116	0.24118	0.19506	0.16132
SKI	0.34692	0.24344	0.3163	0.22912
RER1	0.702	0.41754	0.63228	0.39562
TNFRSF14	0.83146	0.68844	0.72434	0.77016
TPRG1L	0.2982	0.30128	0.18962	0.21486
LRRC47	0.79022	0.77556	0.7876	0.78632
C1orf174	0.13192	0.17116	0.12406	0.17118
KCNAB2	0.1018	0.0562	0.08821	0.06238
RPL22	0.04775	0.02144	0.06322	0.02936
TNFRSF25	0.77518	0.53766	0.65898	0.43356
NOL9	0.248	0.4264	0.26238	0.4595
CAMTA1	0.55364	0.64658	0.47426	0.54534
VAMP3	0.2162	0.4113	0.20904	0.46396
PARK7	0.48026	0.51054	0.46682	0.50872
RERE	0.23662	0.33096	0.12656	0.19474
ENO1	0.31356	0.2743	0.26354	0.2038
PIK3CD	0.37726	0.68598	0.24928	0.59034
CLSTN1	0.22692	0.32638	0.26552	0.34388
LZIC	0.66992	0.54274	0.68694	0.63992
DFFA	0.4458	0.57992	0.43362	0.56786
TARDBP	0.30664	0.32094	0.16276	0.21366
SRM	0.1491	0.1778	0.10728	0.17416
EXOSC10	0.09887	0.0453	0.07963	0.04402
FBXO6	0.32514	0.2278	0.24772	0.17268
MAD2L2	0.79054	0.68266	0.6973	0.5505
AGTRAP	0.54954	0.52014	0.43952	0.33728
KIAA2013	0.10328	0.07607	0.02382	0.01722
MIIP	0.1511	0.31494	0.0891	0.3172
TNFRSF1B	0.29118	0.24814	0.26868	0.33428
VPS13D	0.19428	0.16592	0.13472	0.13464
PRDM2	0.2717	0.32052	0.19966	0.21814
EFHD2	0.11328	0.10494	0.13372	0.12744
PLEKHM2	0.46104	0.47554	0.29792	0.27
SPEN	0.14928	0.1074	0.11978	0.10044
SZRD1	0.5673	0.76396	0.431	0.54364
NECAP2	0.04788	0.0515	0.03036	0.02712
SDHB	0.96922	0.81254	0.95888	0.7563
RCC2	0.19586	0.15696	0.08529	0.06449
UBR4	0.0507	0.04486	0.03478	0.02292
MRTO4	0.06481	0.05074	0.09714	0.08763
AKR7A2	0.26298	0.43356	0.16694	0.33768
CAPZB	0.64796	0.48558	0.6551	0.46086
MINOS1	0.22338	0.0668800000000001	0.26374	0.1093
CAMK2N1	0.06219	0.06776	0.05212	0.05512
DDOST	0.5724	0.81724	0.48896	0.82772
HP1BP3	0.76324	0.68312	0.76838	0.68838
EIF4G3	0.0815200000000001	0.04705	0.06608	0.05304
USP48	0.21252	0.28646	0.2075	0.31976
CDC42	0.96048	0.88716	0.86478	0.92294
KDM1A	0.5058	0.53074	0.48304	0.50178
LUZP1	0.5352	0.4537	0.52798	0.46174
HNRNPR	0.84372	0.93932	0.80696	0.91854
RPL11	0.14158	0.09111	0.0978	0.06577
PITHD1	0.02115	0.02105	0.03244	0.02979
LYPLA2	0.5599	0.55596	0.52774	0.46892
PNRC2	0.5082	0.47814	0.5236	0.50886
SRSF10	0.47252	0.82566	0.38572	0.79176
RCAN3	0.80138	0.47782	0.70206	0.41386
SRRM1	0.70464	0.68204	0.72154	0.71122
RUNX3	0.53952	0.45046	0.50958	0.44204
SYF2	0.76176	0.91014	0.88046	0.88678
TMEM50A	0.96368	0.9806	0.9317	0.96738
LDLRAP1	0.2132	0.37238	0.24752	0.4346
STMN1	0.28232	0.3515	0.35562	0.44728
ZNF593	0.32786	0.3097	0.37662	0.37436
SH3BGRL3	0.72342	0.95306	0.7177	0.94524
CD52	0.57714	0.75172	0.5761	0.80092
ZNF683	0.172	0.1291	0.12994	0.1278
HMGN2	0.64966	0.51962	0.66922	0.56998
RPS6KA1	0.1868	0.39832	0.09609	0.28282
ARID1A	0.11648	0.13564	0.07233	0.0897
ZDHHC18	0.34744	0.42538	0.25588	0.30862
NUDC	0.80132	0.98226	0.79202	0.98556
WDTC1	0.16516	0.29516	0.1808	0.31752
TMEM222	0.96946	0.99176	0.96656	0.9679
SYTL1	0.27568	0.33218	0.27804	0.35112
WASF2	0.34942	0.61488	0.22982	0.3973
FGR	0.11124	0.0939	0.0794	0.07383
IFI6	0.08455	0.05528	0.10774	0.07619
FAM76A	0.07143	0.11462	0.0738	0.1162
STX12	0.19114	0.27338	0.14002	0.26608
THEMIS2	0.11608	0.14004	0.09552	0.13456
RPA2	0.29268	0.29074	0.24134	0.28314
