"gene","DESeq2_qvalue","PS_dca_direct_Was_qvalue","log_mean_pvalue","log_pseudo_theta_pvalue"
"NOC2L","0.64338087638746","0.307328717948718","0.652088431769157","0.00789698259672678"
"ISG15","0.413077673818862","0.0116081412103746","0.0190011903224925","0.532623169909979"
"SDF4","0.167529658918233","0.0661970944309927","0.180476097300219","0.000204156729928445"
"UBE2J2","0.0856629319830079","0.0124412517780939","0.0145693059513065","0.000175435100545894"
"AURKAIP1","0.0493356216961655","0.0108576965265082","0.0126078327455084","0.0197357403967067"
"CCNL2","0.0886329978366918","0.00116817593790427","3.7112884077243e-05","0.339411435463743"
"MRPL20","0.0564618081237287","0.141190391544559","0.2224763975241","0.0589685373763725"
"SSU72","0.107281800727443","0.00143896307934014","0.000483309708756884","0.000391929040200498"
"MIB2","0.528804428624875","0.00584437894736842","0.000660574379357492","0.00111714139587149"
"CDK11B","0.16662364374355","0.00156306569343066","0.00122668711097772","0.0116246205641968"
"CDK11A","0.533664166983702","0.00391883656509695","0.00371491018396941","0.0033323675887727"
"GNB1","0.619101735817486","0.00217009345794393","0.000824446408573889","9.92099303303728e-05"
"SKI","0.18139857032819","0.0304257772411711","0.00647482517437935","0.0097275732221894"
"RER1","0.251226509822565","0.47308244961847","0.786984179614959","0.0327698169880917"
"TNFRSF14","0.619306071808677","0.294093321844033","0.610536994733635","0.764779673128634"
"TPRG1L","0.378502845391064","0.0828015604681404","0.128064364127825","0.00129324923344464"
"LRRC47","0.504849166337819","0.028863946406821","0.0203763581722361","0.00555967585878746"
"C1orf174","0.634206256581548","0.399873769825132","0.764728014395913","8.2496610544204e-05"
"KCNAB2","0.0987378220953598","0.0107042553191489","0.00660989356100837","0.0312636448903055"
"RPL22","0.056435978243798","0.00445897550111359","0.0111560808376848","0.0305735934071555"
"TNFRSF25","0.472898638701482","0.0320166816143498","0.0462825980491549","0.303718664942471"
"NOL9","0.210212882346449","0.00216514084507042","0.000658614014528645","0.0210283157504104"
"CAMTA1","0.184391612129064","0.0112295973884657","0.0163182753065173","0.000168637832207644"
"VAMP3","0.490252991173988","0.476518640093787","0.875060665141994","8.74714697540522e-05"
"PARK7","0.00755441156749096","0.00133409290096407","0.000197176925176087","0.0286257457543593"
"RERE","0.619401492440305","0.00162620396600567","0.000260512203480702","0.0113073001257178"
"ENO1","0.0211590472916484","0.0234148542776559","0.0249287346393268","0.0625058789895553"
"PIK3CD","0.139201120128094","0.00120139697322468","0.000174272368381975","0.46227988081725"
"CLSTN1","0.600235395312587","0.00673590890605937","0.00405157351546774","0.011030445433793"
"LZIC","0.418110495151912","0.213824965955515","0.354555569022594","0.000522509859348542"
"DFFA","0.596056275316553","0.0107791285243501","0.00440635729492124","0.377702744814599"
"TARDBP","0.550079930689557","0.00116817593790427","5.10790795402136e-05","0.00216010291720988"
"SRM","0.100703018810789","0.00122724324324324","0.000227207412245941","0.000149479064039665"
"EXOSC10","0.230772834145575","0.00116817593790427","0.000165478425274261","0.958737957172406"
"FBXO6","0.517951497165934","0.201057575757576","0.389003123276957","0.127037001296632"
"MAD2L2","0.242069875436857","0.00116817593790427","0.000115101104637364","9.69998808059649e-06"
"AGTRAP","0.614192138200338","0.0313313343328336","0.0446882410828546","0.00134280508290609"
"KIAA2013","0.566074206777714","0.24419106468104","0.338491906222244","0.00174955610375493"
"MIIP","0.649440358653056","0.0701100399467377","0.111923560926546","0.00456001080257028"
"TNFRSF1B","0.378314317833658","0.0591757989620322","0.102345410070077","0.157882025780569"
"VPS13D","0.0212591710368698","0.00116817593790427","3.35209761273966e-05","0.963321965651554"
"PRDM2","0.306502187917837","0.00116817593790427","3.46321301437718e-05","0.000620211568976246"
"EFHD2","0.408355375299572","0.446989207353232","0.920270386086109","0.634782884943267"
"PLEKHM2","0.172732882045668","0.0693146673791077","0.0758396937801869","0.0619700070389899"
"SPEN","0.0670448853184382","0.00116817593790427","2.86005632795725e-05","0.526535292448289"
"SZRD1","0.59425816953807","0.0477591525423729","0.0779214049845662","0.00033579524083379"
"NECAP2","0.198856513598141","0.28354821080026","0.616074843233094","0.00488301442551425"
"SDHB","0.127990120715466","0.160928034066714","0.265609872357129","0.00244616839592889"
"RCC2","0.547161878643364","0.00133448275862069","0.000353349032303415","0.0152939725409344"
"UBR4","0.567641606081924","0.00122724324324324","0.000151646932496353","0.98596881511506"
"MRTO4","0.387955533887036","0.245163038649489","0.310973046853321","0.0390643476054267"
