gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
NOC2L	0.16608	0.13042	0.1776	0.1426
ISG15	0.06346	0.02283	0.06726	0.03573
SDF4	0.68716	0.55106	0.72682	0.61468
UBE2J2	0.47668	0.52082	0.46396	0.51224
AURKAIP1	0.36614	0.27486	0.30586	0.2307
CCNL2	0.02006	0.01156	0.01485	0.01142
MRPL20	0.27206	0.2057	0.27732	0.22696
SSU72	0.15298	0.13314	0.17662	0.16258
MIB2	0.0397999999999999	0.03187	0.04244	0.02909
CDK11B	0.9442	0.8556	0.9713	0.86606
CDK11A	0.35596	0.29962	0.42166	0.37248
GNB1	0.98474	0.79494	0.9354	0.84956
SKI	0.53088	0.57396	0.44434	0.42738
RER1	0.15292	0.1302	0.13604	0.10015
TNFRSF14	0.92944	0.9513	0.80958	0.80614
TPRG1L	0.85334	0.72746	0.87742	0.76232
LRRC47	0.3102	0.26288	0.36904	0.31326
C1orf174	0.90364	0.87306	0.82574	0.7342
KCNAB2	0.11774	0.07275	0.136	0.10338
RPL22	0.10692	0.08307	0.10478	0.08775
TNFRSF25	0.35678	0.55934	0.3353	0.4851
NOL9	0.10472	0.13116	0.07627	0.12002
CAMTA1	0.31724	0.26224	0.21174	0.19752
VAMP3	0.64952	0.55324	0.72474	0.62596
PARK7	0.33658	0.28774	0.33412	0.25408
RERE	0.75768	0.53684	0.90044	0.6632
ENO1	0.95976	0.9657	0.94448	0.9623
PIK3CD	0.26642	0.31416	0.2567	0.31728
CLSTN1	0.2304	0.2722	0.2382	0.28538
LZIC	0.60544	0.8815	0.70022	0.95358
DFFA	0.16802	0.15774	0.24548	0.23588
TARDBP	0.7943	0.61614	0.74464	0.59478
SRM	0.6357	0.76932	0.70202	0.8329
EXOSC10	0.9346	0.6335	0.9223	0.63822
FBXO6	0.92272	0.68166	0.87448	0.6581
MAD2L2	0.27668	0.43676	0.11284	0.21044
AGTRAP	0.7281	0.74352	0.56434	0.57498
KIAA2013	0.49282	0.3713	0.48992	0.40828
MIIP	0.25028	0.31528	0.31962	0.4139
TNFRSF1B	0.3122	0.32796	0.3689	0.42504
VPS13D	0.45624	0.51496	0.44418	0.52968
PRDM2	0.1825	0.15822	0.0924	0.05667
EFHD2	0.23608	0.18186	0.25494	0.19224
PLEKHM2	0.05132	0.04584	0.0937	0.06912
SPEN	0.02835	0.02234	0.02116	0.02373
SZRD1	0.99508	0.82624	0.9644	0.69114
NECAP2	0.00422999999999996	0.00395999999999996	0.00425	0.00702
SDHB	0.94188	0.68058	0.85316	0.62118
RCC2	0.07079	0.06946	0.0344	0.03985
UBR4	0.34366	0.69044	0.39674	0.64372
MRTO4	0.22492	0.33114	0.23158	0.3313
AKR7A2	0.19474	0.18612	0.10974	0.09406
CAPZB	0.46494	0.63104	0.47912	0.6119
MINOS1	0.82562	0.6964	0.8343	0.7405
