gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
GNB1	0.5918	0.8854	0.5726	0.7986
SLC2A5	0.6214	0.6468	0.5318	0.5688
RERE	0.8254	0.9304	0.7636	0.9
EIF4G3	0.9184	0.9018	0.891	0.8458
CAPZB	0.5442	0.5354	0.5196	0.4942
STMN1	0.7752	0.728	0.7242	0.6742
ARID1A	0.7632	0.691	0.6622	0.5944
WASF2	0.8058	0.8044	0.6944	0.7482
EPB41	0.7298	0.7208	0.59	0.6366
C1QC	0.342	0.3114	0.2296	0.1722
C1QB	0.854	0.8206	0.7926	0.7538
C1QA	0.3958	0.3838	0.318	0.301
SMAP2	0.2736	0.3706	0.2466	0.358
CSF3R	0.4776	0.4518	0.24	0.2826
HIVEP3	0.4028	0.438	0.1514	0.2172
MACF1	0.8776	0.8128	0.8464	0.784
PUM1	0.7922	0.9016	0.7636	0.8808
LAPTM5	0.3998	0.4708	0.3274	0.4318
MKNK1	0.537	0.5846	0.4054	0.5044
NFIA	0.0436	0.0575	0.036	0.0695
PDE4B	0.518	0.6172	0.4372	0.5874
FAF1	0.965	0.9116	0.9414	0.874
PKN2	0.609	0.5994	0.4354	0.4646
EVI5	0.9576	0.9978	0.9344	0.9938
ST6GALNAC3	0.6738	0.906	0.6288	0.8916
CCDC18-AS1	0.6504	0.6322	0.4976	0.4826
RAP1A	0.922	0.9904	0.895	0.992
PRPF38B	0.8238	0.7664	0.7906	0.7472
CTTNBP2NL	0.3	0.2512	0.2284	0.2108
CD53	0.9982	0.918	0.9972	0.8926
SRGAP2C	0.3168	0.4254	0.187	0.307
SRGAP2B	0.5082	0.6382	0.4102	0.5572
LINC02798	0.5742	0.86	0.5674	0.8296
ASH1L	0.5662	0.6744	0.368	0.5166
ATF6	0.5074	0.5148	0.4824	0.4878
COP1	0.83	0.8222	0.7726	0.7752
RABGAP1L	0.8058	0.659	0.7312	0.5376
IFI16	0.779	0.9046	0.628	0.848
RCSD1	0.7192	0.5858	0.5488	0.4624
RASAL2	0.89	0.7044	0.8674	0.6634
PTPRC_ENSG00000081237	0.8466	0.896	0.827	0.8832
NPL	0.307	0.305	0.3318	0.3486
FAM177B	0.3954	0.6326	0.2142	0.5312
SRGAP2	0.628	0.6408	0.5212	0.567
ARID4B	0.8726	0.894	0.8104	0.8424
