gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.7546	0.8502	0.688	0.891
VPS13D	0.9444	0.9322	0.9512	0.8186
PER3	0.4748	0.5162	0.448	0.5046
KIF1B	0.5118	0.517	0.2958	0.2488
PRKCZ	0.3332	0.307	0.0652	0.1198
KCNAB2	0.3804	0.354	0.264	0.2572
ENO1	0.7028	0.9988	0.7156	0.9986
GNB1	0.3398	0.2814	0.343	0.278
SDF4	0.8236	0.719	0.5708	0.5138
ACOT7	0.3718	0.3906	0.3244	0.3352
DVL1	0.5688	0.542	0.3934	0.5088
MORN1	0.7282	0.969	0.6612	0.9302
CEP104	0.9152	0.7482	0.7772	0.5372
ICMT	0.4886	0.6064	0.441	0.5848
RPL22	0.3532	0.534	0.3454	0.5122
CHD5	0.6998	0.6308	0.4524	0.4002
ERRFI1	0.428	0.486	0.3488	0.3976
PARK7	0.829	0.8086	0.7216	0.656
SRM	0.4578	0.4828	0.309	0.3982
FBXO2	0.5298	0.6242	0.4464	0.5432
KIAA2013	0.5962	0.7394	0.4946	0.7656
MFN2	0.5586	0.4996	0.5204	0.4466
PRDM2	0.6012	0.6212	0.5514	0.5896
INTS11	0.5616	0.4746	0.2846	0.2596
LRRC47	0.4282	0.5346	0.2836	0.4408
UBE4B	0.765	0.8942	0.7052	0.878
ACAP3	0.816	0.8034	0.6916	0.713
C1orf159	0.6364	0.4052	0.6004	0.359
NPHP4	0.8974	0.891	0.8694	0.8758
FBXO44	0.23	0.243	0.126	0.156
RERE	0.5904	0.6902	0.52	0.6582
CFAP74	0.7458	0.8672	0.7098	0.8686
FHAD1	0.4378	0.3994	0.2572	0.2448
EFHD2	0.4936	0.683	0.3546	0.619
PEX14	0.7232	0.9252	0.6194	0.8922
PGD	0.4362	0.7034	0.3804	0.7392
PLCH2_ENSG00000149527	0.873	0.65	0.685	0.2904
RER1	0.4462	0.385	0.1894	0.1686
SKI	0.7186	0.6672	0.503	0.5148
TPRG1L	0.4806	0.6936	0.4424	0.6692
DFFA	0.47	0.4542	0.3536	0.3142
ATAD3B	0.7286	0.7016	0.7268	0.6818
SSU72	0.4196	0.383	0.3716	0.3124
UBE2J2	0.4484	0.4382	0.1572	0.199
NOL9	0.7602	0.42	0.7656	0.43
SLC45A1	0.3696	0.3776	0.1994	0.204
LZIC	0.9136	0.911	0.818	0.9488
CLSTN1	0.683	0.972	0.6018	0.9676
