cell_type	n_genes	DESeq2	MAST_glmer	IDEAS_NB	IDEAS_DCA	IDEAS_SAVER
AST-FB	584	0	0.05	0.28	0.24	0.216
AST-PP	1579	0.004	0.578	0.03	0.083	0.117
Endothelial	1665	0	0.124	0	0.004	0.228
IN-PV	6010	0.177	0.392	0.172	0.488	0.454
IN-SST	4049	0.17	0.173	0.18	0.564	0.479
IN-SV2C	5555	0.141	0.282	0.189	0.492	0.419
IN-VIP	4470	0.199	0.199	0.189	0.483	0.444
L2_3	8260	0.203	0.589	0.243	0.385	0.347
L4	6332	0.196	0.273	0.18	0.348	0.358
L5_6	7313	0.066	0.125	0.117	0.376	0.341
L5_6-CC	9291	0.075	0.135	0.166	0.238	0.261
Microglia	578	0.055	0.303	0	0	0
Neu-mat	1154	0.132	0.206	0.078	0.456	0.44
Neu-NRGN-I	1930	0.152	0.258	0.07	0.306	0.174
Neu-NRGN-II	593	0.373	0.309	0.323	0.605	0.524
Oligodendrocytes	939	0.154	0.586	0.299	0.606	0.11
OPC	1490	0.166	0.134	0.071	0.522	0.242
