gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.3678	0.1092	0.28	0.0648
VPS13D	0.9214	0.9628	0.918	0.9432
PER3	0.4366	0.499	0.4242	0.497
KIF1B	0.1896	0.262	0.0954	0.1612
PRKCZ	0.407	0.4108	0.1712	0.2632
KCNAB2	0.5822	0.6418	0.4936	0.582
ENO1	0.962	0.8952	0.9696	0.9066
GNB1	0.9812	0.5386	0.9278	0.5276
SDF4	0.909	0.92	0.8496	0.9368
ACOT7	0.5252	0.4352	0.5124	0.4308
CEP104	0.7342	0.4918	0.6248	0.364
RPL22	0.1902	0.241	0.1344	0.1588
CHD5	0.9912	0.99	0.9944	0.9706
ERRFI1	0.3796	0.3606	0.323	0.2992
PARK7	0.4166	0.4236	0.5028	0.484
SRM	0.5246	0.5608	0.4132	0.5278
FBXO2	0.6892	0.9796	0.6594	0.9718
MFN2	0.8516	0.7472	0.8558	0.784
PRDM2	0.668	0.646	0.622	0.638
INTS11	0.735	0.5978	0.591	0.4418
LRRC47	0.5718	0.6688	0.524	0.6532
UBE4B	0.8384	0.7282	0.7756	0.6592
ACAP3	0.9556	0.9656	0.9608	0.9432
C1orf159	0.7936	0.751	0.7944	0.7514
NPHP4	0.719	0.6402	0.6564	0.571
FBXO44	0.4122	0.4292	0.3682	0.4194
RERE	0.7018	0.9038	0.6672	0.9198
CFAP74	0.9854	0.9362	0.9778	0.9216
FHAD1	0.3826	0.383	0.2074	0.2714
PEX14	0.9226	0.5964	0.9216	0.5462
PLCH2_ENSG00000149527	0.7614	0.6628	0.4466	0.3402
RER1	0.5732	0.6026	0.421	0.4848
SKI	0.7162	0.8958	0.5218	0.8616
TPRG1L	0.7382	0.9454	0.7526	0.9012
DFFA	0.427	0.2622	0.3244	0.1518
ATAD3B	0.6482	0.6042	0.5648	0.5214
SSU72	0.7914	0.864	0.7952	0.8584
UBE2J2	0.6236	0.6618	0.4642	0.556
NOL9	0.4668	0.2426	0.4212	0.2266
SLC45A1	0.7104	0.7896	0.6182	0.7372
LZIC	0.453	0.491	0.486	0.5476
CLSTN1	0.6232	0.8486	0.5808	0.8484
SLC25A33	0.9468	0.9984	0.928	0.992
PLEKHG5	0.8266	0.8346	0.7712	0.8008
CAMTA1	0.7824	0.916	0.7746	0.9048
EXOSC10	0.6408	0.765	0.5828	0.7598
NMNAT1	0.8968	0.7562	0.8954	0.693
AURKAIP1	0.7388	0.9008	0.7052	0.8762
MTHFR	0.3972	0.2436	0.304	0.1718
CTNNBIP1	0.9822	0.8656	0.9638	0.8198
GABRD	0.4688	0.571	0.3952	0.5364
NOC2L	0.5368	0.5442	0.42	0.4522
KAZN	0.8496	0.7912	0.9056	0.7952
MMP23B	0.6416	0.5418	0.5562	0.4288
AJAP1	0.9532	0.9704	0.952	0.9598
MIB2	0.8472	0.8422	0.5318	0.4326
MTOR	0.8206	0.604	0.7632	0.5204
TNFRSF25	0.4606	0.4498	0.184	0.2126
CCNL2	0.688	0.5258	0.6314	0.4626
LINC01128	0.5534	0.5408	0.4968	0.499
_ENSG00000230021	0.9118	0.8742	0.9124	0.7796
_ENSG00000236948	0.9366	0.7418	0.9244	0.677
_ENSG00000237094	0.7566	0.7204	0.7086	0.6602
LINC01409	0.837	0.7822	0.7584	0.6918
MRPL20	0.5094	0.5566	0.5568	0.5808
CDK11B	0.9376	0.927	0.9086	0.9458
MTATP6P1	0.8254	0.979	0.9076	0.9954
STPG1	0.6472	0.6916	0.4682	0.5352
NIPAL3	0.784	0.728	0.8756	0.868
KDM1A	0.9992	0.828	0.9618	0.8174
FAM76A	0.1766	0.1488	0.145	0.113
FBXO42	0.847	0.9742	0.8174	0.952
PITHD1	0.6426	0.9976	0.6174	0.9764
CROCC	0.6064	0.5724	0.6188	0.584
SPEN	0.0808	0.0833	0.0751	0.0944
CDC42	0.8832	0.8446	0.8678	0.8296
EIF4G3	0.403	0.5212	0.4862	0.564
RAP1GAP	0.3144	0.358	0.0911	0.1432
CAPZB	0.9354	0.957	0.919	0.958
CROCCP3	0.3992	0.413	0.4204	0.4776
SLC9A1	0.8168	0.972	0.8154	0.9654
NUDC	0.8136	0.9538	0.8544	0.9878
USP48	0.1978	0.1096	0.1674	0.1054
DNAJC16	0.4712	0.426	0.3344	0.3432
OPRD1	0.865	0.554	0.8272	0.5584
SRSF4	0.5534	0.4454	0.5404	0.4558
MECR	0.849	0.8348	0.8484	0.8106
PLEKHM2	0.595	0.5716	0.618	0.6044
SDHB	0.8358	0.7424	0.7378	0.6126
IGSF21	0.6192	0.556	0.5696	0.5424
KIF17	0.9614	0.585	0.9414	0.6206
ECE1	0.4672	0.4364	0.5632	0.4774
SYF2	0.4896	0.4414	0.5652	0.5418
RSRP1	0.9074	0.906	0.9086	0.9174
STMN1	0.8714	0.7548	0.9286	0.8094
MAN1C1	0.6586	0.71	0.5672	0.6354
DHDDS	0.9636	0.9108	0.953	0.8954
ARID1A	0.447	0.4922	0.3962	0.4572
STX12	0.8426	0.9456	0.8556	0.9436
TAF12	0.8574	0.7272	0.793	0.6782
HNRNPR	0.6386	0.7268	0.6112	0.694
DNAJC8	0.8932	0.954	0.92	0.9682
AHDC1	0.551	0.716	0.3454	0.54
EMC1	0.7232	0.7716	0.6488	0.6862
UBR4	0.797	0.934	0.7662	0.9586
HP1BP3	0.9376	0.9762	0.8628	0.9358
ATP5IF1	0.8384	0.8914	0.8326	0.8958
EPHB2	0.9428	0.9406	0.9432	0.8898
SRRM1	0.1192	0.11	0.1538	0.1398
SH3BGRL3	0.6146	0.6512	0.6406	0.6648
RPL11	0.0657	0.0901	0.0404	0.0624
WDTC1	0.704	0.7488	0.635	0.6812
EXTL1	0.486	0.4538	0.2406	0.3012
EYA3	0.5702	0.7646	0.4708	0.7584
WASF2	0.3132	0.3542	0.2626	0.3452
NBL1	0.509	0.586	0.4204	0.531
PINK1	0.9158	0.966	0.8944	0.979
EPB41	0.6086	0.5036	0.4976	0.4148
ATP13A2	0.3902	0.5056	0.2392	0.3954
GMEB1	0.9274	0.7094	0.9042	0.6042
CAMK2N1	0.7302	0.7902	0.791	0.7814
LUZP1	0.7028	0.6612	0.6976	0.656
OTUD3	0.3548	0.3822	0.115	0.2696
TRNAU1AP	0.8512	0.9212	0.7974	0.8728
TMEM50A	0.7616	0.7044	0.8812	0.8388
TMEM222	0.658	0.7298	0.4608	0.5534
SRSF10	0.9566	0.9496	0.9788	0.8362
DDI2	0.2364	0.1308	0.2884	0.1822
YTHDF2	0.612	0.5284	0.5088	0.4362
HMGN2	0.721	0.744	0.748	0.7504
PHACTR4	0.7938	0.9494	0.7708	0.8866
MACO1	0.8666	0.8946	0.7694	0.6714
CROCCP2	0.8068	0.8268	0.7972	0.8122
NBPF1	0.4796	0.5362	0.3912	0.494
EMC1-AS1	0.6218	0.526	0.4664	0.3632
_ENSG00000233478	0.9372	0.9952	0.9038	0.9962
UQCRHL	0.0728	0.103	0.064	0.1108
_ENSG00000235912	0.1732	0.2286	0.1276	0.1704
ELOA-AS1	0.4364	0.4606	0.2276	0.2488
_ENSG00000240553	0.7886	0.6768	0.6024	0.4588
_ENSG00000280114	0.7084	0.756	0.6934	0.7842
AK2	0.7542	0.9538	0.7506	0.901
SCMH1	0.6134	0.6424	0.5488	0.6658
NCDN	0.8734	0.9882	0.9288	0.9912
KPNA6	0.698	0.8142	0.5904	0.7754
TRIT1	0.8088	0.8686	0.803	0.9288
TRAPPC3	0.9818	0.9984	0.9588	0.9704
THRAP3	0.8438	0.8416	0.8176	0.8628
SNRNP40	0.3458	0.2316	0.281	0.1858
KDM4A	0.7632	0.9078	0.7154	0.89
NFYC	0.5116	0.5478	0.378	0.4478
TESK2	0.8332	0.8778	0.747	0.8162
EIF2B3	0.9784	0.8616	0.9858	0.7734
SMAP2	0.761	0.9442	0.6644	0.9348
PPIE	0.325	0.4688	0.3326	0.4946
ZMPSTE24	0.6346	0.8868	0.684	0.8784
EIF3I	0.5548	0.6468	0.658	0.7548
NKAIN1	0.201	0.2242	0.2732	0.3018
COL16A1	0.68	0.9778	0.6284	0.9844
POMGNT1	0.6514	0.4618	0.6134	0.4334
MAST2	0.5168	0.292	0.5356	0.2988
AGO1	0.3488	0.1912	0.3654	0.1874
S100PBP	0.5428	0.627	0.3664	0.5286
DLGAP3	0.7542	0.8864	0.7202	0.9022
SFPQ	0.615	0.3998	0.2038	0.1122
MAP7D1	0.8604	0.9022	0.8842	0.8524
OSCP1	0.4742	0.2228	0.4744	0.2656
HPCAL4	0.8724	0.957	0.913	0.9258
RLF	0.879	0.7576	0.8206	0.7088
RIMS3	0.759	0.9382	0.7778	0.994
EBNA1BP2	0.8556	0.9142	0.9444	0.9912
IPO13	0.93	0.8338	0.9636	0.929
ATP6V0B	0.4328	0.4344	0.4096	0.4008
B4GALT2	0.467	0.5136	0.2172	0.2926
ERI3	0.771	0.703	0.7776	0.784
PTCH2	0.9036	0.8484	0.8752	0.7898
PRDX1	0.7164	0.729	0.7576	0.7848
FAAH	0.928	0.9394	0.8162	0.8126
NSUN4	0.9962	0.7732	0.9904	0.7752
ADGRB2	0.459	0.3966	0.2486	0.1922
ZCCHC17	0.7266	0.936	0.8322	0.9394
FABP3	0.872	0.877	0.8462	0.8838
KHDRBS1	0.7656	0.5842	0.737	0.5388
TMEM39B	0.809	0.5922	0.7756	0.5374
CSMD2	0.9576	0.8412	0.9876	0.805
HPCA	0.7766	0.8678	0.8242	0.8822
PSMB2	0.9676	0.9812	0.986	0.989
AGO3	0.8936	0.9262	0.8714	0.872
ST3GAL3	0.848	0.7996	0.8486	0.7382
HIVEP3	0.6884	0.7242	0.5932	0.7326
MACF1	0.5512	0.5478	0.5676	0.5624
CAP1	0.7876	0.6954	0.8352	0.7858
PPT1	0.8514	0.9374	0.9528	0.9894
LRRC41	0.6902	0.5618	0.7324	0.584
NASP	0.0861	0.109	0.0848	0.15
PUM1	0.7206	0.7728	0.7114	0.7878
YARS1	0.4704	0.2738	0.2664	0.115
PHC2	0.5178	0.3184	0.541	0.3396
AGO4	0.7762	0.549	0.6248	0.355
C1orf216	0.7648	0.9546	0.781	0.9482
KIAA0319L	0.7376	0.8428	0.7432	0.9146
AZIN2	0.9778	0.7878	0.9708	0.7716
RPS8	0.0853000000000001	0.1276	0.0705	0.1132
PTPRF	0.6562	0.5916	0.6034	0.5694
