gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.3598	0.4578	0.2506	0.3664
VPS13D	0.2772	0.1826	0.2494	0.1918
PER3	0.5252	0.3614	0.4876	0.3
KIF1B	0.4004	0.2976	0.2168	0.1046
PRKCZ	0.2284	0.2038	0.0345	0.0521
KCNAB2	0.0833	0.0581	0.0163	0.0182
ENO1	0.9036	0.9882	0.8732	0.985
GNB1	0.6336	0.9072	0.5722	0.8656
SDF4	0.7476	0.5508	0.4028	0.292
ACOT7	0.0649	0.102	0.0317	0.0539
DVL1	0.8296	0.6568	0.6134	0.428
MORN1	0.0295	0.0281	0.0135	0.0178
CEP104	0.3936	0.314	0.2378	0.1972
ICMT	0.9118	0.8752	0.8824	0.8254
RPL22	0.0325	0.0501	0.0266	0.0513
CHD5	0.9714	0.7858	0.934	0.5768
ERRFI1	0.307	0.1282	0.202	0.0602
PARK7	0.138	0.2228	0.0805	0.1338
SRM	0.9528	0.9162	0.9312	0.89
FBXO2	0.2214	0.167	0.0944	0.0642
KIAA2013	0.9008	0.9464	0.8486	0.9226
MFN2	0.5366	0.6844	0.4396	0.6552
PRDM2	0.0831	0.2086	0.0555	0.1696
INTS11	0.5202	0.4728	0.2172	0.303
LRRC47	0.9872	0.9994	0.982	0.996
UBE4B	0.2816	0.1782	0.0654	0.0488
ACAP3	0.8138	0.6016	0.5564	0.2658
C1orf159	0.736	0.9474	0.7312	0.9382
NPHP4	0.5182	0.4574	0.495	0.3932
FBXO44	0.4964	0.5572	0.363	0.4414
RERE	0.9962	0.8918	0.9952	0.8734
CFAP74	0.345	0.3534	0.142	0.2122
FHAD1	0.6366	0.6882	0.4434	0.5766
EFHD2	0.4164	0.6242	0.2008	0.4508
PEX14	0.1276	0.1104	0.0519	0.0512
PGD	0.148	0.1902	0.1396	0.1578
PLCH2_ENSG00000149527	0.906	0.6452	0.7182	0.2722
RER1	0.3248	0.3214	0.0886	0.1428
SKI	0.9108	0.8584	0.834	0.759
TPRG1L	0.7302	0.7596	0.6432	0.6764
DFFA	0.5064	0.723	0.3474	0.6308
ATAD3B	0.5216	0.4058	0.3362	0.1976
SSU72	0.4772	0.5552	0.3748	0.4646
UBE2J2	0.8528	0.773	0.7042	0.617
NOL9	0.2856	0.21	0.2784	0.1862
SLC45A1	0.0228	0.0243	0.0017	0.0032
LZIC	0.6746	0.8116	0.5444	0.7652
CLSTN1	0.8016	0.7812	0.7312	0.7048
PIK3CD	0.129	0.1053	0.0431	0.0437
SLC25A33	0.025	0.015	0.0183	0.0168
PLEKHG5	0.2008	0.1376	0.1846	0.1282
CAMTA1	0.771	0.8028	0.712	0.727
EXOSC10	0.377	0.4048	0.1986	0.2644
NMNAT1	0.2366	0.1578	0.0701	0.0578
AURKAIP1	0.1656	0.0967	0.0429	0.0157
MTHFR	0.683	0.8426	0.6346	0.8038
CTNNBIP1	0.3074	0.2598	0.342	0.2824
GABRD	0.7738	0.6898	0.6678	0.578
HES4	0.769	0.5534	0.345	0.2116
NOC2L	0.761	0.6948	0.6608	0.6296
KAZN	0.0909	0.1602	0.0909	0.1716
MMP23B	0.4818	0.4212	0.3038	0.2648
AJAP1	0.4644	0.5282	0.4464	0.5122
MIB2	0.9894	0.7058	0.9786	0.49
ATAD3A	0.523	0.5342	0.3122	0.3394
MTOR	0.4202	0.4688	0.2934	0.3906
TNFRSF25	0.529	0.3672	0.255	0.1104
CCNL2	0.2174	0.1464	0.0424	0.0325
LINC01128	0.4808	0.3872	0.2688	0.2128
_ENSG00000230021	0.9834	0.9944	0.9574	0.9872
_ENSG00000237094	0.4382	0.4114	0.26	0.2782
LINC01409	0.0452	0.0451	0.0518	0.067
MRPL20	0.4146	0.5322	0.3558	0.4778
CDK11B	0.0025	0.0014	0.0011	8e-04
MTATP6P1	0.277	0.4154	0.1408	0.293
STPG1	0.8472	0.6916	0.7536	0.5296
NIPAL3	0.5888	0.3984	0.6074	0.4318
KDM1A	0.101	0.0435	0.0168	0.0094
FAM76A	0.2032	0.1834	0.1948	0.1778
ELOA	0.1868	0.3442	0.2144	0.3646
LYPLA2	0.9724	0.7638	0.9496	0.6378
FBXO42	0.4216	0.3716	0.319	0.3028
MRTO4	0.0392	0.0379	0.0377	0.0319
PITHD1	0.9046	0.9942	0.8808	0.9912
CROCC	0.8232	0.8144	0.783	0.7666
PTPRU	0.8786	0.9046	0.8326	0.8448
SPEN	0.3226	0.3002	0.2594	0.2438
CDC42	0.598	0.3968	0.4918	0.2722
ARHGEF10L	0.01	0.0055	0.0072	0.0058
EIF4G3	0.8542	0.925	0.8456	0.916
RAP1GAP	0.4924	0.4188	0.1366	0.1026
CAPZB	0.0736	0.1004	0.0131	0.03
CROCCP3	0.3122	0.2622	0.2168	0.138
ASAP3	0.5016	0.5226	0.4246	0.4472
SLC9A1	0.1758	0.2172	0.1754	0.194
NUDC	0.0909	0.0904	0.0967	0.092
USP48	0.6628	0.7842	0.61	0.7346
DNAJC16	0.0761	0.0636	0.0413	0.0522
OPRD1	0.3526	0.185	0.333	0.163
SRSF4	0.4012	0.5236	0.4402	0.5626
MECR	0.1686	0.2636	0.0785	0.1176
PLEKHM2	0.3954	0.387	0.3076	0.285
SDHB	0.1164	0.1592	0.0272	0.06
IGSF21	0.2066	0.2614	0.128	0.1746
KIF17	0.1642	0.158	0.2002	0.2036
ECE1	0.9174	0.7538	0.9246	0.774
SYF2	0.375	0.4744	0.2956	0.3538
RSRP1	0.055	0.0547	0.037	0.0292
STMN1	0.3506	0.5466	0.3042	0.5156
MTFR1L	0.9014	0.9896	0.8902	0.9862
MAN1C1	0.6282	0.6798	0.3952	0.4848
DHDDS	0.0964	0.1388	0.0418	0.0721
ARID1A	0.2182	0.2218	0.1364	0.1368
RPA2	0.587	0.922	0.5438	0.9002
PPP1R8	0.4798	0.5754	0.4228	0.5224
STX12	0.1174	0.1472	0.0414	0.0933
TAF12	0.6256	0.8452	0.4224	0.7652
HNRNPR	0.1328	0.1372	0.0714	0.0888
DNAJC8	0.8796	0.7772	0.862	0.765
AHDC1	0.4712	0.4962	0.2138	0.2416
IFI6	0.0805	0.0453	0.0194	0.0146
EMC1	0.7768	0.8024	0.723	0.7636
UBR4	0.1886	0.2188	0.158	0.1926
HP1BP3	0.1446	0.1008	0.022	0.0194
CEP85	0.3806	0.3068	0.2642	0.2034
ATP5IF1	0.0494	0.0533	0.0418	0.0559
EPHB2	0.6392	0.689	0.6066	0.6552
SRRM1	0.252	0.368	0.1744	0.307
SH3BGRL3	0.1834	0.2384	0.1384	0.1854
RPL11	0.4614	0.5454	0.3522	0.3876
WDTC1	0.596	0.7536	0.4524	0.6388
NBPF3	0.1524	0.2382	0.044	0.1622
EXTL1	0.5976	0.54	0.2674	0.2578
UBXN11	0.0121	0.013	0.0065	0.0059
EYA3	0.145	0.1012	0.1013	0.101
WASF2	0.7436	0.6494	0.5762	0.523
NBL1	0.9628	0.9362	0.9288	0.9094
PINK1	0.2612	0.3458	0.1896	0.266
EPB41	0.237	0.2598	0.0819	0.133
ATP13A2	0.1666	0.1316	0.0189	0.0117
GMEB1	0.9948	0.8816	0.9916	0.8436
CAMK2N1	0.2818	0.3128	0.0952	0.1254
LUZP1	0.023	0.0425	0.003	0.0072
OTUD3	0.722	0.6894	0.5934	0.54
PDIK1L	0.2926	0.2464	0.1622	0.1512
TRNAU1AP	0.5326	0.506	0.3328	0.3618
TMEM50A	0.5762	0.5676	0.5756	0.5588
TMEM222	0.82	0.953	0.7482	0.927
SRSF10	0.35	0.4478	0.205	0.303
PNRC2	0.2092	0.213	0.1916	0.1952
DDI2	0.568	0.4746	0.5832	0.479
YTHDF2	0.589	0.637	0.4694	0.5566
HMGN2	0.7362	0.958	0.6836	0.9448
