gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.7276	0.8904	0.6072	0.8774
PER3	0.8918	0.9096	0.886	0.9748
KIF1B	0.2392	0.2922	0.2236	0.3086
ENO1	0.4852	0.7264	0.529	0.7342
GNB1	0.8	0.8506	0.7116	0.8236
UBE4B	0.91	0.6406	0.8582	0.5458
RERE	0.5512	0.6498	0.4652	0.5612
PRDM16	0.8258	0.9392	0.8062	0.9422
CLSTN1	0.952	0.8932	0.9306	0.7576
SLC25A33	0.9044	0.9518	0.968	0.9936
CAMTA1	0.896	0.9986	0.8424	0.9654
PRDM16-DT	0.621	0.6958	0.6126	0.665
ARHGEF10L	0.954	0.9262	0.9344	0.8984
EIF4G3	0.8704	0.935	0.9272	0.7772
RSRP1	1	0.966	0.9888	0.9394
ARID1A	0.5174	0.5294	0.2536	0.3638
HP1BP3	0.8284	0.6892	0.7172	0.5264
SRRM1	0.3182	0.3498	0.2392	0.3304
LUZP1	0.8616	0.8568	0.776	0.7814
PHACTR4	0.9064	0.8966	0.8604	0.842
SCMH1	0.9754	0.9942	0.9882	0.9896
TESK2	0.5472	0.501	0.1694	0.2292
COL16A1	0.7358	0.6548	0.4644	0.4148
SFPQ	0.9768	0.9022	0.928	0.7878
ERI3	0.84	0.7848	0.795	0.7318
AGO3	0.9342	0.7762	0.8858	0.7048
HIVEP3	0.6064	0.7416	0.449	0.5958
MACF1	0.4984	0.5936	0.5	0.5634
NASP	0.2096	0.2882	0.1488	0.2158
PUM1	0.7594	0.9846	0.7818	0.8804
KIAA0319L	0.5608	0.4124	0.156	0.0717
ZMYM4	0.7224	0.5872	0.7542	0.5056
ZSWIM5	0.6596	0.7312	0.4048	0.6298
RNF220	0.3992	0.605	0.3492	0.527
ARMH1	0.3302	0.4028	0.0983	0.2286
FOXJ3	0.1976	0.3148	0.1862	0.3434
_ENSG00000228436	0.7036	0.707	0.4638	0.513
LRRC7	0.6264	0.9876	0.4562	0.9382
NRDC	0.7734	0.7404	0.6432	0.614
EPS15	0.0204	0.0884	0.0143	0.0344
DOCK7	0.1202	0.2788	0.0527	0.134
WLS	0.7588	0.7006	0.7784	0.7016
SRSF11	0.7828	0.965	0.7422	0.991
OSBPL9	0.4976	0.5472	0.3832	0.4992
SGIP1	0.9434	0.8134	0.8888	0.7848
ECHDC2	0.3662	0.519	0.2278	0.3706
SPATA6	0.8722	0.9206	0.8344	0.8958
ZRANB2	0.9762	0.786	0.9422	0.6526
PATJ	0.3162	0.6138	0.2398	0.6344
TUT4	0.5424	0.8048	0.2562	0.6896
CACHD1	0.825	0.8166	0.8528	0.8492
ACOT11	0.1874	0.2646	0.0886	0.1626
USP24	0.7528	0.9956	0.7638	0.9718
PLPP3	0.8966	0.8364	0.7724	0.6982
NFIA	0.5972	0.4648	0.5858	0.448
NEGR1	0.6656	0.9646	0.5264	0.8826
FGGY	0.7102	0.8034	0.4854	0.7552
DAB1	0.727	0.9358	0.7036	0.8398
