gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.684295742446522	0.512	0.4278	0.4848	0.4204	0.497	0.9818	0.4008	0.9748	0.0954622372924471	0.390161121053832	0.0609285426104374	0.2244	0.4708	0.1244	0.3336
ENO1	0.964080500755472	0.7522	0.9902	0.7186	0.991	0.8536	0.9438	0.8002	0.9346	0.371403028576391	0.851846318186646	0.166349322340628	0.9866	0.9398	0.9668	0.901
GNB1	0.814354675241732	0.9718	0.901	0.9642	0.8966	0.298	0.2904	0.2634	0.2686	0.605372744005245	0.605236773892746	0.253231070913306	0.9092	0.9868	0.8878	0.9766
ACOT7	0.363382260857519	0.4184	0.4804	0.45	0.475	0.0175	0.0212	0.007	0.0108	0.0400146972874037	0.0452330186288788	0.500287060578718	0.163	0.1846	0.1058	0.1632
CHD5	0.163534307520223	0.405	0.3258	0.1498	0.118	0.9706	0.8668	0.9598	0.7944	0.139673360365161	0.864508141795654	0.0530254873539787	0.9062	0.8266	0.796	0.7008
CLSTN1	0.181865860428903	0.7826	0.7086	0.761	0.7138	0.2682	0.2386	0.1992	0.1652	1.00857840392267e-06	0.303316967439373	2.87264583643827e-05	0.3812	0.2056	0.2506	0.0956
CAMTA1	0.111470898028913	0.0198	0.0224	0.0149	0.0269	0.2356	0.184	0.0723	0.0653	0.0484944940586438	0.303171745915284	0.00754526442690656	0.0182	0.099	0.007	0.0158
MTATP6P1	0.551148488010801	0.401	0.649	0.3384	0.6222	0.3234	0.2152	0.1602	0.0813	0.0319837323285829	0.49976187133155	0.0554747775441492	0.2542	0.3834	0.1888	0.331
CDC42	0.952599578167091	0.6796	0.6218	0.6226	0.5524	0.1158	0.1616	0.1134	0.1224	0.512523008943044	0.464933552772503	0.840987258299204	0.441	0.4048	0.2544	0.2606
STMN1	0.0598893103023898	0.3636	0.4234	0.2078	0.2912	0.2046	0.37	0.0739	0.1886	1.70942193297316e-23	0.00959249260512889	4.84848167431197e-19	0.2324	0.34	0.0766	0.118
ATP5IF1	1.24016515062978e-05	4e-04	3e-04	2e-04	2e-04	0.0143	0.0627	0.0018	0.0164	4.47262280616115e-13	0.00105476356096331	3.0223086714351e-11	0.002	0.00700000000000001	2e-04	7e-04
CAMK2N1	0.0343611777042948	0.064	0.0483	0.023	0.0176	0.0809	0.0694	0.0241	0.0204	5.12143056954981e-11	0.00895744312744439	6.249306429746e-08	0.2614	0.2296	0.0759	0.059
NCDN	0.85900037671506	0.359	0.544	0.2096	0.396	0.1364	0.1812	0.0655	0.0865	0.445666517102629	0.59579105059806	0.924739341721367	0.1672	0.2164	0.111	0.1698
ATP6V0B	0.0470496719367298	0.187	0.1168	0.1828	0.1314	0.058	0.0652	0.0461	0.0508	0.122191735232532	0.0409764793029728	0.119838776981473	0.0346	0.0591	0.0178	0.0363
ADGRB2	0.144764295184682	0.32	0.2506	0.2314	0.1888	0.903	0.8696	0.861	0.8038	0.585565936342303	0.537305352482551	0.931182882733552	0.9868	0.69	0.9714	0.5376
HPCA	0.39320676895029	0.6322	0.7456	0.6176	0.738	0.616	0.9612	0.4896	0.9516	0.00252811571230919	0.018533709897593	0.00710643899823457	0.9838	0.938	0.9774	0.9276
NDUFS5	0.00915680853115952	0.0218	0.2132	0.0072	0.116	0.1018	0.2	0.0279	0.084	4.30600014008085e-16	0.0031306016894374	2.54836473263957e-13	0.0241	0.1336	0.0052	0.0577
UQCRH	0.128760238181277	0.8836	0.9966	0.8728	0.9968	0.3804	0.6396	0.1664	0.444	2.845945351477e-06	0.126981725746904	5.46253147261247e-06	0.6254	0.678	0.55	0.572
