cell_type	rank-sum	MAST	MAST-glmer	DESeq2	IDEAS	DCA	SAVER
AST-FB	0.32	0.387	0.11	0.049	0.027	0.041	0.003
AST-PP	0.53	0.548	0.049	0.048	0.036	0.014	0.03
Endothelial	0.272	0.195	0.055	0.039	0.045	0.048	0.028
IN-PV	0.294	0.261	0.075	0.035	0.041	0.03	0.008
IN-SST	0.326	0.187	0.03	0.035	0.039	0.02	0.005
IN-SV2C	0.176	0.142	0.057	0.032	0.043	0.033	0.028
IN-VIP	0.332	0.259	0.047	0.037	0.043	0.035	0.039
L2_3	0.664	0.831	0.119	0.042	0.038	0.033	0.01
L4	0.539	0.46	0.067	0.041	0.037	0.028	0.008
L5_6	0.389	0.308	0.083	0.037	0.039	0.042	0.017
L5_6-CC	0.446	0.47	0.108	0.041	0.044	0.031	0.009
Microglia	0.362	0.325	0.078	0.041	0.019	0.014	0.087
Neu-mat	0.387	0.361	0.071	0.045	0.031	0.027	0.01
Neu-NRGN-I	0.277	0.21	0.047	0.031	0.042	0.039	0.007
Neu-NRGN-II	0.439	0.411	0.052	0.042	0.032	0.019	0.017
Oligodendrocytes	0.562	0.724	0.038	0.052	0.033	0.018	0.131
OPC	0.425	0.392	0.041	0.041	0.042	0.028	0.103
