gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.362	0.4886	0.1654	0.2754
PRKCZ	0.2464	0.1434	0.1036	0.0379
KCNAB2	0.2006	0.3572	0.0875	0.1834
ENO1	0.9836	0.955	0.9764	0.9372
GNB1	0.4884	0.9752	0.442	0.9794
ACOT7	0.0741	0.0638	0.0554	0.0451
CHD5	0.6606	0.6596	0.5254	0.555
PARK7	0.1366	0.2376	0.0366	0.0963
FBXO2	0.0416	0.1582	0.0055	0.0434
PRDM2	0.1198	0.1146	0.0589	0.0907
FBXO44	0.3686	0.2474	0.2494	0.138
RERE	0.624	0.617	0.5938	0.5686
TPRG1L	0.5404	0.8012	0.3862	0.7194
SSU72	0.0748	0.0451	0.0236	0.0107
CLSTN1	0.977	0.915	0.976	0.9072
CAMTA1	0.0755	0.0935	0.0573	0.0802
AURKAIP1	0.0238	0.0616	0.0037	0.0137
GABRD	0.125	0.115	0.1038	0.0904
MTATP6P1	0.1726	0.2366	0.0455	0.0718
PITHD1	0.6818	0.6738	0.5914	0.5408
CDC42	0.6556	0.7292	0.5994	0.6854
EIF4G3	0.4562	0.4234	0.3916	0.37
RAP1GAP	0.5822	0.5634	0.4098	0.3984
CAPZB	0.0405	0.0301	0.024	0.017
IGSF21	0.2052	0.2248	0.1692	0.1898
STMN1	0.6336	0.7944	0.5238	0.7072
IFI6	0.0878	0.2406	0.0286	0.1096
HP1BP3	0.3768	0.4928	0.2052	0.3896
ATP5IF1	0.0302	0.0756	0.0047	0.0182
SH3BGRL3	0.1392	0.1276	0.0721	0.0636
RPL11	0.4378	0.4596	0.2838	0.2896
NBL1	0.9756	0.9474	0.955	0.9108
PINK1	0.2794	0.4584	0.1854	0.3846
ATP13A2	0.0881	0.0621	0.0302	0.0175
CAMK2N1	0.2732	0.5814	0.1738	0.4886
TMEM50A	0.1274	0.1696	0.0553	0.0809
UQCRHL	0.6052	0.8902	0.4332	0.8328
_ENSG00000235912	0.8908	0.859	0.8892	0.8714
_ENSG00000280114	0.3904	0.3564	0.239	0.218
NCDN	0.5056	0.8286	0.3602	0.7464
SMAP2	0.8048	0.4806	0.7602	0.3582
HPCAL4	0.4154	0.8496	0.2898	0.7866
RIMS3	0.7186	0.7824	0.6316	0.7434
ATP6V0B	0.217	0.268	0.1764	0.2306
ERI3	0.6964	0.7136	0.6288	0.6494
PRDX1	0.445	0.6096	0.3226	0.4862
ADGRB2	0.8672	0.8692	0.8206	0.8238
ZCCHC17	0.2454	0.4418	0.1306	0.3752
FABP3	0.2188	0.433	0.1406	0.3686
HPCA	0.4698	0.6766	0.3404	0.5742
PSMB2	0.9728	0.9222	0.9736	0.9264
MACF1	0.5084	0.5082	0.4374	0.4598
PPT1	0.1158	0.1594	0.0348	0.0675
PUM1	0.1764	0.2716	0.0399	0.0862
C1orf216	0.2846	0.2438	0.178	0.159
RPS8	0.5344	0.719	0.3946	0.6148
PTPRF	0.6446	0.6228	0.629	0.6308
SDC3	0.4674	0.7152	0.32	0.6354
MEAF6	0.837	0.6386	0.7792	0.5194
NDUFS5	0.27	0.337	0.1704	0.2598
UQCRH	0.5416	0.8082	0.3818	0.6962
RNF220	0.8366	0.639	0.8158	0.6012
LRRC7	0.0607	0.0843	0.0256	0.0392
EPS15	0.9474	0.9624	0.9404	0.9578
DHCR24	0.6288	0.8226	0.5266	0.7562
TMEM59	0.1884	0.2546	0.0538	0.087
DNAJC6	0.1954	0.388	0.0525	0.1642
SRSF11	0.8116	0.8536	0.7716	0.829
SGIP1	0.4224	0.4838	0.4164	0.4714
RNF11	0.3946	0.5632	0.2222	0.4082
SSBP3	0.2472	0.3212	0.0735	0.1066
ELAVL4	0.2354	0.5132	0.0794	0.2938
ZYG11B	0.3412	0.7414	0.1624	0.6234
JAK1	0.109	0.1054	0.0681	0.0709
NEGR1	0.0608	0.061	0.0055	0.005
PDE4B	0.5594	0.6676	0.5296	0.645
AGBL4	0.0858	0.1008	0.0207	0.0354
USP33	0.0414	0.0782	0.011	0.028
ST6GALNAC5	0.85	0.8972	0.7868	0.8494
ADGRL2	0.4698	0.7088	0.31	0.6314
SSX2IP	0.8844	0.8948	0.839	0.8644
PLPPR4	0.6118	0.6666	0.551	0.598
OLFM3	0.739	0.9738	0.5812	0.9524
RPL5	0.8758	0.9052	0.8406	0.8676
TTLL7	0.3802	0.2204	0.314	0.187
RPL7P9	0.5674	0.656	0.4382	0.5198
PRKACB	0.6356	0.8328	0.5234	0.7652
LMO4	0.7872	0.9044	0.7666	0.8858
DDAH1	0.5236	0.9128	0.4204	0.8674
AK5	0.7782	0.8472	0.7126	0.8114
C1orf52	0.2868	0.5662	0.1578	0.456
EXTL2	0.168	0.2276	0.0674	0.1044
MIGA1	0.141	0.0756	0.0471	0.0313
LRRC8B	0.1924	0.1714	0.1014	0.0929
_ENSG00000224550	0.264	0.3844	0.0902	0.1968
CSDE1	0.437	0.685	0.2866	0.588
SARS1	0.1252	0.2386	0.0323	0.1098
WDR47	0.8916	0.976	0.8334	0.9662
ATP5PB	0.2982	0.5026	0.1834	0.4122
SORT1	0.7204	0.771	0.731	0.7948
LAMTOR5	0.2486	0.3238	0.1136	0.1954
CELSR2	0.7552	0.8872	0.6848	0.8594
ATP1A1	0.5592	0.6032	0.4826	0.5218
AHCYL1	0.0819	0.0721	0.0496	0.0485
KCNA2	0.5402	0.8858	0.3632	0.81
SLC6A17	0.4516	0.7094	0.3198	0.603
MAN1A2	0.8126	0.7698	0.7732	0.7312
ASH1L	0.619	0.6574	0.598	0.6344
MEF2D	0.9038	0.9414	0.892	0.944
C1orf61	0.6776	0.7794	0.6308	0.7312
SYT11	0.9206	0.9492	0.9	0.937
ENSA	0.2688	0.3652	0.1998	0.3094
TPM3	0.0419	0.0509	0.0097	0.024
SV2A	0.4082	0.6786	0.315	0.6074
ADAR	0.3256	0.3438	0.1894	0.2238
CCT3	0.3982	0.553	0.2886	0.4854
S100A6	0.0407	0.0879	0.0052	0.0277
MLLT11	0.5032	0.7772	0.3864	0.7006
MRPS21	0.3094	0.4322	0.184	0.3286
KIFAP3	0.6224	0.4876	0.6048	0.484
TNR	0.5318	0.6808	0.529	0.6504
CACYBP	0.1436	0.2758	0.0408	0.1112
RGS4	0.5436	0.7694	0.4454	0.7208
ATP1B1	0.7786	0.8956	0.7552	0.8822
TIPRL	0.9586	0.9576	0.9416	0.9544
MPC2	0.0936	0.3122	0.0275	0.1668
DCAF6	0.8838	0.931	0.8422	0.9068
MGST3	0.345	0.5558	0.2036	0.4248
PFDN2	0.214	0.2622	0.1496	0.1998
RABGAP1L	0.2086	0.2262	0.172	0.1916
UHMK1	0.6142	0.9152	0.5058	0.8958
NDUFS2	0.1072	0.069	0.073	0.0378
CADM3	0.7454	0.693	0.7342	0.6876
KCNJ9	0.3558	0.4512	0.2264	0.286
IGSF8	0.1174	0.0988	0.0396	0.03
PEA15	0.4956	0.7882	0.4066	0.7406
PBX1	0.125	0.1224	0.1	0.0902
DNM3	0.742	0.862	0.726	0.8606
ATP2B4	0.7416	0.917	0.7256	0.9232
RASAL2	0.1528	0.191	0.0527	0.0851
UCHL5	0.3652	0.3698	0.2138	0.2166
TMEM9	0.7406	0.9454	0.6562	0.9286
CAMSAP2	0.8908	0.6922	0.8694	0.6482
TIMM17A	0.2934	0.4902	0.1618	0.3332
DHX9	0.9342	0.9806	0.929	0.9826
ARL8A	0.5156	0.7642	0.3192	0.6244
ASTN1	0.4996	0.5956	0.4506	0.548
NMNAT2	0.932	0.8742	0.903	0.844
B3GALT2	0.3956	0.3978	0.3618	0.3786
ARPC5	0.8344	0.9626	0.7678	0.9458
NFASC	0.9154	0.7432	0.909	0.7338
CACNA1E	0.9848	0.8226	0.975	0.7664
NUCKS1	0.336	0.6174	0.1572	0.478
LPGAT1	0.8028	0.841	0.7464	0.7828
KCNH1	0.831	0.6918	0.7652	0.609
SRP9	0.8992	0.6922	0.8794	0.6618
ARF1	0.8336	0.8742	0.7878	0.8316
GUK1	0.0476	0.0642	0.0107	0.0167
CDC42BPA	0.653	0.6898	0.6458	0.6772
CCSAP	0.7962	0.9014	0.6912	0.8732
C1orf115	0.1998	0.4048	0.0895	0.2488
RNF187	0.5402	0.9036	0.3654	0.8218
MFSD4A	0.485	0.616	0.3804	0.4814
MORF4L1P1	0.229	0.3754	0.073	0.1784
AKT3_ENSG00000117020	0.284	0.2806	0.2386	0.26
CHRM3	0.2202	0.4138	0.0776	0.2332
KCNK1	0.705	0.8814	0.6428	0.8608
FMN2	0.1306	0.204	0.1008	0.1688
RPS7	0.56	0.646	0.4222	0.516
TOMM20	0.4078	0.581	0.2576	0.4496
PGBD5	0.4288	0.4404	0.3414	0.3722
ZBTB18	0.2246	0.481	0.1	0.3356
RGS7	0.1968	0.5016	0.1232	0.4108
MYT1L	0.5594	0.8868	0.3768	0.8244
RYR2	0.3028	0.4184	0.0554	0.1676
EHD3	0.5138	0.8312	0.3546	0.7646
PUM2	0.4578	0.6458	0.3468	0.578
DDX1	0.1504	0.2238	0.0542	0.1228
NCOA1	0.3624	0.3864	0.3562	0.372
EFR3B	0.2608	0.1716	0.2644	0.1838
KIF3C	0.4336	0.5268	0.3066	0.423
RAB10	0.9208	0.8842	0.9156	0.8674
MAPRE3	0.9964	0.877	0.9942	0.813
SLC30A3	0.6948	0.7778	0.6204	0.7392
ID2	0.82	0.771	0.7464	0.6818
HPCAL1	0.3748	0.1616	0.273	0.0792
BIRC6	0.6904	0.6032	0.641	0.5598
YPEL5	0.6466	0.919	0.5086	0.8786
YWHAQ	0.8652	0.946	0.8132	0.9392
KIDINS220	0.4048	0.2988	0.328	0.2118
ROCK2	0.5278	0.3112	0.4316	0.231
SELENOI	0.5832	0.823	0.4218	0.7392
RHOB	0.7294	0.9236	0.616	0.8746
KCNF1	0.8684	0.9886	0.7796	0.982
LRATD1	0.538	0.406	0.4204	0.3038
VSNL1	0.56	0.616	0.5184	0.5556
FAM49A	0.3866	0.6274	0.247	0.5328
LINC00486	0.2794	0.226	0.1518	0.1424
MDH1	0.32	0.6292	0.184	0.499
ERLEC1	0.6836	0.7718	0.5992	0.7136
XPO1	0.7282	0.6576	0.7364	0.6586
SPTBN1	0.7678	0.4848	0.6962	0.4306
RTN4	0.4896	0.6724	0.3898	0.4808
CCDC88A	0.4072	0.405	0.3748	0.356
USP34	0.6948	0.68	0.6842	0.6632
CCT4	0.0563	0.1056	0.0114	0.0341
COX7A2L	0.9622	0.962	0.9544	0.9558
BCL11A	0.7314	0.8418	0.5414	0.7328
RAB1A	0.0405	0.0376	0.0138	0.015
ACTR2	0.586	0.6798	0.5262	0.6326
PREPL	0.447	0.7396	0.37	0.676
FBXO11	0.8506	0.8394	0.8472	0.844
LRPPRC	0.4988	0.3682	0.3256	0.2148
CALM2	0.0763	0.1428	0.0151	0.0566
RPS27A	0.5534	0.6658	0.396	0.4964
TMEM178A	0.7216	0.8992	0.564	0.8334
UGP2	0.5922	0.3766	0.5664	0.3374
FEZ2	0.181	0.2996	0.0942	0.1482
PRKCE	0.3546	0.3658	0.318	0.3082
NRXN1	0.1518	0.1206	0.1	0.0692
