gene,mean_formula,var_formula
DNAJC11,0.024853584,0.026261006
VPS13D,0.005169749,0.006230165
PER3,0.351522083,0.338393037
KIF1B,0.33389644,0.382208183
PRKCZ,0.024792958,0.027075804
KCNAB2,0.087863863,0.091659013
ENO1,0.81457852,0.825279288
GNB1,0.755378475,0.777730003
SDF4,0.165441314,0.170905706
ACOT7,0.056751022,0.058199241
CEP104,0.059669628,0.063084286
RPL22,0.0401693,0.039233974
CHD5,0.161009101,0.161965072
ERRFI1,0.179751103,0.18688981
PARK7,0.327530538,0.324666488
SRM,0.824620529,0.865278782
FBXO2,0.180994121,0.184497837
MFN2,0.401691561,0.385052918
PRDM2,0.081465986,0.090453558
INTS11,0.044244171,0.047404598
LRRC47,0.884579405,0.874243859
UBE4B,0.009310347,0.010231381
ACAP3,0.093774175,0.092390946
C1orf159,0.228358066,0.228119573
NPHP4,0.229668148,0.239020138
FBXO44,0.134337741,0.156200141
RERE,0.4217195,0.447958138
CFAP74,0.046836107,0.049804344
FHAD1,0.153819875,0.155058709
PEX14,0.007690147,0.0081183
PLCH2_ENSG00000149527,0.138405809,0.147873189
RER1,0.046208059,0.04938027
SKI,0.545121381,0.565187615
TPRG1L,0.376500188,0.372910269
DFFA,0.132075737,0.136505554
ATAD3B,0.037789187,0.038809141
SSU72,0.330764126,0.333381877
UBE2J2,0.168166917,0.179594366
NOL9,0.078000201,0.080548632
SLC45A1,0.007751362,0.008090391
LZIC,0.514945392,0.532109449
CLSTN1,0.382823122,0.388397113
SLC25A33,0.002174204,0.002237186
PLEKHG5,0.052294324,0.054553552
CAMTA1,0.362122371,0.283000295
EXOSC10,0.063824648,0.067968493
NMNAT1,0.011159926,0.011531002
AURKAIP1,0.017484557,0.018297021
MTHFR,0.33871828,0.351099303
CTNNBIP1,0.07693497,0.080732281
GABRD,0.214186059,0.235654186
NOC2L,0.300173861,0.318234311
KAZN,0.005311678,0.007035158
MMP23B,0.081782119,0.082441187
AJAP1,0.553314064,0.524272836
MIB2,0.132516557,0.135731348
MTOR,0.040231592,0.043316817
TNFRSF25,0.052545441,0.053824968
CCNL2,0.049633829,0.055428087
LINC01128,0.323003733,0.312813771
_ENSG00000230021,0.726030375,0.722433693
_ENSG00000236948,0.139566508,0.136455954
_ENSG00000237094,0.056548363,0.058810582
LINC01409,0.097279427,0.097974978
MRPL20,0.701025411,0.709227259
CDK11B,0.000459737,0.000504716
MTATP6P1,0.227808644,0.240144589
STPG1,0.892360006,0.920836372
NIPAL3,0.955525105,0.951188028
KDM1A,0.384376925,0.366679191
FAM76A,0.112895616,0.117810451
FBXO42,0.065155244,0.06864612
PITHD1,0.817193504,0.806346447
CROCC,0.088200233,0.094071758
SPEN,0.639570338,0.611556908
CDC42,0.493155489,0.483618277
EIF4G3,0.251740182,0.289273172
RAP1GAP,0.021220663,0.024563264
CAPZB,0.017998739,0.019241043
CROCCP3,0.064437914,0.065539302
SLC9A1,0.043313644,0.046088028
NUDC,0.294563446,0.296914942
USP48,0.199987019,0.226474333
DNAJC16,0.01422451,0.012901257
