gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.0272	0.0323	0.0147	0.0379
VPS13D	0.1632	0.1732	0.038	0.056
PER3	0.7272	0.8958	0.6726	0.867
KIF1B	0.1812	0.1588	0.0499	0.0407
PRKCZ	0.8888	0.8236	0.8166	0.7566
KCNAB2	0.7218	0.5266	0.6352	0.4162
ENO1	0.9114	0.742	0.9028	0.7254
GNB1	0.7024	0.8248	0.6858	0.7962
ACOT7	0.2668	0.2614	0.2054	0.1884
CEP104	0.1014	0.1286	0.046	0.074
RPL22	0.5984	0.501	0.4642	0.3574
CHD5	0.928	0.913	0.7882	0.7798
PARK7	0.1134	0.1836	0.0718	0.104
SRM	0.3476	0.5574	0.1694	0.4258
MFN2	0.391	0.5958	0.2372	0.4738
PRDM2	0.4788	0.4154	0.4248	0.368
UBE4B	0.3024	0.2412	0.0652	0.0432
ACAP3	0.7742	0.7912	0.4248	0.4954
C1orf159	0.9132	0.8876	0.8902	0.8768
FBXO44	0.811	0.9984	0.7744	0.9976
RERE	0.8018	0.7942	0.7332	0.7238
EFHD2	0.276	0.567	0.116	0.4088
PEX14	0.0759	0.0574	0.0144	0.0072
SKI	0.688	0.715	0.466	0.467
SSU72	0.8702	0.7082	0.8452	0.6292
CLSTN1	0.2522	0.314	0.167	0.2286
PLEKHG5	0.0104	0.0194	0.0197	0.0324
CAMTA1	0.1976	0.1424	0.0758	0.0641
EXOSC10	0.0573	0.0467	0.003	0.0019
GABRD	0.6758	0.9874	0.5358	0.9792
KAZN	0.4268	0.288	0.3702	0.2064
AJAP1	0.4386	0.6724	0.3764	0.655
MTOR	0.0426	0.0336	0.0101	0.0134
DISP3	0.6692	0.8818	0.6488	0.8582
CCNL2	0.395	0.3056	0.1992	0.1622
_ENSG00000230021	0.645	0.7628	0.4126	0.6116
MRPL20	0.228	0.1684	0.2362	0.176
MTATP6P1	0.458	0.4784	0.3396	0.385
KDM1A	0.9978	0.6876	0.9948	0.4936
FBXO42	0.2038	0.1634	0.0639	0.0544
PITHD1	0.6314	0.7646	0.5272	0.6782
SPEN	0.7044	0.1636	0.7044	0.1616
CDC42	0.4508	0.7744	0.3562	0.7066
EIF4G3	0.9466	0.7182	0.946	0.6434
RAP1GAP	0.807	0.8488	0.7186	0.7706
CAPZB	0.2706	0.2256	0.2322	0.1962
CROCCP3	0.1024	0.089	0.0316	0.0416
NUDC	0.0888	0.1274	0.0646	0.0908
USP48	0.0713	0.0271	0.0283	0.0131
