gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.6308	0.4574	0.5024	0.2198
KIF1B	0.8216	0.5622	0.6272	0.3458
GNB1	0.8432	0.9192	0.7578	0.8548
UBE4B	0.2914	0.3392	0.0704	0.1746
ACAP3	0.7164	0.8516	0.5864	0.8836
RERE	0.117	0.1732	0.0321	0.0807
CLSTN1	0.595	0.9818	0.4104	0.968
CAMTA1	0.5808	0.8582	0.6064	0.9094
KAZN	0.1948	0.2064	0.0302	0.0335
EIF4G3	0.5556	0.5874	0.4794	0.505
IGSF21	0.5942	0.4554	0.6114	0.4676
STMN1	0.5442	0.8106	0.5112	0.7764
HP1BP3	0.9648	0.7332	0.9546	0.6224
PHACTR4	0.4216	0.6502	0.1632	0.4554
SCMH1	0.6462	0.853	0.431	0.7708
SFPQ	0.5034	0.4436	0.2426	0.2366
RLF	0.5472	0.5366	0.3784	0.3594
CSMD2	0.9448	0.924	0.8952	0.8872
AGO3	0.532	0.766	0.3226	0.671
HIVEP3	0.6642	0.5304	0.655	0.4948
MACF1	0.1582	0.2136	0.0638	0.0788
NASP	0.00939999999999996	0.0353	6e-04	0.0111
PUM1	0.7652	0.969	0.7978	0.8494
KIAA0319L	0.4572	0.5326	0.2372	0.355
ZMYM4	0.8304	0.4898	0.846	0.5688
ZSWIM5	0.5184	0.7648	0.269	0.7046
SDC3	0.4958	0.3912	0.461	0.3836
MARCKSL1	0.8406	0.7674	0.7926	0.7318
FOXJ3	0.8024	0.8756	0.6958	0.755
LRRC7	0.9358	0.8146	0.867	0.8374
NRDC	0.748	0.955	0.6918	0.9472
DNAJC6	0.8042	0.8602	0.7414	0.7036
SRSF11	0.6824	0.5976	0.3942	0.418
SGIP1	0.5076	0.7592	0.4878	0.6664
SPATA6	0.8374	0.9536	0.8338	0.9692
PATJ	0.3778	0.6472	0.2812	0.6602
TUT4	0.1724	0.2056	0.0306	0.0418
ZFYVE9	0.8752	0.8162	0.8884	0.799
USP24	0.9874	0.9208	0.927	0.9956
