gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.724492207891363	0.6228	0.5498	0.6194	0.5314	0.0568	0.0554	0.0245	0.0248	0.871415465829482	0.642502224547936	0.0066942965514823	0.414	0.814	0.2338	0.7638
VPS13D	0.569289965352127	0.2816	0.1588	0.25	0.1364	0.0828	0.1784	0.0863	0.1784	0.644016732261874	0.658090436868436	0.0214217437985131	0.1536	0.1088	0.0312	0.0263
PER3	0.897336749312195	0.4214	0.2566	0.3832	0.1888	0.8862	0.7988	0.8676	0.771	0.34456579706739	0.649051828287305	0.231512865249272	0.6974	0.5096	0.6828	0.514
KIF1B	0.4235050952616	0.287	0.4424	0.3052	0.4434	0.4752	0.3638	0.2056	0.135	0.16587287554969	0.354903558534244	0.710356127356911	0.4898	0.5524	0.3574	0.4504
PRKCZ	0.390135828335967	0.2542	0.2374	0.1292	0.1158	0.3096	0.3076	0.0646	0.077	0.197574812421193	0.583197002937252	0.00652733144275282	0.575	0.528	0.269	0.3036
KCNAB2	0.0688415453936565	0.1186	0.0629	0.0544	0.0419	0.0886	0.0697	0.015	0.0174	0.0368238164191288	0.157508617841836	4.47558647281536e-07	0.2122	0.1954	0.0957	0.1066
ENO1	0.393152610404652	0.831	0.698	0.8126	0.6736	0.4522	0.4376	0.4412	0.4346	0.78005844842995	0.966625599636794	0.000236961269635194	0.797	0.9248	0.7678	0.9104
GNB1	0.829993914497535	0.5014	0.3724	0.5068	0.4024	0.357	0.5674	0.2918	0.5082	0.372143556539171	0.61918297704024	0.015639769372421	0.3804	0.5536	0.352	0.5164
SDF4	0.0407218407761446	0.5182	0.7986	0.315	0.6962	0.6884	0.5038	0.168	0.153	0.000604043584134179	0.0538363323328259	0.174933385075825	0.5202	0.4434	0.1018	0.0569
ACOT7	0.348232821004087	0.7358	0.7042	0.7506	0.6988	0.0541	0.0847	0.0311	0.0364	0.771999002630595	0.941711321550809	3.04215293449115e-06	0.198	0.2408	0.1118	0.151
CEP104	0.932065146635324	0.439	0.604	0.3556	0.6042	0.068	0.0646	0.0675	0.0606	0.153080884978934	0.598242399580658	0.128179506687218	0.4796	0.576	0.318	0.4542
RPL22	0.226175591173464	0.5358	0.3352	0.502	0.2956	0.8192	0.8118	0.7298	0.7216	0.101698816002728	0.225751571710072	0.240577777096109	0.8182	0.7672	0.7882	0.727
