gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.497	0.9818	0.4008	0.9748
ENO1	0.8536	0.9438	0.8002	0.9346
GNB1	0.298	0.2904	0.2634	0.2686
ACOT7	0.0175	0.0212	0.007	0.0108
CHD5	0.9706	0.8668	0.9598	0.7944
CLSTN1	0.2682	0.2386	0.1992	0.1652
CAMTA1	0.2356	0.184	0.0723	0.0653
MTATP6P1	0.3234	0.2152	0.1602	0.0813
CDC42	0.1158	0.1616	0.1134	0.1224
STMN1	0.2046	0.37	0.0739	0.1886
ATP5IF1	0.0143	0.0627	0.0018	0.0164
CAMK2N1	0.0809	0.0694	0.0241	0.0204
NCDN	0.1364	0.1812	0.0655	0.0865
ATP6V0B	0.058	0.0652	0.0461	0.0508
ADGRB2	0.903	0.8696	0.861	0.8038
HPCA	0.616	0.9612	0.4896	0.9516
NDUFS5	0.1018	0.2	0.0279	0.084
UQCRH	0.3804	0.6396	0.1664	0.444
LRRC7	0.204	0.1772	0.0815	0.0772
DNAJC6	0.2002	0.2548	0.0673	0.0812
RNF11	0.2166	0.3838	0.1036	0.2336
ELAVL4	0.3104	0.4718	0.165	0.3534
NEGR1	0.1872	0.1528	0.0682	0.0506
PLPPR4	0.8186	0.8232	0.788	0.8148
PRKACB	0.04	0.0845	0.0272	0.064
LMO4	0.1976	0.3052	0.132	0.21
AK5	0.2766	0.2408	0.2738	0.2156
_ENSG00000224550	0.162	0.268	0.0401	0.0805
ATP1A1	0.8502	0.9222	0.7154	0.879
SLC6A17	0.2022	0.3152	0.1126	0.1952
SYT11	0.3012	0.1394	0.1174	0.0486
ENSA	0.2166	0.4052	0.0765	0.2392
SV2A	0.1	0.213	0.0602	0.174
MLLT11	0.1624	0.2848	0.047	0.1026
KIFAP3	0.8948	0.901	0.8812	0.8968
RGS4	0.1064	0.2528	0.083	0.2072
ATP1B1	0.0212	0.0501	0.013	0.0293
MGST3	0.1278	0.1782	0.0231	0.036
CADM3	0.3744	0.367	0.3062	0.3222
DNM3	0.5326	0.7136	0.5242	0.7214
CAMSAP2	0.4458	0.7924	0.3838	0.777
NUCKS1	0.2322	0.3242	0.0822	0.1374
ARF1	0.8112	0.937	0.7696	0.916
GUK1	0.0129	0.0507	0.0016	0.0133
TOMM20	0.2326	0.3488	0.1272	0.2222
ZBTB18	0.1308	0.1798	0.0505	0.079
MYT1L	0.8012	0.8316	0.7524	0.7998
RYR2	0.689	0.9758	0.5492	0.9584
KIF3C	0.1716	0.2726	0.1402	0.237
VSNL1	0.7046	0.6414	0.6618	0.639
FAM49A	0.1908	0.2994	0.0953	0.2076
LINC00486	0.1928	0.173	0.055	0.0457
MDH1	0.2204	0.4194	0.0612	0.1984
SPTBN1	0.7436	0.753	0.5544	0.6558
RTN4	0.7316	0.8642	0.5576	0.7718
ACTR2	0.9952	0.8398	0.9928	0.7848
PREPL	0.0699	0.1458	0.0343	0.1054
RPS27A	0.4324	0.5842	0.2328	0.364
PRKCE	0.2736	0.3286	0.1216	0.181
NRXN1	0.1996	0.1746	0.0915	0.0908
SLC8A1	0.5308	0.7466	0.3776	0.6498
TMSB10	0.0851	0.1804	0.0323	0.0858
CTNNA2	0.575	0.576	0.4736	0.4632
AAK1	0.0326	0.0211	0.0075	0.0042
LRRTM4	0.327	0.3588	0.1884	0.2326
COX5B	0.013	0.0538	0.0017	0.0164
LONRF2	0.1072	0.1344	0.0738	0.101
CREG2	0.2138	0.3096	0.1978	0.2956
LRP1B	0.4422	0.824	0.3094	0.7188
DPP10	0.6822	0.8776	0.502	0.7886
CHN1	0.2876	0.1514	0.1348	0.0399
SCN2A	0.5664	0.4578	0.3548	0.266
SCN1A	0.2506	0.4218	0.1344	0.2988
SLC4A10	0.9842	0.939	0.9816	0.9218
KIF5C_ENSG00000168280	0.5534	0.3902	0.5224	0.3706
CERS6	0.3512	0.466	0.2992	0.4118
CSRNP3	0.2248	0.1734	0.0938	0.0777
_ENSG00000218175	0.0954	0.1428	0.0225	0.0445
_ENSG00000233762	0.0698	0.1272	0.011	0.0372
NCKAP1	0.163	0.2686	0.1194	0.2098
MAP2	0.2814	0.3552	0.0733	0.1054
INO80D	0.3084	0.2856	0.1172	0.1068
PDE1A	0.4822	0.8294	0.3826	0.7522
GLS	0.4658	0.5656	0.281	0.4298
ABI2	0.774	0.7384	0.705	0.7146
FAM171B	0.1792	0.2942	0.0899	0.182
ERBB4	0.215	0.3024	0.1792	0.2878
SLC39A10	0.6922	0.6256	0.6536	0.6474
