gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
KIF1B	0.0989	0.0906	0.062	0.0532
UBE4B	0.7992	0.818	0.7312	0.6688
RERE	0.5794	0.5024	0.3034	0.3214
CAMTA1	0.3468	0.3782	0.387	0.4174
KAZN	0.596	0.9612	0.4752	0.943
EIF4G3	0.96	0.904	0.9544	0.9118
RSRP1	0.2006	0.2996	0.1968	0.3138
STMN1	0.238	0.5728	0.1954	0.547
HP1BP3	0.1618	0.1988	0.1978	0.2186
SRRM1	0.482	0.742	0.4202	0.696
CAMK2N1	0.5064	0.3828	0.1762	0.1007
CLIC4	0.3726	0.3328	0.2062	0.1962
PHACTR4	0.2776	0.2608	0.3336	0.2964
TESK2	0.436	0.377	0.4424	0.3814
AGO3	0.5212	0.4298	0.4726	0.3492
MACF1	0.6274	0.6296	0.3058	0.3418
NASP	0.7862	0.6864	0.7636	0.6322
MARCKSL1	0.3374	0.2398	0.3304	0.2534
RNF220	0.8906	0.6626	0.8214	0.6618
FOXJ3	0.1002	0.3808	0.0959	0.3428
LRRC7	0.5122	0.4374	0.3908	0.316
NRDC				
EPS15	0.5656	0.6038	0.2522	0.2912
TMEM59	0.3966	0.4274	0.2452	0.2474
DNAJC6	0.0784	0.1084	0.0462	0.0577
SRSF11	0.5058	0.5652	0.2478	0.2572
OSBPL9	0.157	0.1932	0.1144	0.1246
SGIP1	0.7166	0.3378	0.686	0.262
ATG4C	0.4782	0.1984	0.2552	0.16
SPATA6	0.9314	0.6968	0.9348	0.619
TUT4	0.4556	0.4398	0.4578	0.4508
NFIA	0.8992	0.9366	0.8774	0.9058
NEGR1	0.9646	0.9144	0.9492	0.8992
PDE4B	0.7562	0.8642	0.6818	0.8366
FAF1	0.8398	0.8232	0.8066	0.8072
_ENSG00000036549	0.8814	0.7918	0.7396	0.7096
PKN2				
EVI5	0.3502	0.468	0.3646	0.4614
PTBP2	0.3472	0.4218	0.3454	0.3746
ZNF644	0.2476	0.218	0.1528	0.1232
TTLL7	0.4148	0.3086	0.3608	0.249
PRKACB	0.0786	0.0715	0.0801	0.0806
AK5	0.598	0.4276	0.522	0.2762
DIPK1A	0.679	0.5044	0.5962	0.3668
ST6GALNAC3	0.1066	0.1104	0.0892	0.0901
DPYD	0.7666	0.6814	0.3968	0.3578
CCDC18-AS1	0.3822	0.5268	0.3154	0.479
RAP1A	0.6668	0.3842	0.6546	0.3936
SORT1	0.024	0.0173	0.0111	0.0102
SLC22A15	0.07	0.0849	0.0524	0.0751
ASH1L	0.681	0.6088	0.4058	0.4466
SYT11	0.8748	0.7216	0.8578	0.7178
POGZ	0.0578	0.0737	0.0378	0.0682
GATAD2B_ENSG00000143614	0.375	0.2796	0.2162	0.1904
OTUD7B	0.3182	0.215	0.2298	0.1714
COPA	0.8314	0.5372	0.8188	0.5202
ATP1B1	0.627	0.6588	0.6006	0.6374
POU2F1	0.4276	0.4388	0.2448	0.2484
RABGAP1L	0.3928	0.3828	0.2774	0.229
PBX1	0.9606	0.7418	0.9584	0.6776
DNM3	0.8126	0.508	0.7552	0.3696
PPP1R12B	0.3276	0.2212	0.2004	0.1612
PIK3C2B	0.6244	0.984	0.6202	0.9782
NAV1	0.3368	0.3634	0.252	0.2912
GLUL	0.1534	0.1266	0.1022	0.0797
RGL1	0.3154	0.245	0.2624	0.1982
CSRP1	0.5314	0.443	0.4522	0.344
NFASC	0.2532	0.3048	0.2254	0.2512
CNTN2	0.6992	0.5762	0.4156	0.2284
MDM4	0.0974	0.0882	0.0626	0.0619
COLGALT2	0.4054	0.3958	0.2218	0.2066
MIR181A1HG	0.0361	0.035	0.0314	0.0275
NUCKS1	0.3424	0.3594	0.3754	0.336
CDK18	0.2448	0.2124	0.2704	0.2578
LPGAT1	0.6318	0.629	0.2968	0.3636
CDC42BPA	0.468	0.4474	0.3302	0.3286
ENAH	0.223	0.1418	0.174	0.1332
TMEM63A	0.4456	0.3194	0.3328	0.2076
ARID4B	0.4194	0.3626	0.4128	0.327
SDCCAG8_ENSG00000054282	0.4222	0.3722	0.3666	0.3176
AKT3_ENSG00000117020	0.731	0.5428	0.7586	0.5622
CEP170_ENSG00000143702	0.918	0.9874	0.647	0.9664
PLD5	0.956	0.987	0.9564	0.9842
PUM2	0.3946	0.3776	0.2934	0.2556
NCOA1	0.9126	0.8078	0.8904	0.7558
CLIP4	0.3046	0.264	0.2992	0.2176
BIRC6	0.594	0.4682	0.3156	0.2852
YWHAQ	0.1716	0.699	0.1526	0.6686
KIDINS220	0.0653	0.071	0.0848	0.0968
DTNB	0.8822	0.7072	0.843	0.6498
MBOAT2	0.5622	0.713	0.5586	0.7584
RNF144A	0.6988	0.9306	0.3996	0.8412
RASGRP3	0.5508	0.6022	0.5624	0.6274
DPYSL5	0.1612	0.1226	0.1808	0.148
LINC00486	0.4644	0.497	0.3512	0.3734
SILC1	0.9776	0.9846	0.9798	0.9856
MAP4K3	0.8624	0.7364	0.7996	0.5866
VRK2	0.4414	0.3066	0.4446	0.2612
PSME4	0.6074	0.7898	0.5018	0.7322
SPTBN1	0.6642	0.7876	0.3356	0.5216
RTN4	0.296	0.3256	0.1416	0.1694
CCDC88A	0.2664	0.5146	0.2438	0.4852
USP34	0.324	0.266	0.2728	0.1756
STRN	0.8734	0.9458	0.4638	0.7878
PPM1B	0.5188	0.5672	0.5308	0.4898
PREPL	0.329	0.3618	0.1864	0.2102
FBXO11	0.3894	0.3016	0.3294	0.2898
