gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
KIF1B	0.4374	0.4558	0.4174	0.4062
GNB1	0.9674	0.6554	0.9168	0.7078
CHD5	0.3366	0.3538	0.2066	0.2534
PRDM2	0.5428	0.5824	0.5588	0.5636
ACAP3				
RERE	0.0483	0.0642	0.0546	0.0765
CLSTN1	0.4576	0.2508	0.3056	0.1274
CAMTA1	0.172	0.1342	0.212	0.1538
KAZN	0.3884	0.3854	0.431	0.43
MTATP6P1	0.7106	0.9978	0.6948	0.9956
EIF4G3	0.5262	0.38	0.48	0.3522
STMN1	0.0198	0.0263	0.0189	0.0282
CAMK2N1	0.1954	0.1904	0.1116	0.1074
SCMH1	0.2906	0.338	0.211	0.2586
NCDN	0.7552	0.814	0.7322	0.781
ATP6V0B	0.1738	0.1544	0.1742	0.108
ADGRB2	0.4494	0.2594	0.3436	0.1548
CSMD2	0.9718	0.6402	0.9606	0.6582
HIVEP3	0.5022	0.4406	0.5162	0.449
MACF1	0.3698	0.3148	0.396	0.3124
PUM1	0.68	0.8946	0.6586	0.8902
LRRC7	0.4826	0.7798	0.4262	0.7448
DNAJC6	0.6044	0.938	0.5668	0.9212
SRSF11	0.219	0.1744	0.2356	0.1764
SGIP1	0.3174	0.4264	0.331	0.4288
ZRANB2	0.0317	0.0249	0.0378	0.0301
PATJ	0.2074	0.1376	0.2328	0.1288
SSBP3	0.897	0.735	0.8894	0.7176
PRKAA2	0.4624	0.8944	0.4474	0.9116
NEGR1	0.3284	0.2226	0.2656	0.1728
DAB1	0.8602	0.93	0.8592	0.926
PDE4B	0.278	0.395	0.2978	0.4272
FAF1	0.1208	0.1074	0.0958	0.0721
AGBL4	0.505	0.775	0.522	0.778
PKN2	0.766	0.952	0.6704	0.9414
EVI5	0.8806	0.7188	0.8568	0.6692
ST6GALNAC5	0.6652	0.4296	0.703	0.43
ADGRL2	0.0878	0.11	0.1142	0.1304
SSX2IP	0.1134	0.2648	0.0846	0.2234
PTBP2	0.4838	0.3378	0.46	0.296
PLPPR4	0.5524	0.5676	0.4504	0.4662
OLFM3	0.1158	0.0688	0.1088	0.0724
TTLL7	0.822	0.9024	0.8188	0.8998
SLC44A5	0.1316	0.2692	0.1388	0.2622
PRKACB	0.8074	0.9502	0.7594	0.9514
LMO4	0.9936	0.7846	0.9932	0.7714
AK5	0.1352	0.1838	0.1854	0.2204
COL24A1	0.9442	0.5918	0.9462	0.64
DPYD	0.6844	0.8334	0.6942	0.803
LRRC8B	0.8298	0.8078	0.8026	0.7546
MIR137HG	0.5148	0.9442	0.4432	0.933
ATP1A1	0.7292	0.876	0.6728	0.8846
MAN1A2	0.0432	0.0347	0.0492	0.0415
_ENSG00000224363	0.4702	0.3296	0.4882	0.3044
ASH1L	0.938	0.9856	0.8662	0.9852
SYT11	0.5022	0.443	0.5444	0.4576
ENSA	0.2184	0.5064	0.1972	0.4928
POGZ	0.1524	0.5124	0.1958	0.5468
RPRD2	0.4242	0.4128	0.42	0.3914
KIFAP3	0.5958	0.6368	0.5482	0.617
TNR	0.316	0.2734	0.371	0.325
RGS4	0.7208	0.9904	0.6602	0.983
