gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.0775	0.0509	0.0599	0.0351
PER3	0.8496	0.8354	0.8592	0.8414
KIF1B	0.4538	0.1828	0.2784	0.127
PRKCZ	0.2096	0.215	0.0302	0.0358
KCNAB2	0.018	0.0107	0.0051	0.003
ENO1	0.1686	0.1454	0.2166	0.166
GNB1	0.2868	0.528	0.3242	0.5748
ACOT7	0.0159	0.0091	0.0118	0.0077
CHD5	0.913	0.8538	0.7408	0.6252
PARK7	0.0419	0.052	0.0212	0.0263
PRDM2	0.0123	0.0182	0.021	0.0289
UBE4B	0.0354	0.0238	0.0122	0.0087
ACAP3	0.6844	0.387	0.2154	0.0336
FBXO44	0.19	0.252	0.0552	0.0947
RERE	0.8842	0.5852	0.866	0.5196
EFHD2	0.382	0.6816	0.1484	0.5654
PEX14	0.0076	0.0028	0.0116	0.0147
SKI	0.823	0.9896	0.632	0.964
CLSTN1	0.6672	0.775	0.5114	0.666
PIK3CD	0.0527	0.0484	0.0314	0.0317
CAMTA1	0.0387	0.067	0.0104	0.0225
KAZN	0.299	0.3554	0.2378	0.297
MTOR	0.1672	0.3222	0.151	0.3424
MTATP6P1	0.1182	0.1114	0.0383	0.0449
NIPAL3	0.4202	0.4702	0.3854	0.4246
KDM1A	0.997	0.4742	0.9978	0.2946
FBXO42	0.1272	0.1466	0.0663	0.0944
PITHD1	0.8788	0.6534	0.785	0.4566
SPEN	0.196	0.4752	0.079	0.3628
CDC42	0.926	0.9406	0.9056	0.927
EIF4G3	0.9674	0.9696	0.9614	0.9776
RAP1GAP	0.1934	0.1292	0.0218	0.0127
CAPZB	0.0628	0.0429	0.0206	0.0125
CROCCP3	0.4986	0.6804	0.4834	0.6924
USP48	0.114	0.1076	0.1022	0.1126
DNAJC16	0.267	0.811	0.1738	0.6912
SRSF4	0.143	0.2076	0.1868	0.2734
PLEKHM2	0.1034	0.0592	0.0808	0.0447
RSRP1	0.0146	0.0195	0.0122	0.0188
STMN1	0.0683	0.0877	0.0578	0.0799
ARID1A	0.0889	0.1146	0.0053	0.0079
STX12	0.04	0.0828	0.038	0.084
HNRNPR	0.2264	0.3922	0.1174	0.3288
UBR4	0.0563	0.0903	0.0553	0.0932
HP1BP3	0.0993	0.1116	0.0097	0.0172
ATP5IF1	0.0018	0.0014	4e-04	4e-04
SRRM1	0.0294	0.017	0.0266	0.0167
RPL11	0.5792	0.702	0.4962	0.645
EYA3	0.9868	0.8726	0.9854	0.7848
NBL1	0.8056	0.9692	0.6286	0.9466
PINK1	0.0263	0.0172	0.028	0.0207
ATP13A2	0.0867	0.071	0.0115	0.0077
CAMK2N1	0.1676	0.2008	0.0386	0.052
LUZP1	0.0228	0.0483	0.0187	0.0374
TMEM50A	0.3022	0.5472	0.2556	0.4498
SRSF10	0.33	0.623	0.2202	0.5854
PHACTR4	0.177	0.1236	0.1084	0.0667
MACO1	0.2034	0.1862	0.1646	0.1652
NBPF1	0.4154	0.2136	0.4064	0.2342
UQCRHL	0.2034	0.4142	0.0925	0.2972
SCMH1	0.9268	0.9728	0.8904	0.971
NCDN	0.4106	0.5138	0.1894	0.3488
THRAP3	0.2142	0.1874	0.1652	0.1544
NFYC	0.7642	0.7896	0.6238	0.7938
EIF2B3	0.1698	0.142	0.062	0.0541
SMAP2	0.4448	0.4314	0.125	0.2312
MAST2	0.0659	0.0527	0.0618	0.0491
SFPQ	0.4146	0.531	0.1214	0.3424
MAP7D1	0.3804	0.3586	0.1508	0.1822
HPCAL4	0.0682	0.0373	0.0222	0.0117
RLF	0.005	0.0033	0.0059	0.0048
ATP6V0B	0.1764	0.1378	0.0922	0.0809
ERI3	0.8276	0.6058	0.7838	0.6086
PRDX1	0.3564	0.502	0.291	0.4562
ZCCHC17	0.29	0.399	0.2548	0.3328
KHDRBS1	0.1884	0.2064	0.0157	0.0434
CSMD2	0.2098	0.1832	0.167	0.1438
AGO3	0.0885	0.049	0.0905	0.05
ST3GAL3	0.1796	0.112	0.129	0.0744
HIVEP3	0.9392	0.8936	0.9056	0.8642
