gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.167990120059274	0.2706	0.8028	0.2628	0.8148	0.0775	0.0695	0.0302	0.0306	0.0290965577799645	0.0382117242527931	1.63836033531958e-07	0.2318	0.2168	0.1038	0.151
PER3	0.801877748001831	0.7566	0.8086	0.7646	0.8304	0.2426	0.1308	0.2688	0.1324	0.85016768230857	0.657359356134496	0.022852136075967	0.4804	0.3226	0.447	0.283
KIF1B	0.325774938087553	0.4918	0.5484	0.4526	0.5092	0.6014	0.5704	0.4214	0.4242	0.886542050030151	0.842794061981953	0.569650051739552	0.2936	0.5064	0.151	0.4008
PRKCZ	0.0049506950783249	0.0345	0.0301	0.0082	0.0078	0.3306	0.41	0.1022	0.1812	0.0263222976799919	0.196638598599089	9.03199536266065e-10	0.8022	0.7482	0.6712	0.6208
KCNAB2	0.103663553207807	0.0491	0.0768	0.03	0.0534	0.0216	0.0234	0.0119	0.0134	0.692398751009208	0.459948953661874	5.99932780044692e-05	0.5174	0.3774	0.4268	0.3116
ENO1	0.554620531506618	0.8938	0.6882	0.889	0.7096	0.8204	0.9726	0.8104	0.969	0.0915183864232991	0.286643330073293	5.44197343898359e-09	0.9628	0.952	0.9644	0.9464
GNB1	0.406284655581057	0.526	0.638	0.489	0.6058	0.892	0.7238	0.8866	0.7002	0.414769437845739	0.945342661416351	0.0812058472396501	0.653	0.8176	0.5966	0.7606
ACOT7	0.0567930458965423	0.1296	0.1624	0.1244	0.1652	0.0138	0.0295	0.0235	0.0539	0.192985002359756	0.123732703747384	2.52704339059464e-07	0.1206	0.1438	0.083	0.1038
CHD5	0.410526323650231	0.7516	0.7058	0.6516	0.6244	0.9968	0.8264	0.9902	0.6484	0.313191343964838	0.950902055698551	0.00114831645551791	0.7428	0.7452	0.4922	0.5578
PARK7	0.0643962777833451	0.225	0.37	0.1666	0.3036	0.2566	0.3214	0.1262	0.1554	9.31492782170647e-07	0.11958711502629	1.44150225299571e-11	0.1742	0.1724	0.1398	0.1382
PRDM2	0.506253500571892	0.282	0.6824	0.1974	0.5836	0.1606	0.1318	0.1532	0.1208	0.602947928502827	0.74562860844638	0.00259312782820708	0.896	0.9718	0.8874	0.969
UBE4B	0.812989677225532	0.4188	0.4512	0.286	0.321	0.0414	0.0196	0.0078	0.0029	0.250479610008869	0.179728657431921	0.000797794229586144	0.369	0.3994	0.172	0.2594
ACAP3	0.311992954789365	0.5114	0.4026	0.1598	0.0814	0.8226	0.6056	0.5368	0.28	0.162469049995164	0.505014962451501	0.0296236318261956	0.6384	0.672	0.28	0.3586
FBXO44	0.124945444216945	0.7976	0.5726	0.7358	0.5206	0.244	0.3498	0.2022	0.3312	0.0798264156151102	0.0662603577175164	1.34439102556417e-05	0.9974	0.9188	0.9964	0.8996
RERE	0.925525768258955	0.0767	0.0479	0.0965	0.0558	0.8402	0.902	0.8272	0.913	0.731739523993597	0.725382948448727	0.155731857566808	0.9742	0.8814	0.9778	0.8694
PEX14	0.280286940552297	0.1024	0.066	0.0941	0.0612	0.0149	0.0142	0.0092	0.0107	0.330294172080406	0.774769445881826	0.000147607865041023	0.1314	0.141	0.0819	0.0834
CLSTN1	0.113704431568784	0.2942	0.4004	0.245	0.3728	0.3832	0.4404	0.2622	0.3328	0.000116979826750005	0.025463916485552	0.379798187112437	0.3772	0.3736	0.235	0.2662
CAMTA1	0.0195666101267529	0.3904	0.3906	0.3936	0.3666	0.2216	0.4908	0.112	0.4016	0.0108578328303291	0.0200381388879017	0.0127181896353547	0.1372	0.0969	0.0975	0.0849
EXOSC10	0.0260412089727165	0.0329	0.0512	0.0227	0.0462	0.2714	0.4946	0.2474	0.4852	0.00465442768393867	0.0335911501897143	3.22669950928707e-07	0.1628	0.1578	0.0496	0.0602
KAZN	0.482914384071993	0.1628	0.2224	0.1992	0.2356	0.1606	0.1534	0.1562	0.1374	0.000620635580719049	0.267044382260467	0.00114287201479756	0.3262	0.3184	0.3338	0.2932
MTOR	0.104610757996703	0.095	0.141	0.0769	0.1222	0.0712	0.0813	0.045	0.0631	0.00949892538750348	0.687758925431441	3.3905368427605e-07	0.1024	0.1736	0.0678	0.1506
CCNL2	0.428000611260897	0.2622	0.1726	0.2286	0.1306	0.1052	0.05	0.024	0.0163	0.579247310684277	0.319490781283727	0.000414169245323108	0.6238	0.5134	0.4244	0.3652
MTATP6P1	0.165209568192855	0.4836	0.6358	0.397	0.5684	0.1176	0.117	0.0424	0.0562	0.145682095821195	0.379882954142079	0.158559619847408	0.2602	0.3154	0.2134	0.2596
NIPAL3	0.773452210217495	0.8824	0.7576	0.8656	0.6976	0.9582	0.8062	0.9492	0.7704	0.872736930606015	0.95571361203268	0.00303166338495692	0.967	0.8426	0.969	0.8444
KDM1A	0.698014496033379	0.9972	0.8692	0.995	0.823	0.6076	0.9656	0.343	0.9456	0.194677621376952	0.197685745596403	0.307596743367331	0.5242	0.3372	0.2348	0.0952
FBXO42	0.994308160797812	0.5624	0.6024	0.4158	0.505	0.1584	0.1084	0.0706	0.0512	0.912362195097056	0.828952553451755	0.00144595602070573	0.2842	0.2228	0.0828	0.0601
SPEN	0.39618825538454	0.4984	0.4368	0.3444	0.304	0.579	0.7862	0.422	0.749	0.399466224930436	0.45607667763469	0.184826667053249	0.0961	0.375	0.0984	0.4
CDC42	0.459106502224631	0.9772	0.9024	0.9694	0.8952	0.755	0.7956	0.735	0.7694	0.584696841828024	0.961591550769179	4.62083868363142e-05	0.436	0.3406	0.337	0.2598
EIF4G3	0.861335123090657	0.3856	0.601	0.4018	0.6104	0.3542	0.5174	0.2528	0.4594	0.155482282675204	0.302490144402802	0.350194262446011	0.4864	0.647	0.4808	0.6376
RAP1GAP	0.264995195565463	0.562	0.5496	0.457	0.464	0.2494	0.3096	0.0543	0.12	0.876847255121765	0.884786938204081	1.03729720139619e-05	0.5464	0.4564	0.3272	0.2384
CAPZB	0.0129635384408558	0.0364	0.1027	0.0409	0.094	0.0565	0.1046	0.0293	0.0767	0.00181346339824832	0.293877947406781	6.35347765121372e-10	0.6624	0.9096	0.607	0.884
NUDC	0.00864284637182931	0.1194	0.1196	0.1364	0.1398	0.0119	0.0147	0.0102	0.0165	4.15061092495667e-07	0.00327292643345228	7.17265324152474e-14	0.1074	0.116	0.1112	0.1162
USP48	0.927803234760879	0.5308	0.6872	0.4722	0.6252	0.134	0.1084	0.126	0.1002	0.352348687024339	0.458680824140841	0.00124202293863204	0.1082	0.0687	0.0309	0.025
DNAJC16	0.898627431748002	0.5678	0.4362	0.4748	0.3416	0.1872	0.2498	0.1246	0.179	0.873775586041228	0.959202138660567	0.00523637862352132	0.2482	0.2978	0.0876	0.1702
SRSF4	0.913578261379151	0.7972	0.8762	0.7996	0.8746	0.457	0.9556	0.511	0.9712	0.64172598542172	0.675958692335016	0.0205216198845898	0.4324	0.7048	0.3626	0.6636
IGSF21	0.831127744447276	0.2118	0.1454	0.0793	0.0596	0.0025	0.0039	0.0045	0.0092	0.278289611991985	0.341888649859976	0.0149125520595574	0.4242	0.3704	0.3328	0.3168
RSRP1	0.150985677115583	0.0689	0.0554	0.0687	0.0553	0.0067	0.0156	0.0029	0.0084	0.0595177558167556	0.286239869534388	1.11625419549965e-07	0.1186	0.1032	0.0713	0.04
STMN1	0.158086051099941	0.2212	0.2328	0.1918	0.2006	0.436	0.3794	0.3774	0.3036	2.41996426525742e-18	0.506656045311026	4.59114190170281e-19	0.4328	0.5968	0.4264	0.599
MAN1C1	0.204309879093271	0.6428	0.9466	0.6516	0.9376	0.0632	0.1048	0.0262	0.0572	0.22207117070883	0.289961946749784	0.0365409830300715	0.2808	0.2198	0.2226	0.1728
ARID1A	0.0256747348732166	0.9276	0.8548	0.911	0.8518	0.0919	0.0653	0.0404	0.0213	0.154039344655151	0.944953893252093	0.463474296594174	0.106	0.0755	0.0609	0.0479
STX12	0.241043550045172	0.4824	0.6522	0.457	0.5976	0.4926	0.707	0.4998	0.6994	0.399614573728203	0.42537501808881	7.82257408851168e-05	0.0448	0.0153	0.03	0.0226
HNRNPR	0.0296184292605339	0.1306	0.111	0.134	0.122	0.0669	0.1414	0.051	0.151	0.0161400945890721	0.572636189386463	0.391777904778853	0.162	0.1382	0.0343	0.0386
AHDC1	0.286838435973893	0.7952	0.8596	0.757	0.844	0.5216	0.6948	0.2782	0.5324	0.0242811313510895	0.0860249688593834	0.583132138262858	0.248	0.258	0.0611	0.0611
UBR4	0.249818994558453	0.0131	0.0354	0.0187	0.0454	0.0077	0.0045	0.0071	0.0068	0.572722134839653	0.558405932938995	0.000142393635098263	0.1958	0.1698	0.121	0.1224
HP1BP3	0.0294173662167104	0.429	0.3656	0.2888	0.2398	0.135	0.1404	0.0187	0.0339	0.000471262943123634	0.48551248218181	0.099299011048667	0.0812000000000001	0.0606	0.0106	0.0095
ATP5IF1	0.00390041024428815	0.019	0.0463	0.0185	0.0429	0.0061	0.0202	0.0025	0.0113	3.57174571577021e-21	0.0315367089711908	9.19115303236462e-35	0.0487	0.0653	0.0361	0.0524
EPHB2	0.324658178496635	0.3942	0.6292	0.3832	0.6188	0.2552	0.0673	0.2816	0.0804	0.123368133960876	0.196568846850584	0.000487479283263584	0.0636	0.0426	0.0496	0.026
SRRM1	0.766399121448403	0.6412	0.5092	0.6486	0.5202	0.0338	0.0236	0.0154	0.0109	0.393193582318699	0.561392949182449	0.00690470384769397	0.439	0.2466	0.4306	0.2368
RPL11	0.862161547741625	0.6428	0.5518	0.5278	0.4308	0.7246	0.727	0.617	0.6258	0.00521835003996333	0.248657455056014	0.0052855015627786	0.8896	0.91	0.852	0.8738
EYA3	0.814843433124933	0.4802	0.3456	0.3966	0.2186	0.369	0.5062	0.3594	0.4756	0.805840986025818	0.759898269886235	0.0230452307636815	0.6614	0.627	0.5428	0.5268
NBL1	0.924751696633382	0.4252	0.8918	0.369	0.8738	0.7616	0.9706	0.7002	0.9652	0.190043767451155	0.824159644412257	0.0282730120077327	0.5204	0.8362	0.3836	0.7898
PINK1	0.521597845795219	0.9722	0.925	0.977	0.9284	0.1408	0.179	0.1542	0.205	0.0337302325195698	0.350411789520688	6.41669189914829e-06	0.9066	0.8748	0.9144	0.8534
ATP13A2	0.000455073697417132	0.3064	0.273	0.2068	0.1842	0.028	0.0217	0.004	0.0021	0.0333394966928109	0.19486393305506	1.98146445514766e-12	0.3768	0.363	0.2364	0.221
CAMK2N1	0.0218658665821492	0.2604	0.3106	0.1206	0.1928	0.1718	0.229	0.0464	0.0948	2.70604402176423e-09	0.0775237655275683	0.00021935344220928	0.2082	0.2236	0.0586	0.0785
LUZP1	0.209952672344537	0.6414	0.6228	0.639	0.5852	0.0103	0.0143	0.0036	0.0069	0.0941116538287134	0.593863627326347	3.83413790564697e-06	0.1074	0.1448	0.0465	0.0785
TRNAU1AP	0.90058289201489	0.7766	0.5952	0.7152	0.4992	0.1652	0.143	0.062	0.0463	0.991861244517684	0.989169194511481	0.0056472268071873	0.2058	0.1984	0.0464	0.0705
TMEM50A	0.898060426217556	0.6904	0.8176	0.6618	0.7936	0.76	0.7916	0.743	0.7936	0.217182488011193	0.152930401862316	0.116315005938775	0.3578	0.2946	0.3806	0.299
SRSF10	0.722953100135161	0.4974	0.4042	0.4258	0.3354	0.231	0.479	0.0784	0.4218	0.478716966951403	0.712800079069827	0.0960547990798486	0.5914	0.7254	0.5184	0.668
PHACTR4	0.386590118779841	0.139	0.1626	0.0806	0.0972	0.264	0.2472	0.1962	0.1772	0.364148694076768	0.219175300823554	0.000336949670245474	0.2664	0.2396	0.1372	0.1446
MACO1	0.449021302858564	0.9104	0.763	0.909	0.7752	0.482	0.4936	0.456	0.476	0.0262405955134195	0.0416784604526288	0.294171562276044	0.1132	0.0632	0.0705	0.0322
NBPF1	0.861672841872742	0.5432	0.401	0.5688	0.4468	0.4078	0.427	0.4354	0.4712	0.237068984440418	0.8860990932197	0.213004213126777	0.651	0.727	0.5616	0.6448
UQCRHL	0.390002970235523	0.7872	0.9156	0.7218	0.8974	0.851	0.8092	0.7702	0.7348	0.0802413672452215	0.679311435161774	3.47440714690041e-06	0.9576	0.86	0.9596	0.8306
SCMH1	0.464174874262675	0.7172	0.6502	0.6346	0.5952	0.9182	0.8532	0.894	0.839	0.288593213744353	0.61310768706659	0.361309998981942	0.5666	0.5684	0.2988	0.4104
NCDN	0.177047176813689	0.278	0.3974	0.2168	0.3062	0.3202	0.4658	0.1844	0.3604	0.0345965621739577	0.343774701805798	0.878287436714031	0.3318	0.3868	0.159	0.2148
KPNA6	0.611945585839121	0.9134	0.9872	0.9072	0.9886	0.3026	0.2956	0.1444	0.1802	0.307972564797887	0.453696637906165	0.0967683999442081	0.376	0.3866	0.1554	0.2248
THRAP3	0.374760772448151	0.9122	0.977	0.8966	0.9728	0.3786	0.2726	0.2782	0.1752	0.300787985679645	0.300013395408469	1.34967552377075e-05	0.6904	0.8622	0.6614	0.881
NFYC	0.639458297320031	0.1312	0.1872	0.0995	0.1558	0.4866	0.7108	0.3692	0.7216	0.406527350223842	0.475826188538665	0.095411086798616	0.113	0.1646	0.0234	0.0315
EIF2B3	0.124786060996375	0.1744	0.3164	0.1454	0.2688	0.4414	0.4818	0.2192	0.3144	0.345941662046749	0.376116583908683	1.32640151932361e-05	0.2254	0.1766	0.0365	0.0333
SMAP2	0.781620591764244	0.927	0.9738	0.9208	0.976	0.6798	0.779	0.5074	0.684	0.372646570843947	0.21361686897324	0.0410738890498725	0.1226	0.0709	0.0083	0.0042
MAST2	0.378307092639684	0.569	0.4792	0.516	0.4014	0.0831	0.088	0.0745	0.0742	0.416111566161506	0.723997114370137	0.146293932699309	0.129	0.0777	0.0692	0.0474
