gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.0568	0.0554	0.0245	0.0248
VPS13D	0.0828	0.1784	0.0863	0.1784
PER3	0.8862	0.7988	0.8676	0.771
KIF1B	0.4752	0.3638	0.2056	0.135
PRKCZ	0.3096	0.3076	0.0646	0.077
KCNAB2	0.0886	0.0697	0.015	0.0174
ENO1	0.4522	0.4376	0.4412	0.4346
GNB1	0.357	0.5674	0.2918	0.5082
SDF4	0.6884	0.5038	0.168	0.153
ACOT7	0.0541	0.0847	0.0311	0.0364
CEP104	0.068	0.0646	0.0675	0.0606
RPL22	0.8192	0.8118	0.7298	0.7216
CHD5	0.9868	0.7884	0.9484	0.5222
PARK7	0.0705	0.1282	0.0434	0.075
MFN2	0.957	0.87	0.953	0.8566
PRDM2	0.1048	0.1848	0.0289	0.0773
INTS11	0.338	0.2916	0.0431	0.0894
UBE4B	0.1348	0.0831	0.0202	0.0143
ACAP3	0.8004	0.6222	0.5138	0.2416
C1orf159	0.4158	0.3704	0.3322	0.3228
NPHP4	0.1011	0.1534	0.0751	0.1102
FBXO44	0.2654	0.3776	0.1468	0.231
RERE	0.3564	0.1252	0.343	0.1248
FHAD1	0.0982	0.0941	0.0397	0.0432
EFHD2	0.4222	0.7388	0.1738	0.6186
PEX14	0.0231	0.0168	0.0087	0.0091
RER1	0.3056	0.327	0.0589	0.117
SKI	0.9884	0.9352	0.97	0.868
TPRG1L	0.8632	0.9854	0.8348	0.9812
SSU72	0.31	0.3844	0.2232	0.3096
UBE2J2	0.7708	0.6896	0.4702	0.4662
NOL9	0.0348	0.0241	0.0499	0.0361
SLC45A1	0.0408	0.0433	0.0054	0.0042
CLSTN1	0.8864	0.9672	0.8474	0.9586
PLEKHG5	0.0267	0.0382	0.0227	0.0317
CAMTA1	0.2468	0.1818	0.0617	0.0306
EXOSC10	0.1374	0.1704	0.0635	0.097
AURKAIP1	0.139	0.0683	0.0168	0.0091
CTNNBIP1	0.5534	0.6498	0.4616	0.5992
GABRD	0.5786	0.4976	0.2838	0.2824
NOC2L	0.5968	0.5888	0.414	0.4938
KAZN	0.9902	0.8706	0.9934	0.8304
AJAP1	0.5384	0.5664	0.4088	0.3894
MIB2	0.9284	0.679	0.8118	0.4048
MTOR	0.0836	0.0739	0.0516	0.039
CCNL2	0.0527	0.0498	0.0193	0.0224
_ENSG00000230021	0.7102	0.8236	0.3504	0.6518
LINC01409	0.3424	0.5906	0.2924	0.549
MRPL20	0.0762	0.09	0.0567	0.077
CDK11B	0.0063	0.0053	0.0017	0.0039
MTATP6P1	0.2096	0.314	0.0765	0.1714
NIPAL3	0.6012	0.6848	0.5498	0.6332
KDM1A	0.8038	0.5922	0.6228	0.3458
FBXO42	0.1882	0.1284	0.095	0.0723
PITHD1	0.8296	0.8358	0.7816	0.814
CROCC	0.4498	0.3934	0.2622	0.1656
PTPRU	0.9546	0.7132	0.9296	0.5718
SPEN	0.5902	0.2792	0.4672	0.1982
CDC42	0.8424	0.9342	0.7924	0.9076
ARHGEF10L	0.7356	0.7162	0.639	0.5896
EIF4G3	0.7632	0.6528	0.6964	0.5248
RAP1GAP	0.4552	0.4292	0.157	0.1386
CAPZB	0.0923	0.1036	0.0232	0.0289
CROCCP3	0.3484	0.3464	0.3368	0.3446
SLC9A1	0.0382	0.0275	0.0569	0.0433
NUDC	0.0254	0.0514	0.0224	0.0472
USP48	0.1042	0.133	0.0901	0.1178
DNAJC16	0.2568	0.3458	0.1768	0.2742
SRSF4	0.1052	0.1528	0.1412	0.179
MECR	0.0511	0.1068	0.0334	0.0621
PLEKHM2	0.2166	0.1802	0.1488	0.1134
SDHB	0.0402	0.0702	0.0141	0.0352
IGSF21	0.2552	0.2814	0.1158	0.1058
ECE1	0.158	0.097	0.1566	0.084
