gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.1924	0.1758	0.0636	0.0885
VPS13D	0.542	0.4558	0.4026	0.326
PER3	0.2256	0.2024	0.1838	0.1582
KIF1B	0.8614	0.839	0.7902	0.752
PRKCZ	0.5108	0.4654	0.2188	0.2598
KCNAB2	0.168	0.1234	0.0836	0.0571
ENO1	0.7698	0.9002	0.7274	0.881
GNB1	0.1748	0.2122	0.179	0.2054
SDF4	0.7888	0.7438	0.4484	0.4966
ACOT7	0.1462	0.1718	0.091	0.1116
DVL1	0.7592	0.7928	0.6254	0.7504
MORN1	0.0287	0.035	0.0088	0.0151
CEP104	0.3268	0.2464	0.1406	0.0994
ICMT	0.8548	0.7896	0.815	0.7358
RPL22	0.0848	0.1076	0.074	0.1098
CHD5	0.9962	0.8756	0.9904	0.7504
ERRFI1	0.6488	0.367	0.58	0.2446
PARK7	0.0533	0.1294	0.0348	0.0755
SRM	0.6906	0.778	0.5418	0.7144
FBXO2	0.4114	0.5836	0.3104	0.4568
KIAA2013	0.649	0.6718	0.5226	0.61
MFN2	0.7822	0.948	0.7168	0.9342
PRDM2	0.0529	0.0604	0.0589	0.0719
INTS11	0.86	0.9198	0.7518	0.8882
LRRC47	0.8654	0.8604	0.8066	0.8122
UBE4B	0.2792	0.1876	0.0838	0.0576
ACAP3	0.8108	0.9644	0.5846	0.9174
C1orf159	0.6808	0.973	0.6604	0.967
NPHP4	0.288	0.2842	0.2152	0.1888
FBXO44	0.8438	0.6924	0.8004	0.6184
RERE	0.7258	0.6982	0.6854	0.6334
CFAP74	0.3198	0.2982	0.1716	0.198
FHAD1	0.1634	0.1432	0.0319	0.0425
EFHD2	0.3798	0.4898	0.184	0.3072
PEX14	0.4142	0.2946	0.2936	0.1932
PGD	0.188	0.329	0.1604	0.3058
PLCH2_ENSG00000149527	0.6042	0.9206	0.1632	0.8002
RER1	0.9314	0.835	0.8702	0.7342
SKI	0.7576	0.7904	0.4572	0.6308
TPRG1L	0.6216	0.6346	0.5058	0.5336
DFFA	0.7136	0.7704	0.6172	0.6758
ATAD3B	0.93	0.852	0.8876	0.7762
SSU72	0.5792	0.575	0.5102	0.4922
UBE2J2	0.5544	0.508	0.2466	0.227
NOL9	0.1992	0.106	0.2136	0.125
SLC45A1	0.2726	0.3564	0.1146	0.1664
LZIC	0.3516	0.6334	0.2134	0.4862
CLSTN1	0.7054	0.6396	0.6288	0.549
PIK3CD	0.242	0.2048	0.0852	0.0916
SLC25A33	0.1578	0.0373	0.1318	0.0473
PLEKHG5	0.0663	0.0414	0.0507	0.0262
CAMTA1	0.3742	0.383	0.2992	0.2904
EXOSC10	0.3742	0.3524	0.1668	0.1532
NMNAT1	0.1704	0.1102	0.0473	0.0311
AURKAIP1	0.2826	0.278	0.1718	0.1654
MTHFR	0.623	0.3114	0.565	0.3072
CTNNBIP1	0.2982	0.358	0.2976	0.349
GABRD	0.8986	0.9702	0.8684	0.963
HES4	0.8768	0.982	0.6954	0.967
NOC2L	0.9858	0.9542	0.9778	0.9452
KAZN	0.174	0.216	0.1466	0.1722
MMP23B	0.3996	0.2976	0.285	0.211
AJAP1	0.85	0.6828	0.8252	0.6516
MIB2	0.747	0.8264	0.4368	0.5726
ATAD3A	0.7568	0.923	0.5682	0.8064
MTOR	0.389	0.4536	0.2514	0.3672
TNFRSF25	0.9572	0.8068	0.9286	0.6892
CCNL2	0.2496	0.1438	0.0504	0.0196
LINC01128	0.9116	0.8868	0.8954	0.8878
