gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.2318	0.2168	0.1038	0.151
PER3	0.4804	0.3226	0.447	0.283
KIF1B	0.2936	0.5064	0.151	0.4008
PRKCZ	0.8022	0.7482	0.6712	0.6208
KCNAB2	0.5174	0.3774	0.4268	0.3116
ENO1	0.9628	0.952	0.9644	0.9464
GNB1	0.653	0.8176	0.5966	0.7606
ACOT7	0.1206	0.1438	0.083	0.1038
CHD5	0.7428	0.7452	0.4922	0.5578
PARK7	0.1742	0.1724	0.1398	0.1382
PRDM2	0.896	0.9718	0.8874	0.969
UBE4B	0.369	0.3994	0.172	0.2594
ACAP3	0.6384	0.672	0.28	0.3586
FBXO44	0.9974	0.9188	0.9964	0.8996
RERE	0.9742	0.8814	0.9778	0.8694
PEX14	0.1314	0.141	0.0819	0.0834
CLSTN1	0.3772	0.3736	0.235	0.2662
CAMTA1	0.1372	0.0969	0.0975	0.0849
EXOSC10	0.1628	0.1578	0.0496	0.0602
KAZN	0.3262	0.3184	0.3338	0.2932
MTOR	0.1024	0.1736	0.0678	0.1506
CCNL2	0.6238	0.5134	0.4244	0.3652
MTATP6P1	0.2602	0.3154	0.2134	0.2596
NIPAL3	0.967	0.8426	0.969	0.8444
KDM1A	0.5242	0.3372	0.2348	0.0952
FBXO42	0.2842	0.2228	0.0828	0.0601
SPEN	0.0961	0.375	0.0984	0.4
CDC42	0.436	0.3406	0.337	0.2598
EIF4G3	0.4864	0.647	0.4808	0.6376
RAP1GAP	0.5464	0.4564	0.3272	0.2384
CAPZB	0.6624	0.9096	0.607	0.884
NUDC	0.1074	0.116	0.1112	0.1162
USP48	0.1082	0.0687	0.0309	0.025
DNAJC16	0.2482	0.2978	0.0876	0.1702
SRSF4	0.4324	0.7048	0.3626	0.6636
IGSF21	0.4242	0.3704	0.3328	0.3168
RSRP1	0.1186	0.1032	0.0713	0.04
STMN1	0.4328	0.5968	0.4264	0.599
MAN1C1	0.2808	0.2198	0.2226	0.1728
ARID1A	0.106	0.0755	0.0609	0.0479
STX12	0.0448	0.0153	0.03	0.0226
HNRNPR	0.162	0.1382	0.0343	0.0386
AHDC1	0.248	0.258	0.0611	0.0611
UBR4	0.1958	0.1698	0.121	0.1224
HP1BP3	0.0812000000000001	0.0606	0.0106	0.0095
ATP5IF1	0.0487	0.0653	0.0361	0.0524
EPHB2	0.0636	0.0426	0.0496	0.026
SRRM1	0.439	0.2466	0.4306	0.2368
RPL11	0.8896	0.91	0.852	0.8738
EYA3	0.6614	0.627	0.5428	0.5268
NBL1	0.5204	0.8362	0.3836	0.7898
PINK1	0.9066	0.8748	0.9144	0.8534
ATP13A2	0.3768	0.363	0.2364	0.221
CAMK2N1	0.2082	0.2236	0.0586	0.0785
LUZP1	0.1074	0.1448	0.0465	0.0785
TRNAU1AP	0.2058	0.1984	0.0464	0.0705
TMEM50A	0.3578	0.2946	0.3806	0.299
SRSF10	0.5914	0.7254	0.5184	0.668
PHACTR4	0.2664	0.2396	0.1372	0.1446
MACO1	0.1132	0.0632	0.0705	0.0322
NBPF1	0.651	0.727	0.5616	0.6448
UQCRHL	0.9576	0.86	0.9596	0.8306
SCMH1	0.5666	0.5684	0.2988	0.4104
NCDN	0.3318	0.3868	0.159	0.2148
KPNA6	0.376	0.3866	0.1554	0.2248
THRAP3	0.6904	0.8622	0.6614	0.881
NFYC	0.113	0.1646	0.0234	0.0315
EIF2B3	0.2254	0.1766	0.0365	0.0333
SMAP2	0.1226	0.0709	0.0083	0.0042
MAST2	0.129	0.0777	0.0692	0.0474
DLGAP3	0.1568	0.1156	0.1372	0.1072
SFPQ	0.2246	0.1278	0.0081	0.004
HPCAL4	0.2246	0.2742	0.0953	0.1342
RLF	0.0612	0.0357	0.01	0.0099
ATP6V0B	0.3596	0.3394	0.3154	0.2972
ERI3	0.294	0.2086	0.119	0.1086
PRDX1	0.6074	0.4844	0.5428	0.4306
ZCCHC17	0.217	0.1324	0.1808	0.1072
KHDRBS1	0.2154	0.3676	0.0656	0.2022
CSMD2	0.7256	0.7274	0.7436	0.7316
HPCA	0.747	0.6264	0.6624	0.5206
AGO3	0.4662	0.3552	0.3442	0.2478
