gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.1426	0.149	0.0845	0.0758
ENO1	0.4386	0.581	0.4874	0.602
RERE	0.8142	0.7048	0.7754	0.6598
PRDM16	0.4474	0.3532	0.4452	0.362
CLSTN1	0.9238	0.7656	0.8632	0.673
CAMTA1	0.228	0.3238	0.179	0.2434
EIF4G3	0.9464	0.9152	0.94	0.8996
STMN1	0.2098	0.1948	0.1406	0.1418
MACF1	0.1422	0.1528	0.138	0.154
DOCK7	0.0726	0.124	0.0783	0.14
SGIP1	0.2518	0.2476	0.1782	0.1636
ECHDC2	0.272	0.2074	0.1644	0.0833
TUT4	0.9102	0.846	0.8832	0.8008
CACHD1	0.598	0.4264	0.6112	0.4654
ACOT11	0.5724	0.6996	0.5066	0.682
PLPP3	0.3	0.4182	0.1754	0.2836
NFIA	0.0649	0.0827	0.0617	0.0717
NEGR1	0.6142	0.5926	0.3756	0.4106
PDE4B	0.2034	0.1432	0.24	0.1626
FAF1	0.6692	0.7968	0.5652	0.7604
F3	0.3626	0.462	0.2096	0.302
VAV3	0.5576	0.4956	0.4758	0.393
PRKACB	0.8364	0.8866	0.7238	0.8306
DDAH1	0.1864	0.2808	0.1268	0.1942
RNPC3	0.2722	0.2916	0.0325	0.0548
AHCYL1	0.2606	0.328	0.2326	0.267
ASH1L	0.3426	0.1878	0.1736	0.0818
C1orf61	0.2992	0.317	0.3312	0.3422
BCAN	0.5436	0.7838	0.5426	0.781
POGZ	0.0828	0.0646	0.0351	0.0358
ATP1A2	0.7084	0.6966	0.7066	0.7046
POU2F1	0.2436	0.227	0.2382	0.2362
RABGAP1L	0.595	0.947	0.6152	0.9554
PBX1	0.1354	0.186	0.0808	0.1026
DNM3	0.1464	0.1254	0.0758	0.0492
NAV1	0.78	0.829	0.6922	0.7664
CRB1	0.1194	0.1002	0.1338	0.1216
GLUL	0.9022	0.8038	0.8944	0.778
ASTN1	0.4434	0.3996	0.3052	0.2646
BRINP3	0.2504	0.2434	0.1042	0.1022
GPR37L1	0.856	0.93	0.8324	0.9104
ITPKB	0.4848	0.3816	0.4926	0.3874
CDC42BPA	0.3274	0.2352	0.2302	0.1662
ESRRG	0.3508	0.2624	0.3384	0.2552
AKT3_ENSG00000117020	0.1914	0.3354	0.2044	0.3148
AGT	0.5458	0.798	0.5156	0.769
FMN2	0.5804	0.4882	0.6034	0.518
RGS7	0.9702	0.8374	0.9572	0.7844
NCOA1	0.2008	0.1426	0.2262	0.1646
EFR3B	0.5142	0.2544	0.5362	0.2626
ID2	0.7426	0.4392	0.7192	0.4538
BIRC6	0.6354	0.4754	0.601	0.4606
LINC00486	0.6656	0.5286	0.5416	0.3954
LINC00299	0.4152	0.3474	0.4434	0.3978
SPTBN1	0.5754	0.6592	0.411	0.535
RTN4	0.652	0.4428	0.5498	0.3576
