cell_type	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
AST-FB	2	6	7	5	7	0	0	0	0	351	18	382	0	0	0	0
AST-PP	13	0	0	0	0	0	0	0	0	1533	1183	1364	0	0	0	0
Endothelial	3	1	0	8	6	0	0	0	0	745	5	775	0	0	1	97
IN-PV	414	0	0	20	0	337	201	4038	3203	4682	2439	4270	0	0	3596	3134
IN-SST	344	0	7	36	10	2214	1674	3054	2765	2371	140	3587	0	0	2665	2501
IN-SV2C	197	0	0	71	0	982	557	3757	2809	3317	1104	3811	0	0	2942	2010
IN-VIP	470	4	9	16	2	984	707	2979	2262	3322	354	3834	0	0	2466	2061
L2_3	626	4	0	21	0	357	222	3512	2447	8173	6313	7698	0	0	0	0
L4	480	0	0	14	0	0	0	2001	1015	5222	282	5857	0	0	0	0
L5_6	4	0	0	11	0	0	0	2975	431	4056	25	6448	0	0	0	0
L5_6-CC	37	0	0	0	0	0	0	1028	517	6572	61	8196	0	0	0	0
Microglia	4	0	0	0	0	0	0	0	0	481	166	386	0	0	0	0
Neu-mat	42	3	8	1	8	462	445	634	594	826	101	978	328	416	684	723
Neu-NRGN-I	157	1	0	96	25	0	0	95	0	1057	382	1106	0	0	201	60
Neu-NRGN-II	267	33	27	181	121	368	0	470	396	507	202	498	253	168	431	418
Oligodendrocytes	49	0	0	0	0	530	456	738	681	927	724	844	0	0	0	0
OPC	11	0	0	1	0	0	7	1030	1044	1104	1	1259	0	0	2	1
