gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.922989536142284	0.9178	0.8714	0.8926	0.8316	0.362	0.4886	0.1654	0.2754	0.455932507382706	0.455513713674112	0.349509862570575	0.4444	0.5426	0.3366	0.4408
PRKCZ	0.0940241255409432	0.0811	0.069	0.0797	0.0587	0.2464	0.1434	0.1036	0.0379	0.239306003858307	0.225425614344235	0.0784057489162563	0.2702	0.2488	0.1028	0.1172
KCNAB2	0.0331185750857149	0.4852	0.5256	0.4826	0.4978	0.2006	0.3572	0.0875	0.1834	0.0233340117023715	0.131703049982039	0.0091695112297919	0.3024	0.3672	0.1846	0.2446
ENO1	0.305476772877609	0.6744	0.9964	0.5332	0.9944	0.9836	0.955	0.9764	0.9372	0.00806176352432653	0.130794864271658	0.00585331456128689	0.7434	0.9424	0.5648	0.9012
GNB1	0.48607749356508	0.2476	0.2798	0.2548	0.2912	0.4884	0.9752	0.442	0.9794	0.856402723360087	0.712481446287695	0.640172246185532	0.3436	0.3436	0.2622	0.2582
ACOT7	0.154689998115306	0.3958	0.3852	0.403	0.4064	0.0741	0.0638	0.0554	0.0451	0.0855083345579286	0.277633872799237	0.021957644217988	0.0634	0.1128	0.0325	0.0623
CHD5	0.0640637841008171	0.0337	0.0267	0.0172	0.0142	0.6606	0.6596	0.5254	0.555	0.685462372252187	0.8508402273964	0.79878269095024	0.8138	0.692	0.6958	0.5702
PARK7	0.0402414604720366	0.1184	0.1322	0.108	0.0945	0.1366	0.2376	0.0366	0.0963	3.38518863540226e-06	0.0037984815920481	8.22687253777187e-06	0.1138	0.1878	0.0213	0.0372
FBXO2	0.308847846044383	0.428	0.444	0.3808	0.4008	0.0416	0.1582	0.0055	0.0434	0.0167795867289701	0.212933560959821	0.0272527623271737	0.211	0.2458	0.0501	0.0758
PRDM2	0.311990938616842	0.6418	0.7568	0.673	0.7628	0.1198	0.1146	0.0589	0.0907	0.63767234443764	0.639350666627507	0.222814736530213	0.51	0.3406	0.3112	0.1028
