gene	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.0909638810919694	0.0895	0.198	0.0562	0.1304	0.1178	0.0896	0.0298	0.0343	0.00452427368575786	0.0883012737117411	5.9091591022361e-14	0.0808	0.0809	0.0301	0.0277
VPS13D	0.392010865646307	0.1276	0.206	0.1128	0.1696	0.1466	0.5596	0.0893	0.55	0.00104523976699219	0.0157024876832367	1.2558372082783e-08	0.2132	0.3088	0.0595	0.1142
PER3	0.291210151857285	0.7812	0.571	0.7736	0.5298	0.3474	0.1702	0.275	0.109	0.00017910531791848	0.279436866797487	0.645768461443156	0.7914	0.7714	0.8004	0.783
KIF1B	0.607023762953254	0.8678	0.8198	0.8542	0.813	0.3774	0.4718	0.2718	0.335	0.234249319774717	0.182063610620121	0.578705724729456	0.5214	0.4868	0.3554	0.3314
PRKCZ	0.00837712131123513	0.149	0.1694	0.0571	0.0775	0.2238	0.23	0.0384	0.0498	0.0164426553070601	0.114630020886509	3.4606599987821e-09	0.5746	0.5444	0.2808	0.3256
KCNAB2	0.192389940756737	0.1806	0.3838	0.0755	0.2354	0.0386	0.0737	0.0134	0.0307	0.0861244585740842	0.503327331567899	1.12002164584565e-12	0.2852	0.345	0.153	0.2318
ENO1	0.925718866687714	0.6702	0.665	0.6414	0.6626	0.9034	0.9686	0.8992	0.9604	0.175385921972283	0.58967093207653	9.17511702518206e-06	0.8748	0.7496	0.8736	0.7266
GNB1	0.929710580105232	0.4576	0.3354	0.4228	0.2882	0.753	0.9018	0.7098	0.8876	0.1128004596221	0.127576859491145	8.08675895561387e-06	0.521	0.638	0.4504	0.5818
ACOT7	0.113746861518408	0.0887	0.197	0.0956	0.203	0.0231	0.05	0.018	0.0283	1.62378386239355e-06	0.0623613681740454	3.60110527150695e-18	0.2108	0.2746	0.1502	0.197
CEP104	0.717708117077578	0.8574	0.879	0.8488	0.8476	0.24	0.1094	0.131	0.0404	0.289836467995787	0.509501554403989	0.00207226771415282	0.2008	0.1532	0.1082	0.0917
RPL22	0.00267203862609228	0.0759	0.212	0.0462	0.171	0.0479	0.0551	0.0187	0.0311	2.35322872172421e-11	0.0583026011199753	0.000403918729165743	0.1386	0.2024	0.0821	0.1282
CHD5	0.0998514558932646	0.41	0.2626	0.0624	0.0282	0.8474	0.662	0.6074	0.3638	0.00545298050658547	0.62586674409712	0.455821771099895	0.9426	0.7946	0.8478	0.5566
PARK7	0.131351045149489	0.3936	0.5376	0.2592	0.4292	0.2298	0.2894	0.11	0.154	4.25429707815687e-11	0.0801315845245304	4.89913440062126e-25	0.2102	0.2046	0.1274	0.1154
