gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.7126	0.5302	0.6166	0.4276
PER3	0.936	0.8814	0.9326	0.876
KIF1B	0.3406	0.3486	0.318	0.2972
ENO1	0.3424	0.3608	0.3368	0.296
GNB1	0.0533	0.0495	0.0835	0.0795
UBE4B	0.8654	0.7578	0.8746	0.7784
RERE	0.3592	0.3512	0.3096	0.2826
PRDM16	0.1054	0.1176	0.1254	0.1292
CLSTN1	0.2792	0.1798	0.1618	0.1048
SLC25A33	0.8538	0.9852	0.8578	0.9778
CAMTA1	0.9042	0.6116	0.9038	0.569
PRDM16-DT	0.5158	0.5636	0.4592	0.524
ARHGEF10L	0.5678	0.5888	0.5104	0.4858
EIF4G3	0.3298	0.3208	0.276	0.2652
RSRP1	0.5956	0.8366	0.6242	0.8416
ARID1A	0.7118	0.3752	0.672	0.3914
HP1BP3	0.3484	0.3128	0.1614	0.1728
SRRM1	0.4246	0.3224	0.2938	0.24
LUZP1	0.9964	0.8224	0.9962	0.8314
PHACTR4	0.9352	0.9064	0.8858	0.8398
SCMH1	0.9618	0.9622	0.936	0.9464
TESK2	0.969	0.9696	0.9636	0.9732
COL16A1	0.884	0.8384	0.8444	0.8012
SFPQ	0.976	0.8706	0.935	0.8056
ERI3	0.8068	0.994	0.7572	0.994
AGO3	0.4554	0.373	0.453	0.3796
HIVEP3	0.7604	0.7758	0.5694	0.6464
MACF1	0.0932	0.1022	0.1388	0.1126
NASP	0.7404	0.8706	0.73	0.8448
PUM1	0.318	0.359	0.1616	0.2376
KIAA0319L	0.8766	0.864	0.883	0.8742
ZMYM4	0.8724	0.8202	0.8018	0.7356
ZSWIM5	0.291	0.2092	0.25	0.1692
RNF220	0.6042	0.4612	0.6186	0.4836
ARMH1	0.6308	0.6032	0.5426	0.5058
FOXJ3	0.571	0.6664	0.5188	0.6088
_ENSG00000228436	0.4316	0.399	0.104	0.0914
LRRC7	0.6684	0.5366	0.5614	0.4268
NRDC	0.3272	0.2786	0.193	0.1544
EPS15	0.3288	0.319	0.1366	0.1602
DOCK7	0.608	0.7166	0.5164	0.671
WLS	0.242	0.1474	0.181	0.1524
SRSF11	0.924	0.975	0.8724	0.9658
OSBPL9	0.3518	0.3872	0.3806	0.411
SGIP1	0.7656	0.6716	0.6694	0.553
ECHDC2	0.4734	0.7764	0.5024	0.7882
SPATA6	0.9522	0.828	0.948	0.8236
ZRANB2	0.6514	0.671	0.4786	0.5856
PATJ	0.3598	0.314	0.2982	0.269
TUT4	0.9096	0.9288	0.8398	0.8842
CACHD1	0.9514	0.9496	0.947	0.9532
ACOT11	0.9264	0.9424	0.9274	0.95
USP24	0.985	0.9478	0.9804	0.9286
PLPP3	0.2106	0.16	0.1664	0.1418
NFIA	0.3784	0.4746	0.366	0.4794
NEGR1	0.6838	0.5954	0.4956	0.4124
FGGY	0.7764	0.7678	0.7566	0.7486
DAB1	0.5692	0.2884	0.5852	0.3078
PDE4B	0.5804	0.617	0.494	0.5762
FAF1	0.1222	0.1806	0.1316	0.1864
ROR1	0.4398	0.4536	0.4566	0.4752
AGBL4	0.2528	0.1296	0.2586	0.1474
LINC01748	0.2886	0.1872	0.273	0.1826
_ENSG00000231252	0.9758	0.894	0.9758	0.9156
PKN2	0.199	0.0299	0.1742	0.0261
EVI5	0.7518	0.6344	0.709	0.561
TGFBR3	0.5074	0.3762	0.478	0.3536
CDC14A	0.4868	0.4174	0.434	0.3666
CNN3	0.5144	0.586	0.4938	0.562
F3	0.9404	0.901	0.917	0.863
PTBP2	0.6324	0.3384	0.5652	0.3152
ZNF644	0.5496	0.379	0.4014	0.2606
RPAP2	0.2806	0.2472	0.2624	0.2498
VAV3	0.6276	0.5746	0.5672	0.4966
BCAR3	0.288	0.197	0.221	0.1726
PRKACB	0.9944	0.8804	0.988	0.8334
DDAH1	0.653	0.8758	0.614	0.867
HS2ST1	0.7288	0.705	0.7406	0.6946
AGL	0.5808	0.493	0.4668	0.3468
RNPC3	0.4664	0.6244	0.3798	0.5924
CCDC18-AS1	0.2936	0.1582	0.253	0.1368
SLC44A3-AS1	0.5372	0.731	0.4164	0.608
MAGI3	0.7648	0.5564	0.753	0.5458
CAPZA1	0.8188	0.9446	0.7648	0.9374
NOTCH2	0.9972	0.7952	0.996	0.7802
AHCYL1	0.851	0.801	0.8618	0.812
_ENSG00000223804	0.5116	0.3702	0.2278	0.214
RNF115	0.6336	0.5254	0.6288	0.5194
_ENSG00000274642	0.3372	0.3634	0.2232	0.231
ASH1L	0.5292	0.425	0.5292	0.434
C1orf61	0.43	0.7484	0.475	0.7686
BCAN	0.5316	0.7272	0.4586	0.6938
SYT11	0.2926	0.2752	0.3148	0.2768
VPS45	0.5156	0.5056	0.5196	0.5126
ENSA	0.3278	0.414	0.3718	0.4346
POGZ	0.1042	0.0971	0.1044	0.0842
KCNN3	0.647	0.4286	0.5788	0.3646
S100A1	0.519	0.7098	0.5254	0.7142
RPRD2	0.5834	0.6854	0.5642	0.6292
PBXIP1	0.8644	0.8666	0.8256	0.8434
PDE4DIP	0.1538	0.1274	0.131	0.1158
OTUD7B	0.4638	0.5112	0.3484	0.4344
NBPF19	0.6428	0.4998	0.474	0.331
LINC01138	0.2952	0.2868	0.1064	0.1196
ATP1A2	0.331	0.285	0.3452	0.3312
PRRX1	0.4524	0.4536	0.2758	0.263
PRRC2C	0.7954	0.8196	0.6944	0.739
PRDX6	0.8758	0.8678	0.8444	0.8478
DCAF6	0.8842	0.7776	0.8656	0.7284
POU2F1	0.138	0.178	0.1452	0.1688
COP1	0.1356	0.2122	0.1106	0.1592
RABGAP1L	0.1524	0.1644	0.1516	0.1558
KCNJ10	0.874	0.9502	0.8732	0.9316
PBX1	0.0458	0.0523	0.0612	0.0645
DNM3	0.1094	0.1104	0.1066	0.0995
ATP2B4	0.4118	0.3058	0.1672	0.1584
ZC3H11A	0.998	0.7766	0.9978	0.7234
PPP1R12B	0.2654	0.2134	0.248	0.2002
C1orf21	0.5818	0.4834	0.55	0.4616
CAMSAP2	0.241	0.133	0.2172	0.128
NAV1	0.1078	0.1356	0.0579	0.0731
CRB1	0.179	0.1332	0.15	0.1306
GLUL	0.9508	0.8646	0.9348	0.8392
CEP350	0.6314	0.5204	0.5518	0.402
NPL	0.2036	0.1356	0.1864	0.1298
XPR1	0.219	0.2456	0.1412	0.164
RGL1	0.325	0.3042	0.3194	0.305
ASTN1	0.8266	0.805	0.6916	0.6858
CSRP1	0.853	0.7224	0.807	0.6806
BRINP3	0.3274	0.3554	0.1224	0.1612
GPR37L1	0.7648	0.8316	0.6916	0.7908
MDM4	0.0676	0.0903	0.0557	0.0632
BRINP2	0.85	0.845	0.8354	0.7988
ACBD6	0.3376	0.359	0.3256	0.3374
NUCKS1	0.9658	0.983	0.9508	0.9786
PLXNA2	0.8682	0.7652	0.8822	0.7856
TGFB2	0.7032	0.9448	0.6338	0.9292
RPS6KC1	0.5646	0.4936	0.5254	0.4458
LYPLAL1	0.935	0.8022	0.9292	0.7524
TP53BP2	0.8924	0.6746	0.8648	0.6222
ITPKB	0.8618	0.836	0.8258	0.778
CDC42BPA	0.8148	0.4986	0.7452	0.4042
EPHX1	0.2068	0.125	0.1238	0.0806
ENAH	0.957	0.6692	0.954	0.6606
ESRRG	0.2014	0.1542	0.1972	0.166
ARID4B	0.9516	0.7878	0.9536	0.8004
SDCCAG8_ENSG00000054282	0.3224	0.1986	0.2648	0.1746
AKT3_ENSG00000117020	0.365	0.3546	0.358	0.375
AGT	0.78	0.9148	0.735	0.8938
GALNT2	0.5322	0.4052	0.4828	0.336
FMN2	0.4912	0.3808	0.5094	0.3786
PLD5	0.4968	0.3164	0.3816	0.2448
RGS7	0.7572	0.9708	0.7092	0.9678
EFCAB2	0.616	0.5998	0.5876	0.563
LTBP1	0.297	0.38	0.1264	0.2432
PUM2	0.593	0.4546	0.3792	0.254
NCOA1	0.4908	0.5788	0.5298	0.587
EFR3B	0.1672	0.1626	0.1864	0.1802
RAB10	0.2122	0.1606	0.2098	0.1286
CLIP4	0.149	0.246	0.1114	0.184
ID2	0.5504	0.778	0.5008	0.6936
BIRC6	0.903	0.6614	0.8138	0.5156
ATAD2B	0.719	0.7148	0.6288	0.6348
KIDINS220	0.408	0.3222	0.2134	0.1526
ROCK2	0.6952	0.688	0.4782	0.5548
LPIN1	0.447	0.2846	0.3488	0.2302
DTNB	0.3386	0.4042	0.2648	0.3594
MBOAT2	0.9456	0.8936	0.9364	0.8622
RHOB	0.903	0.6938	0.7956	0.5616
