gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
VPS13D	0.2706	0.8028	0.2628	0.8148
PER3	0.7566	0.8086	0.7646	0.8304
KIF1B	0.4918	0.5484	0.4526	0.5092
PRKCZ	0.0345	0.0301	0.0082	0.0078
KCNAB2	0.0491	0.0768	0.03	0.0534
ENO1	0.8938	0.6882	0.889	0.7096
GNB1	0.526	0.638	0.489	0.6058
ACOT7	0.1296	0.1624	0.1244	0.1652
CHD5	0.7516	0.7058	0.6516	0.6244
PARK7	0.225	0.37	0.1666	0.3036
PRDM2	0.282	0.6824	0.1974	0.5836
UBE4B	0.4188	0.4512	0.286	0.321
ACAP3	0.5114	0.4026	0.1598	0.0814
FBXO44	0.7976	0.5726	0.7358	0.5206
RERE	0.0767	0.0479	0.0965	0.0558
PEX14	0.1024	0.066	0.0941	0.0612
CLSTN1	0.2942	0.4004	0.245	0.3728
CAMTA1	0.3904	0.3906	0.3936	0.3666
EXOSC10	0.0329	0.0512	0.0227	0.0462
KAZN	0.1628	0.2224	0.1992	0.2356
MTOR	0.095	0.141	0.0769	0.1222
CCNL2	0.2622	0.1726	0.2286	0.1306
MTATP6P1	0.4836	0.6358	0.397	0.5684
NIPAL3	0.8824	0.7576	0.8656	0.6976
KDM1A	0.9972	0.8692	0.995	0.823
FBXO42	0.5624	0.6024	0.4158	0.505
SPEN	0.4984	0.4368	0.3444	0.304
CDC42	0.9772	0.9024	0.9694	0.8952
EIF4G3	0.3856	0.601	0.4018	0.6104
RAP1GAP	0.562	0.5496	0.457	0.464
CAPZB	0.0364	0.1027	0.0409	0.094
NUDC	0.1194	0.1196	0.1364	0.1398
USP48	0.5308	0.6872	0.4722	0.6252
DNAJC16	0.5678	0.4362	0.4748	0.3416
SRSF4	0.7972	0.8762	0.7996	0.8746
IGSF21	0.2118	0.1454	0.0793	0.0596
RSRP1	0.0689	0.0554	0.0687	0.0553
STMN1	0.2212	0.2328	0.1918	0.2006
MAN1C1	0.6428	0.9466	0.6516	0.9376
ARID1A	0.9276	0.8548	0.911	0.8518
STX12	0.4824	0.6522	0.457	0.5976
HNRNPR	0.1306	0.111	0.134	0.122
AHDC1	0.7952	0.8596	0.757	0.844
UBR4	0.0131	0.0354	0.0187	0.0454
HP1BP3	0.429	0.3656	0.2888	0.2398
ATP5IF1	0.019	0.0463	0.0185	0.0429
EPHB2	0.3942	0.6292	0.3832	0.6188
SRRM1	0.6412	0.5092	0.6486	0.5202
RPL11	0.6428	0.5518	0.5278	0.4308
EYA3	0.4802	0.3456	0.3966	0.2186
NBL1	0.4252	0.8918	0.369	0.8738
PINK1	0.9722	0.925	0.977	0.9284
ATP13A2	0.3064	0.273	0.2068	0.1842
CAMK2N1	0.2604	0.3106	0.1206	0.1928
LUZP1	0.6414	0.6228	0.639	0.5852
TRNAU1AP	0.7766	0.5952	0.7152	0.4992
TMEM50A	0.6904	0.8176	0.6618	0.7936
SRSF10	0.4974	0.4042	0.4258	0.3354
PHACTR4	0.139	0.1626	0.0806	0.0972
MACO1	0.9104	0.763	0.909	0.7752
NBPF1	0.5432	0.401	0.5688	0.4468
UQCRHL	0.7872	0.9156	0.7218	0.8974
SCMH1	0.7172	0.6502	0.6346	0.5952
NCDN	0.278	0.3974	0.2168	0.3062
KPNA6	0.9134	0.9872	0.9072	0.9886
THRAP3	0.9122	0.977	0.8966	0.9728
NFYC	0.1312	0.1872	0.0995	0.1558
EIF2B3	0.1744	0.3164	0.1454	0.2688
SMAP2	0.927	0.9738	0.9208	0.976
MAST2	0.569	0.4792	0.516	0.4014
DLGAP3	0.1424	0.1424	0.1424	0.1358
SFPQ	0.2488	0.14	0.0924	0.0332
HPCAL4	0.0209	0.0161	0.0241	0.0163
RLF	0.0132	0.0169	0.0035	0.0088
ATP6V0B	0.3658	0.4394	0.4038	0.4716
ERI3	0.2026	0.1552	0.1406	0.0962
PRDX1	0.9206	0.9904	0.8902	0.9822
ZCCHC17	0.598	0.672	0.4378	0.576
KHDRBS1	0.1622	0.3968	0.1994	0.4082
CSMD2	0.4642	0.6914	0.43	0.6922
HPCA	0.9306	0.956	0.9226	0.9518
AGO3	0.493	0.5244	0.4942	0.5302
ST3GAL3	0.0581	0.0489	0.057	0.0519
HIVEP3	0.5366	0.6202	0.4514	0.5424
MACF1	0.0147	0.0112	0.0195	0.017
PPT1	0.571	0.3602	0.5926	0.3946
NASP	0.0327	0.0156	0.0392	0.0206
PUM1	0.085	0.0761	0.0933	0.1026
YARS1	0.3778	0.3186	0.254	0.225
PHC2	0.1066	0.0922	0.1064	0.1106
AGO4	0.6832	0.879	0.6984	0.8926
KIAA0319L	0.5018	0.3296	0.5434	0.3456
RPS8	0.7092	0.7258	0.6364	0.654
PTPRF	0.7436	0.9226	0.678	0.9022
ZMYM4	0.804	0.6178	0.7202	0.4422
GPBP1L1	0.4452	0.6106	0.4138	0.5954
BSDC1	0.8604	0.9084	0.8458	0.9176
ZSWIM5	0.4884	0.3202	0.4336	0.2884
SYNC	0.263	0.3278	0.107	0.1568
RBBP4	0.7768	0.8398	0.78	0.8486
MEAF6	0.8712	0.8506	0.8626	0.8168
NDUFS5	0.5394	0.4692	0.4854	0.3864
UQCRH	0.967	0.762	0.9696	0.7588
MARCKSL1	0.0842	0.0689	0.0799	0.0641
ZBTB8OS	0.9264	0.6448	0.9278	0.6322
CCDC30	0.3226	0.387	0.1616	0.1852
RNF220	0.0306	0.1062	0.0348	0.134
FOXJ3	0.4594	0.681	0.4442	0.662
INPP5B	0.298	0.4068	0.173	0.296
_ENSG00000228436	0.4336	0.3846	0.4284	0.3864
LRRC7	0.2084	0.2022	0.2138	0.2044
NRDC	0.0676	0.0858	0.0355	0.0479
MKNK1	0.2842	0.2036	0.296	0.224
EPS15	0.2806	0.4502	0.1888	0.347
SCP2	0.4858	0.3228	0.4848	0.3146
TMEM59	0.9978	0.9648	0.9982	0.9558
DOCK7	0.4248	0.3408	0.4334	0.3742
DNAJC6	0.1482	0.2552	0.0781	0.1768
SRSF11	0.6534	0.5932	0.5664	0.507
OSBPL9	0.2368	0.2448	0.256	0.2654
ANKRD13C	0.9154	0.9724	0.923	0.9734
SGIP1	0.9264	0.8502	0.9084	0.8258
ECHDC2	0.4218	0.5346	0.4302	0.5534
RNF11	0.5776	0.6542	0.4088	0.5116
ATPAF1	0.7502	0.5944	0.7744	0.5574
ATG4C	0.6152	0.618	0.5482	0.55
SPATA6	0.7672	0.9202	0.7118	0.8814
ZRANB2	0.3554	0.2726	0.3138	0.1936
PATJ	0.582	0.6392	0.4814	0.5384
HOOK1	0.757	0.8416	0.6964	0.8084
BTF3L4	0.8064	0.8746	0.7828	0.8466
TUT4	0.1062	0.0939	0.1146	0.1128
ITGB3BP	0.3426	0.6966	0.3238	0.6574
ZFYVE9	0.816	0.9254	0.822	0.9188
LRP8	0.6118	0.8616	0.569	0.8522
SSBP3	0.1856	0.19	0.17	0.1896
ELAVL4	0.0453	0.0504	0.0329	0.0404
ZYG11B	0.23	0.2254	0.1938	0.2286
USP24	0.874	0.844	0.8476	0.8162
PRKAA2	0.0888	0.08	0.0926	0.0843
JAK1	0.7722	0.7912	0.7508	0.7746
RAVER2	0.2106	0.1326	0.2142	0.1256
NFIA	0.5226	0.4484	0.4608	0.3608
MYSM1	0.8296	0.8496	0.786	0.8254
TM2D1	0.3478	0.2626	0.3738	0.268
NEGR1	0.0504	0.0841	0.0396	0.0679
FGGY	0.7052	0.7962	0.6618	0.7906
DAB1	0.9796	0.6088	0.9716	0.5546
PDE4B	0.5814	0.6352	0.4934	0.5336
FAF1	0.892	0.8094	0.8292	0.751
AGBL4	0.4094	0.562	0.4314	0.5516
MIER1	0.406	0.2506	0.4018	0.2338
EFCAB7	0.8716	0.6552	0.8474	0.5362
_ENSG00000036549	0.83	0.8704	0.8274	0.8704
COL11A1	0.954	0.757	0.9616	0.7846
PKN2	0.4758	0.486	0.3992	0.414
EVI5	0.839	0.6888	0.8126	0.6378
USP33	0.0636	0.0498	0.0512	0.0501
SH3GLB1	0.0999	0.0925	0.0763	0.0686
ACADM	0.903	0.7356	0.8954	0.6972
ST6GALNAC5	0.0934	0.4942	0.0517	0.3654
ADGRL2	0.3066	0.5332	0.328	0.5626
SSX2IP	0.9286	0.934	0.895	0.9142
ABCD3	0.4722	0.447	0.4752	0.4634
PTBP2	0.7074	0.4844	0.6562	0.3866
PLPPR5	0.269	0.3084	0.2116	0.2416
PLPPR4	0.9072	0.9658	0.8692	0.9444
OLFM3	0.768	0.9744	0.7134	0.9722
RPL5	0.641	0.858	0.4818	0.8194
ODF2L	0.3202	0.2504	0.3062	0.187
LRRC39	0.3588	0.3718	0.332	0.3488
ZNF644	0.6704	0.4958	0.5048	0.3514
RPAP2	0.1852	0.199	0.1542	0.1334
TTLL7	0.3334	0.4026	0.3432	0.3864
FNBP1L	0.1016	0.1782	0.055	0.1022
GIPC2	0.312	0.1974	0.3042	0.2176
SLC44A5	0.8298	0.7962	0.8416	0.79
RPL7P9	0.698	0.8486	0.6302	0.8226
PRKACB	0.2608	0.1808	0.2122	0.136
PIGK	0.3176	0.3098	0.2028	0.2094
LMO4	0.2152	0.2342	0.111	0.1548
MTF2	0.8502	0.883	0.8046	0.8276
DDAH1	0.3356	0.3256	0.34	0.3322
HS2ST1	0.6314	0.7476	0.64	0.7644
AK5	0.9568	0.9776	0.947	0.9692
DIPK1A	0.2988	0.2604	0.2986	0.2472
MFSD14A	0.383	0.395	0.3638	0.3822
FUBP1	0.192	0.1858	0.1686	0.1986
ZNF326	0.5996	0.3738	0.6058	0.3652
HFM1	0.1674	0.373	0.201	0.4228
AGL	0.7256	0.8398	0.73	0.815
SLC30A7	0.5976	0.4626	0.5872	0.4192
GLMN	0.3358	0.3416	0.3036	0.2978
ERICH3	0.1034	0.0746	0.0534	0.0626
