gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.4194	0.3872	0.3904	0.356
VPS13D	0.9192	0.963	0.857	0.9364
PER3	0.7924	0.806	0.7602	0.793
KIF1B	0.4632	0.4112	0.495	0.4316
PRKCZ	0.7112	0.5772	0.6358	0.5104
KCNAB2	0.3214	0.2846	0.2226	0.167
ENO1	0.5256	0.5374	0.4602	0.487
GNB1	0.863	0.9826	0.854	0.9814
SDF4	0.6138	0.4548	0.1858	0.106
ACOT7	0.5328	0.492	0.4628	0.4304
DVL1	0.488	0.9074	0.3202	0.8848
MORN1	0.0162	0.019	0.0103	0.0166
CEP104	0.9534	0.7042	0.9404	0.6074
ICMT	0.883	0.9042	0.853	0.8794
RPL22	0.0871	0.071	0.0488	0.047
CHD5	0.8012	0.6906	0.598	0.4268
ERRFI1	0.322	0.2046	0.2834	0.1376
PARK7	0.1212	0.2088	0.0699	0.1112
SRM	0.7304	0.8018	0.6488	0.7368
FBXO2	0.7758	0.9972	0.7624	0.9978
KIAA2013	0.199	0.198	0.1252	0.1232
MFN2	0.1916	0.1486	0.1482	0.115
PRDM2	0.2874	0.2948	0.3086	0.3238
INTS11	0.9766	0.7462	0.9652	0.6766
LRRC47	0.3814	0.5178	0.3036	0.4646
UBE4B	0.281	0.3136	0.1212	0.1658
ACAP3	0.5366	0.4162	0.1626	0.0647
C1orf159	0.7152	0.701	0.6646	0.6766
NPHP4	0.1554	0.1064	0.1034	0.0718
FBXO44	0.7848	0.636	0.7574	0.5814
RERE	0.1794	0.106	0.1504	0.0697
CFAP74	0.1926	0.1046	0.1722	0.0954
FHAD1	0.1034	0.0769	0.0925	0.076
EFHD2	0.3584	0.947	0.1722	0.9158
PEX14	0.3202	0.4322	0.2396	0.3518
PGD	0.6096	0.4836	0.6374	0.4816
PLCH2_ENSG00000149527	0.9006	0.5182	0.8104	0.2524
RER1	0.6028	0.4312	0.4572	0.2412
SKI	0.8052	0.9208	0.6814	0.8896
TPRG1L	0.2572	0.5962	0.1028	0.4712
DFFA	0.15	0.2812	0.0754	0.1322
ATAD3B	0.2146	0.1632	0.1446	0.1022
SSU72	0.8528	0.6246	0.796	0.5242
UBE2J2	0.6836	0.9128	0.4184	0.8526
NOL9	0.2	0.1964	0.1654	0.1456
SLC45A1	0.1804	0.1046	0.2152	0.11
LZIC	0.4288	0.4642	0.3056	0.3064
CLSTN1	0.5256	0.5958	0.399	0.4604
PIK3CD	0.0016	0.0019	0.0021	0.0053
