gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.5096	0.5082	0.441	0.47
PER3	0.758	0.7036	0.7082	0.7046
KIF1B	0.302	0.2738	0.2374	0.1474
PRKCZ	0.3406	0.3764	0.0371	0.0632
KCNAB2	0.3182	0.2228	0.214	0.1274
ENO1	0.6868	0.503	0.6722	0.5314
GNB1	0.8606	0.8586	0.8668	0.8026
ACOT7	0.3768	0.3036	0.269	0.2094
CHD5	0.6002	0.559	0.2876	0.2924
PARK7	0.4756	0.4814	0.5592	0.5894
PRDM2	0.7318	0.9086	0.8012	0.9734
UBE4B	0.3732	0.327	0.2422	0.2674
ACAP3	0.7592	0.6868	0.6552	0.5262
FBXO44	0.2586	0.3062	0.117	0.1986
RERE	0.3322	0.4594	0.2668	0.4222
EFHD2	0.475	0.4372	0.4344	0.421
PEX14	0.8108	0.8748	0.7734	0.824
SKI	0.9296	0.9462	0.9692	0.9912
CLSTN1	0.4144	0.486	0.3302	0.4558
PIK3CD	0.5176	0.6188	0.3712	0.5196
CAMTA1	0.2486	0.1094	0.2852	0.1276
KAZN	0.4344	0.4008	0.3104	0.358
MTOR	0.426	0.2438	0.418	0.2668
MTATP6P1	0.59	0.6098	0.577	0.5928
NIPAL3	0.9612	0.7838	0.9598	0.7628
KDM1A	0.4874	0.3598	0.4514	0.3232
FBXO42	0.5698	0.69	0.4748	0.6364
PITHD1	0.4054	0.7684	0.2022	0.704
SPEN	0.0823	0.1194	0.0797	0.0939
CDC42	0.632	0.8054	0.6156	0.8294
EIF4G3	0.7292	0.803	0.7048	0.7986
RAP1GAP	0.3896	0.3562	0.115	0.1046
CAPZB	0.4852	0.2702	0.515	0.3314
CROCCP3	0.3602	0.387	0.3102	0.423
USP48	0.3496	0.5008	0.3634	0.5692
DNAJC16	0.3778	0.3626	0.2296	0.2174
SRSF4	0.3376	0.24	0.2884	0.2008
PLEKHM2	0.9844	0.9068	0.9536	0.934
RSRP1	0.4514	0.4154	0.4292	0.3904
STMN1	0.8608	0.8256	0.814	0.8498
ARID1A	0.1946	0.115	0.134	0.0725
STX12	0.6966	0.6658	0.748	0.763
HNRNPR	0.7608	0.6972	0.6876	0.6938
UBR4	0.1886	0.167	0.1026	0.1074
HP1BP3	0.969	0.9054	0.9768	0.9504
ATP5IF1	0.7422	0.7132	0.6708	0.657
SRRM1	0.1342	0.1986	0.2032	0.2738
RPL11	0.1724	0.182	0.165	0.1598
EYA3	0.2594	0.3406	0.2036	0.3706
NBL1	0.3766	0.4186	0.1878	0.263
PINK1	0.6068	0.7582	0.551	0.689
ATP13A2	0.4658	0.453	0.3632	0.365
CAMK2N1	0.4432	0.4618	0.3014	0.3206
LUZP1	0.606	0.5644	0.5638	0.4894
TMEM50A	0.7744	0.6858	0.8614	0.8056
SRSF10	0.4092	0.5748	0.3196	0.5384
PHACTR4	0.4668	0.625	0.3886	0.644
MACO1	0.5248	0.723	0.479	0.7718
NBPF1	0.3692	0.5588	0.244	0.4802
UQCRHL	0.193	0.1366	0.1916	0.1312
SCMH1	0.698	0.6948	0.5516	0.5964
NCDN	0.5298	0.69	0.4354	0.654
THRAP3	0.7392	0.7678	0.7418	0.7812
NFYC	0.7854	0.9934	0.6942	0.9112
EIF2B3	0.7872	0.691	0.7052	0.5804
SMAP2	0.919	0.9838	0.9932	0.8718
MAST2	0.8616	0.9178	0.8278	0.8602
SFPQ	0.8048	0.8752	0.7064	0.8174
MAP7D1	0.5468	0.7574	0.3028	0.67
HPCAL4	0.5268	0.757	0.436	0.733
RLF	0.6308	0.6728	0.6098	0.6778
ATP6V0B	0.2428	0.3192	0.144	0.2266
ERI3	0.7846	0.7182	0.7406	0.731
PRDX1	0.7784	0.8518	0.8434	0.822
ZCCHC17	0.826	0.8032	0.9216	0.7786
KHDRBS1	0.9852	0.9832	1	0.9696
CSMD2	0.7044	0.5274	0.7298	0.5792
AGO3	0.3032	0.354	0.2286	0.2906
ST3GAL3	0.9958	0.6748	0.9858	0.5926
HIVEP3	0.5496	0.651	0.3774	0.5884
