gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.6228	0.5498	0.6194	0.5314
VPS13D	0.2816	0.1588	0.25	0.1364
PER3	0.4214	0.2566	0.3832	0.1888
KIF1B	0.287	0.4424	0.3052	0.4434
PRKCZ	0.2542	0.2374	0.1292	0.1158
KCNAB2	0.1186	0.0629	0.0544	0.0419
ENO1	0.831	0.698	0.8126	0.6736
GNB1	0.5014	0.3724	0.5068	0.4024
SDF4	0.5182	0.7986	0.315	0.6962
ACOT7	0.7358	0.7042	0.7506	0.6988
CEP104	0.439	0.604	0.3556	0.6042
RPL22	0.5358	0.3352	0.502	0.2956
CHD5	0.4784	0.2484	0.1376	0.0303
PARK7	0.0359	0.0352	0.036	0.0431
MFN2	0.8072	0.8502	0.7896	0.819
PRDM2	0.762	0.8908	0.7728	0.891
INTS11	0.279	0.264	0.2332	0.2056
UBE4B	0.5026	0.6842	0.3044	0.5998
ACAP3	0.3932	0.3448	0.0797	0.083
C1orf159	0.3166	0.1902	0.328	0.208
NPHP4	0.8162	0.7582	0.7734	0.7556
FBXO44	0.6248	0.5496	0.5514	0.4798
RERE	0.8278	0.511	0.8168	0.5504
FHAD1	0.558	0.6384	0.406	0.4806
EFHD2	0.1692	0.249	0.0714	0.1384
PEX14	0.4352	0.512	0.4248	0.4866
RER1	0.0925	0.0535	0.0383	0.0238
SKI	0.6504	0.6368	0.5802	0.5734
TPRG1L	0.7146	0.9184	0.679	0.8966
SSU72	0.41	0.5588	0.3086	0.4322
UBE2J2	0.6068	0.3792	0.4606	0.2358
NOL9	0.818	0.776	0.8186	0.744
SLC45A1	0.3708	0.2968	0.2936	0.2328
CLSTN1	0.5528	0.6196	0.473	0.5322
PLEKHG5	0.146	0.11	0.1686	0.13
CAMTA1	0.4384	0.3954	0.3856	0.3544
EXOSC10	0.2038	0.501	0.2378	0.5196
AURKAIP1	0.2708	0.0871	0.1642	0.0154
CTNNBIP1	0.4736	0.679	0.4296	0.6564
GABRD	0.2622	0.1894	0.156	0.0861
NOC2L	0.7282	0.8482	0.645	0.8016
KAZN	0.7946	0.8768	0.7498	0.8546
AJAP1	0.5126	0.9594	0.3696	0.9348
MIB2	0.686	0.8072	0.237	0.437
MTOR	0.2478	0.4488	0.2336	0.4234
CCNL2	0.8978	0.7608	0.9004	0.7452
_ENSG00000230021	0.871	0.7374	0.8032	0.5896
LINC01409	0.068	0.0774	0.0843	0.0846
MRPL20	0.7896	0.806	0.8172	0.8258
CDK11B	0.0434	0.0301	0.0231	0.0193
MTATP6P1	0.39	0.6148	0.3212	0.556
NIPAL3	0.0612	0.0738	0.064	0.0697
KDM1A	0.3528	0.2856	0.3664	0.3026
FBXO42	0.466	0.4678	0.4392	0.4512
PITHD1	0.8768	0.904	0.8732	0.9018
CROCC	0.5254	0.4044	0.4826	0.3038
PTPRU	0.5508	0.9524	0.4846	0.9422
SPEN	0.746	0.905	0.7556	0.8864
CDC42	0.5828	0.5126	0.4444	0.4344
ARHGEF10L	0.887	0.8208	0.7508	0.7422
EIF4G3	0.6342	0.8158	0.6618	0.8334
RAP1GAP	0.0244	0.0108	0.0013	7e-04
CAPZB	0.246	0.227	0.236	0.2108
CROCCP3	0.4096	0.3384	0.382	0.3178
SLC9A1	0.4094	0.2578	0.424	0.2828
NUDC	0.2732	0.2072	0.307	0.2482
USP48	0.4088	0.5046	0.4182	0.5018
DNAJC16	0.7236	0.6512	0.5816	0.566
SRSF4	0.2534	0.2932	0.245	0.2956
MECR	0.1324	0.1796	0.1666	0.2172
PLEKHM2	0.3628	0.3486	0.3794	0.311
SDHB	0.8954	0.7762	0.9016	0.7826
IGSF21	0.1658	0.1142	0.097	0.0565
ECE1	0.9174	0.6324	0.9206	0.6622
RSRP1	0.2494	0.5338	0.2868	0.5538
STMN1	0.3964	0.4844	0.3396	0.4378
MAN1C1	0.0411	0.0536	0.0619	0.0732
DHDDS	0.7132	0.5214	0.6528	0.504
ARID1A	0.6202	0.6442	0.6366	0.6592
STX12	0.3204	0.2102	0.3016	0.1644
HNRNPR	0.6254	0.9926	0.6448	0.989
DNAJC8	0.4002	0.223	0.3496	0.2154
AHDC1	0.8024	0.7862	0.7006	0.6598
UBR4	0.1828	0.1436	0.2042	0.1706
HP1BP3	0.46	0.5606	0.3854	0.5484
ATP5IF1	0.115	0.312	0.1136	0.289
EPHB2	0.1754	0.1816	0.1754	0.1898
