gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.0957	0.0857	0.0065	0.0106
VPS13D	0.2344	0.223	0.0387	0.0743
PER3	0.8688	0.6964	0.8328	0.658
KIF1B	0.443	0.366	0.2092	0.2026
PRKCZ	0.6176	0.4596	0.282	0.1672
KCNAB2	0.6378	0.4012	0.5478	0.327
ENO1	0.9656	0.9802	0.9648	0.9828
GNB1	0.9128	0.917	0.9102	0.9072
ACOT7	0.2476	0.2274	0.1332	0.1322
CEP104	0.1452	0.1576	0.038	0.0594
CHD5	0.9034	0.8912	0.7288	0.7298
PARK7	0.0446	0.0644	0.0354	0.044
MFN2	0.3428	0.4664	0.2306	0.3582
PRDM2	0.2494	0.1508	0.2244	0.1502
INTS11	0.8846	0.9254	0.7372	0.8684
UBE4B	0.0708	0.0471	0.0087	0.0068
ACAP3	0.99	0.9656	0.977	0.9268
C1orf159	0.3694	0.4738	0.3788	0.4638
FBXO44	0.8102	0.9772	0.725	0.9698
RERE	0.6168	0.505	0.554	0.4214
PEX14	0.1082	0.071	0.0243	0.0179
PLCH2_ENSG00000149527	0.5686	0.662	0.1218	0.2976
SKI	0.4316	0.4338	0.1094	0.137
SSU72	0.9624	0.9026	0.938	0.8764
FAAP20	0.8352	0.9564	0.6598	0.8806
CLSTN1	0.3218	0.3484	0.1538	0.1736
CAMTA1	0.205	0.2384	0.0815	0.1084
EXOSC10	0.207	0.2274	0.0417	0.0555
AURKAIP1	0.6084	0.635	0.5256	0.5996
GABRD	0.3452	0.4974	0.1882	0.3072
KAZN	0.1678	0.1436	0.138	0.1052
AJAP1	0.8216	0.9024	0.832	0.915
MTOR	0.074	0.1078	0.0256	0.0476
CCNL2	0.4376	0.3006	0.2588	0.1412
_ENSG00000230021	0.3918	0.437	0.134	0.1694
MRPL20	0.2424	0.342	0.238	0.3172
CDK11B	0.0514	0.142	0.0198	0.0784
MTATP6P1	0.1532	0.151	0.0984	0.091
KDM1A	0.408	0.3682	0.2684	0.2494
FBXO42	0.2638	0.301	0.0881	0.1512
PITHD1	0.5078	0.4986	0.3164	0.3146
CROCC	0.4132	0.3824	0.283	0.236
SPEN	0.9304	0.5064	0.931	0.5472
CDC42	0.3738	0.3244	0.287	0.24
ARHGEF10L	0.1942	0.185	0.1382	0.1156
EIF4G3	0.588	0.6174	0.5592	0.5712
RAP1GAP	0.92	0.8402	0.8312	0.677
CAPZB	0.3046	0.3754	0.3078	0.3756
CROCCP3	0.2144	0.187	0.117	0.1198
NUDC	0.0626	0.0891	0.0736	0.1
USP48	0.0909	0.0927	0.0568	0.0843
DNAJC16	0.164	0.1932	0.0441	0.0842
OPRD1	0.3988	0.388	0.3296	0.2982
SRSF4	0.2508	0.288	0.153	0.249
PLEKHM2	0.1898	0.2048	0.1146	0.1306
SDHB	0.0577	0.0844	0.0075	0.0122
IGSF21	0.0866	0.0645	0.0275	0.0188
RSRP1	0.0570000000000001	0.0516	0.0195	0.0157
STMN1	0.2818	0.3972	0.2428	0.3502
MAN1C1	0.1416	0.1838	0.103	0.1462
DHDDS	0.0828	0.0931999999999999	0.0198	0.024
ARID1A	0.957	0.8204	0.9466	0.8066
STX12	0.1018	0.1488	0.0575	0.126
