gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.8616	0.509	0.8226	0.424
VPS13D	0.5054	0.4918	0.4004	0.3322
PER3	0.8022	0.7594	0.7664	0.7216
KIF1B	0.5182	0.7566	0.4062	0.7646
PRKCZ	0.2748	0.2672	0.0273	0.0756
KCNAB2	0.445	0.6286	0.2894	0.5542
ENO1	0.5558	0.6356	0.4522	0.5292
GNB1	0.5838	0.3054	0.4714	0.2656
ACOT7	0.1908	0.2606	0.15	0.2276
CEP104	0.7136	0.8874	0.661	0.9062
RPL22	0.4936	0.5596	0.4618	0.5214
CHD5	0.7322	0.6932	0.4752	0.5222
PARK7	0.9856	0.9266	0.9212	0.7924
MFN2	0.4818	0.6504	0.3562	0.6214
PRDM2	0.8322	0.6138	0.7628	0.5498
UBE4B	0.612	0.779	0.4562	0.7076
ACAP3	0.7354	0.7414	0.5236	0.633
C1orf159	0.7656	0.6438	0.71	0.6006
NPHP4	0.807	0.8552	0.7736	0.8274
FBXO44	0.2112	0.2578	0.0888	0.1688
RERE	0.309	0.4908	0.2384	0.4582
EFHD2	0.5342	0.5552	0.3994	0.4744
PEX14	0.79	0.8116	0.7056	0.7792
SKI	0.6962	0.7788	0.5012	0.7876
TPRG1L	0.4634	0.6734	0.3588	0.631
SSU72	0.42	0.456	0.368	0.4174
CLSTN1	0.5256	0.859	0.3904	0.832
CAMTA1	0.9948	0.8748	0.9814	0.7938
EXOSC10	0.476	0.586	0.3576	0.517
AURKAIP1	0.5924	0.673	0.5216	0.6012
CTNNBIP1	0.9596	0.7204	0.9348	0.7062
GABRD	0.364	0.4436	0.1416	0.2984
NOC2L	0.324	0.3368	0.0884	0.1202
KAZN	0.5724	0.6284	0.4992	0.5932
AJAP1	0.9154	0.9012	0.8224	0.7408
MTOR	0.6882	0.9622	0.6608	0.9904
CCNL2	0.9494	0.737	0.8564	0.5956
_ENSG00000230021	0.777	0.7776	0.7036	0.638
LINC01409	0.7528	0.6006	0.663	0.5164
MRPL20	0.8954	0.9026	0.989	0.805
CDK11B	0.6662	0.6676	0.5608	0.5376
MTATP6P1	0.5234	0.6808	0.4598	0.644
NIPAL3	0.9204	0.987	0.9512	0.9426
KDM1A	0.5968	0.552	0.4334	0.421
FBXO42	0.5468	0.7822	0.4538	0.741
PITHD1	0.358	0.5418	0.2248	0.468
CROCC	0.9118	0.7732	0.9974	0.831
SPEN	0.0494	0.0237000000000001	0.0369	0.0114
CDC42	0.5824	0.9082	0.4952	0.8834
EIF4G3	0.8326	0.7996	0.7742	0.7712
RAP1GAP	0.298	0.271	0.1178	0.0933
CAPZB	0.6378	0.5906	0.5802	0.5786
CROCCP3	0.2712	0.3468	0.2136	0.3374
NUDC	0.5608	0.5104	0.4934	0.437
USP48	0.2598	0.2896	0.2218	0.305
DNAJC16	0.3536	0.3824	0.2216	0.3386
SRSF4	0.3444	0.2964	0.2802	0.2212
MECR	0.8414	0.8314	0.8772	0.848
PLEKHM2	0.811	0.7568	0.8514	0.8154
SDHB	0.7716	0.738	0.6642	0.636
IGSF21	0.4444	0.5188	0.3972	0.5362
ECE1	0.4872	0.792	0.4476	0.8038
RSRP1	0.6668	0.6766	0.6236	0.633
STMN1	0.6616	0.6648	0.5452	0.568
MAN1C1	0.4282	0.5004	0.3966	0.5266
DHDDS	0.758	0.7964	0.7904	0.8514
ARID1A	0.3418	0.5894	0.2784	0.5162
STX12	0.499	0.4912	0.4364	0.3726
HNRNPR	0.8094	0.9328	0.7678	0.953
DNAJC8	0.5412	0.4402	0.3912	0.3128
AHDC1	0.4894	0.6176	0.2958	0.4588
UBR4	0.455	0.5174	0.3446	0.4586
HP1BP3	0.6732	0.8088	0.5982	0.757
ATP5IF1	0.3328	0.2942	0.3096	0.2564
EPHB2	0.678	0.7992	0.6066	0.767
SRRM1	0.221	0.1948	0.2478	0.2408
SH3BGRL3	0.2364	0.2442	0.2068	0.1952
RPL11	0.1974	0.2352	0.1396	0.1874
WDTC1	0.7036	0.9746	0.659	0.9186
EXTL1	0.3898	0.3444	0.089	0.1172
EYA3	0.3268	0.6122	0.1602	0.4898
NBL1	0.4114	0.3862	0.1936	0.207
PINK1	0.5528	0.7916	0.4934	0.737
EPB41	0.8698	0.9748	0.8262	0.9702
ATP13A2	0.4548	0.385	0.2168	0.231
CAMK2N1	0.4806	0.4786	0.3996	0.3538
LUZP1	0.3904	0.3258	0.3154	0.2362
OTUD3	0.5528	0.4632	0.3184	0.2878
TRNAU1AP	0.6372	0.8242	0.509	0.8698
TMEM50A	0.9028	0.7684	0.7912	0.6618
TMEM222	0.4396	0.6468	0.255	0.5892
SRSF10	0.9986	0.8368	0.9216	0.6518
DDI2	0.864	0.6988	0.8982	0.6676
YTHDF2	0.394	0.54	0.1692	0.3852
HMGN2	0.52	0.8982	0.3934	0.765
PHACTR4	0.3822	0.6044	0.259	0.5326
MACO1	0.4152	0.3356	0.2242	0.1834
CROCCP2	0.7246	0.8776	0.6494	0.8006
NBPF1	0.3006	0.3876	0.185	0.2658
EMC1-AS1	0.5576	0.4148	0.4426	0.2536
UQCRHL	0.4152	0.3344	0.3472	0.2488
_ENSG00000235912	0.4372	0.531	0.3602	0.4846
ELOA-AS1	0.416	0.422	0.228	0.2198
SCMH1	0.3834	0.3996	0.1962	0.266
NCDN	0.5422	0.6446	0.5148	0.616
KPNA6	0.4932	0.6008	0.3116	0.479
TRIT1	0.5978	0.524	0.421	0.3738
TRAPPC3	0.456	0.4426	0.4298	0.442
THRAP3	0.9116	0.8796	0.8334	0.9802
SNRNP40	0.8508	0.8264	0.8026	0.8146
NFYC	0.9932	0.7854	0.8776	0.6216
TESK2	0.7446	0.6632	0.6184	0.584
EIF2B3	0.733	0.907	0.5914	0.8848
SMAP2	0.5566	0.7478	0.4148	0.7236
COL16A1	0.7648	0.835	0.7736	0.9176
POMGNT1	0.8016	0.8606	0.8332	0.8788
MAST2	0.8738	0.386	0.8984	0.3746
S100PBP	0.2916	0.3568	0.1158	0.1538
DLGAP3	0.6016	0.7046	0.5924	0.7078
SFPQ	0.8728	0.6628	0.6542	0.4256
MAP7D1	0.548	0.685	0.3866	0.5982
HPCAL4	0.547	0.7304	0.4776	0.7136
RLF	0.8316	0.901	0.8348	0.864
RIMS3	0.4046	0.5834	0.3348	0.558
ATP6V0B	0.1454	0.1736	0.0916	0.117
B4GALT2	0.4438	0.5678	0.1652	0.3226
ERI3	0.4212	0.6118	0.2738	0.6084
PTCH2	0.8046	0.789	0.73	0.7114
PRDX1	0.6976	0.7166	0.5754	0.6008
ADGRB2	0.3682	0.3374	0.1184	0.0839
ZCCHC17	0.7678	0.4946	0.6036	0.3394
FABP3	0.4804	0.6578	0.4112	0.5788
KHDRBS1	0.5642	0.571	0.4374	0.472
TMEM39B	0.803	0.7978	0.7282	0.6768
CSMD2	0.6522	0.5146	0.6406	0.5098
HPCA	0.2904	0.3468	0.2394	0.2998
PSMB2	0.4958	0.567	0.4084	0.5084
AGO3	0.4118	0.7848	0.3002	0.7678
ST3GAL3	0.7666	0.9466	0.7276	0.9534
HIVEP3	0.5686	0.6952	0.421	0.6132
MACF1	0.6126	0.7544	0.6028	0.7688
CAP1	0.8012	0.6918	0.7308	0.7828
PPT1	0.7818	0.88	0.6858	0.7714
LRRC41	0.9268	0.9598	0.8712	0.9122
NASP	0.0816	0.0789	0.0815	0.0966
PUM1	0.5152	0.6284	0.4746	0.6166
YARS1	0.5104	0.4556	0.2834	0.2818
PHC2	0.9924	0.9296	0.9824	0.9548
AGO4	0.64	0.8436	0.5238	0.856
KIAA0319L	0.5932	0.6312	0.55	0.5892
AZIN2	0.7332	0.6496	0.639	0.577
RPS8	0.2576	0.3144	0.2082	0.2698
PTPRF	0.5986	0.8228	0.48	0.7318
ZMYM4	0.3426	0.1492	0.3152	0.1224
CCDC24	0.8134	0.8946	0.7458	0.797
GPBP1L1	0.2792	0.3306	0.1856	0.2536
BSDC1	0.6508	0.7726	0.458	0.6958
ZSWIM5	0.3692	0.5938	0.2592	0.5878
SDC3	0.488	0.7826	0.3104	0.731
SYNC	0.91	0.8696	0.7672	0.6974
RBBP4	0.478	0.5602	0.314	0.4832
SMIM12	0.6968	0.7786	0.759	0.8416
GRIK3	0.9696	0.9838	0.911	0.934
MEAF6	0.44	0.7744	0.335	0.7482
NDUFS5	0.6982	0.8686	0.7442	0.9008
UQCRH	0.3246	0.347	0.3382	0.3484
AKIRIN1	0.7644	0.6192	0.8088	0.6548
MARCKSL1	0.5204	0.8708	0.3412	0.8554
ZBTB8OS	0.3022	0.4328	0.0914	0.3086
RIMKLA	0.4028	0.732	0.2886	0.6868
CCDC30	0.2632	0.279	0.0766	0.1226
RNF220	0.52	0.4968	0.3316	0.2586
STK40	0.5946	0.2978	0.635	0.3254
FOXJ3	0.4672	0.5242	0.5576	0.6812
INPP5B	0.451	0.6116	0.3044	0.506
_ENSG00000228436	0.3802	0.5216	0.2236	0.4386
LRRC7	0.509	0.5246	0.4824	0.5354
LRRC40	0.7574	0.9288	0.652	0.8502
NRDC	0.904	0.8648	0.936	0.714
MKNK1	0.4584	0.6236	0.28	0.5272
HSPB11	0.948	0.9722	0.991	0.8624
EPS15	0.9036	0.7862	0.913	0.754
DHCR24	0.4656	0.588	0.3032	0.5062
SCP2	0.9694	0.8506	0.977	0.7458
TMEM59	0.8276	0.9904	0.9296	0.8886
DOCK7	0.694	0.6616	0.5832	0.4972
DNAJC6	0.5222	0.6454	0.4118	0.5604
WLS	0.5064	0.4696	0.3552	0.3
SRSF11	0.7908	0.9176	0.5614	0.8694
OSBPL9	0.2876	0.4048	0.2042	0.3258
ANKRD13C	0.8724	0.6648	0.8486	0.6066
SGIP1	0.7384	0.477	0.6204	0.3482
RNF11	0.414	0.5058	0.215	0.3258
ATPAF1	0.886	0.8796	0.8052	0.841
