gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.2244	0.4708	0.1244	0.3336
ENO1	0.9866	0.9398	0.9668	0.901
GNB1	0.9092	0.9868	0.8878	0.9766
ACOT7	0.163	0.1846	0.1058	0.1632
CHD5	0.9062	0.8266	0.796	0.7008
CLSTN1	0.3812	0.2056	0.2506	0.0956
CAMTA1	0.0182	0.099	0.007	0.0158
MTATP6P1	0.2542	0.3834	0.1888	0.331
CDC42	0.441	0.4048	0.2544	0.2606
STMN1	0.2324	0.34	0.0766	0.118
ATP5IF1	0.002	0.00700000000000001	2e-04	7e-04
CAMK2N1	0.2614	0.2296	0.0759	0.059
NCDN	0.1672	0.2164	0.111	0.1698
ATP6V0B	0.0346	0.0591	0.0178	0.0363
ADGRB2	0.9868	0.69	0.9714	0.5376
HPCA	0.9838	0.938	0.9774	0.9276
NDUFS5	0.0241	0.1336	0.0052	0.0577
UQCRH	0.6254	0.678	0.55	0.572
LRRC7	0.9132	0.9924	0.8554	0.9872
DNAJC6	0.1698	0.2558	0.0822	0.1336
RNF11	0.185	0.1866	0.0738	0.0817
ELAVL4	0.0234	0.0491	0.0127	0.0334
NEGR1	0.3992	0.6232	0.2502	0.5848
PLPPR4	0.288	0.4904	0.265	0.4718
PRKACB	0.0532	0.0661000000000001	0.0315	0.0424
LMO4	0.364	0.4816	0.2862	0.3746
AK5	0.1748	0.2244	0.1728	0.2056
_ENSG00000224550	0.0417999999999999	0.0972	0.0091	0.019
ATP1A1	0.9508	0.8188	0.8908	0.7012
SLC6A17	0.2954	0.1506	0.195	0.0883
SYT11	0.3336	0.1982	0.0539	0.0378
ENSA	0.9966	0.77	0.9924	0.6524
SV2A	0.199	0.1172	0.0757	0.0474
MLLT11	0.2628	0.3896	0.1012	0.1622
KIFAP3	0.1578	0.0938	0.0514	0.0412
RGS4	0.0637	0.0674	0.0578	0.0453
ATP1B1	0.1686	0.1474	0.0919	0.0558
MGST3	0.3496	0.4084	0.0749	0.1204
CADM3	0.7092	0.3046	0.5626	0.1344
DNM3	0.5314	0.7264	0.5108	0.7202
CAMSAP2	0.0394	0.0848	0.0107	0.0231
NUCKS1	0.2524	0.3562	0.1562	0.2454
ARF1	0.8348	0.9184	0.8004	0.9132
GUK1	0.0863	0.0659	0.0062	0.0047
TOMM20	0.3636	0.4476	0.2586	0.37
ZBTB18	0.163	0.1926	0.0628	0.0825
MYT1L	0.6926	0.6314	0.5542	0.5372
RYR2	0.5518	0.5902	0.4662	0.5218
KIF3C	0.0735	0.0859	0.0617	0.0778
VSNL1	0.7832	0.5366	0.597	0.2456
FAM49A	0.0598	0.0774	0.0333	0.0564
LINC00486	0.8302	0.5384	0.7508	0.3666
MDH1	0.8284	0.9096	0.5476	0.7652
SPTBN1	0.5324	0.4408	0.4466	0.366
RTN4	0.8264	0.8762	0.6552	0.7738
ACTR2	0.0182	0.0413	0.0246	0.0459
PREPL	0.0129	0.0342	0.0052	0.0071
RPS27A	0.3926	0.5936	0.2204	0.4018
PRKCE	0.2544	0.3906	0.1164	0.2372
NRXN1	0.1848	0.3216	0.1362	0.2788
SLC8A1	0.7678	0.6336	0.6636	0.4868
TMSB10	0.0797	0.1454	0.051	0.0679
CTNNA2	0.9196	0.6616	0.8836	0.586
AAK1	0.0179	0.0483	0.0032	0.0172
LRRTM4	0.497	0.2946	0.3902	0.1922
COX5B	0.00180000000000002	0.00870000000000004	2e-04	0.0018
LONRF2	0.0232	0.0266	0.0116	0.0146
CREG2	0.3022	0.5152	0.3214	0.518
LRP1B	0.9222	0.9596	0.873	0.957
DPP10	0.3802	0.1462	0.3122	0.0595
CHN1	0.0225	0.023	0.024	0.0119
SCN2A	0.2824	0.1876	0.1012	0.052
SCN1A	0.2678	0.246	0.0901	0.0799
SLC4A10	0.6368	0.971	0.6444	0.9754
KIF5C_ENSG00000168280	0.595	0.923	0.5818	0.9318
CERS6	0.1662	0.2974	0.1472	0.2868
CSRNP3	0.0821	0.2394	0.0612	0.1854
_ENSG00000218175	0.0883000000000001	0.107	0.0429	0.0532
_ENSG00000233762	0.00260000000000005	0.0071	0.0027	0.0057
NCKAP1	0.0402	0.0396	0.032	0.0316
MAP2	0.1844	0.1078	0.0277	0.0118
INO80D	0.9494	0.6858	0.935	0.5542
PDE1A	0.176	0.1058	0.151	0.1003
GLS	0.445	0.592	0.2728	0.452
ABI2	0.0272	0.0491	0.035	0.0423
FAM171B	0.0521	0.0537	0.0328	0.0318
ERBB4	0.7136	0.9902	0.652	0.9888
SLC39A10	0.3916	0.3696	0.2064	0.1934
PTPRN	0.7262	0.8198	0.6276	0.7638
NGEF	0.3232	0.2482	0.3024	0.2588
EPHA4	0.00860000000000005	0.0128	0.0113	0.0163
ACSL3	0.0153	0.0228	0.0203	0.0314
TUBA4A	0.3896	0.733	0.2788	0.6448
ITM2C	0.5448	0.439	0.3198	0.224
SERPINE2	0.0354	0.0824	0.0193	0.0504
SCG2	0.2808	0.3902	0.1418	0.2832
PTMA	9.9999999999989e-05	9.9999999999989e-05	3e-04	5e-04
RPL37A	0.9138	0.9332	0.8108	0.9034
KIF1A	0.569	0.7056	0.4746	0.646
CHL1	0.0272	0.0187000000000001	0.025	0.0166
RPL32	0.1534	0.261	0.0694	0.1616
ATP2B2	0.3176	0.3558	0.2924	0.3192
SYN2	0.0372	0.0639	0.0265	0.053
RPL15	0.5012	0.541	0.2432	0.3034
BRK1	0.3998	0.507	0.1836	0.2802
EIF1B	0.8586	0.8632	0.7524	0.7688
CLASP2	0.832	0.9878	0.8012	0.9846
BSN	0.2238	0.206	0.1602	0.163
CAMKV	0.1084	0.1582	0.0761	0.121
ARPP21	0.8992	0.7768	0.8336	0.6784
CCK	0.00439999999999996	0.00380000000000003	0.0015	0.001
TMA7	0.7724	0.9804	0.6376	0.9666
DOCK3	0.951	0.7828	0.9204	0.7166
ARL6IP5	0.8364	0.8226	0.6268	0.6178
CADM2	0.0799	0.1136	0.0619	0.085
ROBO2	0.2944	0.1686	0.1416	0.0619
ATP6V1A	0.2104	0.1994	0.084	0.0965
TAGLN3	0.4034	0.6664	0.1554	0.4412
KALRN	0.4676	0.392	0.242	0.2106
GAP43	0.3026	0.56	0.128	0.3458
LSAMP	0.4944	0.7528	0.4766	0.7248
CD47	0.0845	0.0915	0.0621	0.0667
RAB6B	0.078	0.2934	0.0643	0.2246
CLSTN2	0.7076	0.4124	0.65	0.3326
SEC62	0.9172	0.9732	0.8478	0.9538
PEX5L	0.7318	0.807	0.6042	0.7302
NCEH1	0.00329999999999997	0.003	0.0035	0.002
SERPINI1	0.8512	0.3874	0.6702	0.1274
NLGN1	0.9816	0.9812	0.9732	0.9754
CRMP1	0.2544	0.3446	0.1494	0.2148
PPP2R2C	0.1536	0.159	0.1524	0.1506
FGF12	0.8184	0.9528	0.7432	0.941
EIF4A2	0.41	0.3322	0.2138	0.118
NAT8L	0.4242	0.5262	0.2398	0.3678
C4orf48	0.6788	0.5548	0.4922	0.3532
OCIAD1	0.9598	0.8156	0.9106	0.696
ATP8A1	0.0544	0.0904	0.0242	0.0356
UCHL1	0.1332	0.2288	0.0396	0.0733
LDB2	0.7812	0.5712	0.701	0.4492
PCDH7	0.0857	0.088	0.0297	0.029
KCNIP4_ENSG00000185774	0.4896	0.1942	0.3672	0.1266
RUFY3	0.00939999999999996	0.0157	0.0099	0.0212
