gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.1758	0.1548	0.1528	0.1498
VPS13D	0.0387	0.0631	0.0317	0.067
PER3	0.858	0.9574	0.869	0.955
KIF1B	0.6492	0.6926	0.6312	0.6784
PRKCZ	0.1834	0.1736	0.0629	0.0704
KCNAB2	0.0532	0.0763	0.0395	0.0558
ENO1	0.8138	0.8416	0.8296	0.8532
GNB1	0.18	0.2718	0.2442	0.3212
ACOT7	0.7922	0.9622	0.759	0.9474
CEP104	0.3748	0.2238	0.2848	0.1314
CHD5	0.8614	0.6986	0.763	0.5364
PARK7	0.0615	0.0867	0.0402	0.044
MFN2	0.8918	0.9206	0.8486	0.8944
PRDM2	0.1132	0.1012	0.1038	0.0912
INTS11	0.3298	0.1574	0.1298	0.0446
UBE4B	0.1786	0.2254	0.1498	0.2296
ACAP3	0.2276	0.1458	0.0286	0.0136
C1orf159	0.7774	0.8774	0.7194	0.8278
FBXO44	0.2288	0.267	0.2256	0.2462
RERE	0.9036	0.8614	0.887	0.8346
PEX14	0.0854	0.0796	0.1004	0.0824
PLCH2_ENSG00000149527	0.969	0.6122	0.951	0.2882
SKI	0.9266	0.7296	0.9012	0.6518
SSU72	0.806	0.767	0.748	0.6864
FAAP20	0.3164	0.219	0.1136	0.0772
CLSTN1	0.5014	0.8444	0.3692	0.807
CAMTA1	0.7296	0.601	0.6574	0.5004
EXOSC10	0.3128	0.2806	0.172	0.1144
AURKAIP1	0.9638	0.9178	0.955	0.8998
GABRD	0.848	0.8322	0.8398	0.827
KAZN	0.1628	0.0826	0.1378	0.0731
AJAP1	0.4648	0.889	0.4624	0.8836
MTOR	0.41	0.5046	0.3488	0.3922
CCNL2	0.4584	0.482	0.48	0.4998
_ENSG00000230021	0.6648	0.625	0.5506	0.5086
MRPL20	0.3832	0.4272	0.2996	0.384
CDK11B	0.4748	0.4082	0.4876	0.417
MTATP6P1	0.2724	0.214	0.1546	0.1098
KDM1A	0.8064	0.619	0.8084	0.6174
FBXO42	0.5208	0.539	0.5212	0.5496
PITHD1	0.7712	0.9228	0.6822	0.8994
CROCC	0.844	0.9192	0.8408	0.9108
SPEN	0.5586	0.5784	0.5754	0.5674
CDC42	0.2266	0.1938	0.212	0.172
ARHGEF10L	0.3282	0.185	0.344	0.1984
EIF4G3	0.787	0.6898	0.7368	0.6282
RAP1GAP	0.5064	0.4578	0.2922	0.2528
CAPZB	0.0081	0.0063	0.0089	0.007
CROCCP3	0.462	0.3076	0.4438	0.289
NUDC	0.0432	0.0753	0.0282	0.0636
USP48	0.3518	0.378	0.3386	0.378
DNAJC16	0.0481	0.0433	0.0164	0.0254
OPRD1	0.942	0.943	0.9474	0.945
SRSF4	0.4662	0.4792	0.418	0.4334
PLEKHM2	0.1242	0.1932	0.1232	0.1898
SDHB	0.6748	0.6578	0.6616	0.6198
IGSF21	0.4312	0.332	0.3978	0.2554
RSRP1	0.0158	0.0173	0.0108	0.0117
STMN1	0.2924	0.3608	0.2132	0.2452
MAN1C1	0.2988	0.3678	0.2822	0.3548
DHDDS	0.1066	0.1066	0.0431	0.0393
ARID1A	0.1374	0.0836	0.1288	0.0779
STX12	0.5728	0.6018	0.5132	0.5432
HNRNPR	0.8656	0.898	0.7674	0.832
DNAJC8	0.8944	0.8392	0.8994	0.8454
AHDC1	0.8054	0.8182	0.7298	0.719
UBR4	0.6326	0.6508	0.6668	0.6862
HP1BP3	0.0647	0.0466	0.0248	0.0125
ATP5IF1	0.0035	0.0028	0.0035	0.003
EPHB2	0.0059	0.0089	0.0091	0.0123
SRRM1	0.0571	0.0481	0.0425	0.0359
SH3BGRL3	0.6166	0.4598	0.5714	0.4066
RPL11	0.93	0.9746	0.894	0.9644
EYA3	0.5774	0.5458	0.5136	0.457
NBL1	0.3288	0.6308	0.2294	0.5722
PINK1	0.277	0.2838	0.2992	0.292
EPB41	0.9046	0.7014	0.8836	0.6238
ATP13A2	0.643	0.8322	0.5346	0.789
CAMK2N1	0.2846	0.4034	0.0845	0.1742
LUZP1	0.1914	0.2912	0.1742	0.2886
OTUD3	0.1902	0.1624	0.1464	0.1314
TRNAU1AP	0.3552	0.4238	0.3618	0.4474
TMEM50A	0.8914	0.7444	0.893	0.7446
SRSF10	0.965	0.9386	0.9428	0.9288
DDI2	0.1506	0.1774	0.1308	0.137
HMGN2	0.5144	0.4086	0.3496	0.3066
PHACTR4	0.5836	0.626	0.5104	0.5672
MACO1	0.9616	0.8998	0.9596	0.8928
NBPF1	0.9078	0.8094	0.9216	0.787
EMC1-AS1	0.4988	0.772	0.4212	0.738
UQCRHL	0.9424	0.7546	0.928	0.7354
_ENSG00000235912	0.178	0.086	0.1496	0.0906
SCMH1	0.0527	0.1382	0.0168	0.0481
NCDN	0.3344	0.5092	0.2098	0.4064
KPNA6	0.7506	0.639	0.6706	0.5558
TRAPPC3	0.8676	0.848	0.8084	0.8286
THRAP3	0.5896	0.759	0.6088	0.7776
SNRNP40	0.1542	0.2806	0.1058	0.2054
NFYC	0.979	0.887	0.9794	0.8738
