"gene","theta_formula"
"DNAJC11",0.00818892148905005
"VPS13D",0.00259811328744074
"PER3",0.146551604919854
"KIF1B",0.0149993361475226
"PRKCZ",0.00313371199153819
"KCNAB2",0.171411525973893
"ENO1",0.465302087127407
"GNB1",0.51535661624416
"SDF4",0.0852519531111962
"ACOT7",0.468199177813816
"CEP104",0.00359862974677809
"RPL22",0.915202570159816
"CHD5",0.377485610455452
"ERRFI1",0.486744566371534
"PARK7",0.92437186584323
"SRM",0.00609578746873731
"FBXO2",0.155446637558728
"MFN2",0.18969233827396
"PRDM2",0.0394412823866792
"INTS11",0.010521883567598
"LRRC47",0.681618742289899
"UBE4B",0.00208118306550091
"ACAP3",0.262779598961171
"C1orf159",0.470151577929712
"NPHP4",0.0386656226301779
"FBXO44",0.00396169834160017
"RERE",0.135631104977718
"CFAP74",0.0130477908623554
"FHAD1",0.123342543119992
"PEX14",0.0139915597377969
"PLCH2_ENSG00000149527",0.0268916869352772
"RER1",0.00478495251596438
"SKI",0.00531550304731569
"TPRG1L",0.463224246547682
"DFFA",0.0405845204239759
"ATAD3B",0.00791749679477693
"SSU72",0.739113345693814
"UBE2J2",0.00186805614354508
"NOL9",0.0124148725070346
"SLC45A1",0.00325605542834178
"LZIC",0.0513453077124454
"CLSTN1",0.832393364099026
"SLC25A33",0.0118675253609272
"PLEKHG5",0.11175276303519
"CAMTA1",0.00531138438507474
"EXOSC10",0.00561402260994381
"NMNAT1",0.00233321306207688
"AURKAIP1",0.00936919841174136
"MTHFR",0.01291227563985
"CTNNBIP1",0.0029010471448718
"GABRD",0.111288689167228
"NOC2L",0.00697514597481927
"KAZN",0.009629178167694
"MMP23B",0.0763857227240388
"AJAP1",0.0434568359964453
"MIB2",0.0620759967493092
"MTOR",0.00274318072958044
"TNFRSF25",0.121452210548755
"CCNL2",0.00755758931058008
"LINC01128",0.428321477079507
"_ENSG00000230021",0.45417627391869
"_ENSG00000236948",0.705094944855346
"_ENSG00000237094",0.00575315681260274
"LINC01409",0.648136652587063
"MRPL20",0.492614401350504
"CDK11B",0.000819006013946573
"MTATP6P1",0.111263960995931
"STPG1",0.0980424252585139
"NIPAL3",0.956918458554721
"KDM1A",0.0823687712429529
"FAM76A",0.0137539880355983
"FBXO42",0.0160165197617004
"PITHD1",0.737523965099061
"CROCC",0.0192494616521091
"SPEN",0.019305396663116
"CDC42",0.956663868872216
"EIF4G3",0.0185955529761146
"RAP1GAP",0.0120810248946243
"CAPZB",0.0118172632798349
"CROCCP3",0.0884818264264024
"SLC9A1",0.00224721388015777
"NUDC",0.617858564727332
"USP48",0.00300901915707173
"DNAJC16",0.089054662729768
"OPRD1",0.015995698994183
"SRSF4",0.000394385578386231
"MECR",0.0990647156045011
"PLEKHM2",0.0113047545818421
