gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
VPS13D	0.3242	0.3078	0.311	0.2894
PER3	0.5414	0.5394	0.5316	0.5186
KIF1B	0.9298	0.9298	0.9276	0.9404
ENO1	0.9482	0.8018	0.9436	0.8142
GNB1	0.348	0.3034	0.357	0.3008
UBE4B	0.0281	0.0308	0.0334	0.0387
RERE	0.7792	0.5674	0.763	0.5354
PRDM16	0.1392	0.0874	0.1122	0.0629
CLSTN1	0.913	0.8818	0.8992	0.8694
SLC25A33	0.3552	0.1926	0.373	0.2406
CAMTA1	0.8428	0.4586	0.7896	0.319
PRDM16-DT	0.7778	0.5128	0.7546	0.4718
ARHGEF10L	0.61	0.5868	0.5656	0.5544
EIF4G3	0.5698	0.4618	0.5848	0.4552
RSRP1	0.5954	0.9008	0.5572	0.8808
ARID1A	0.621	0.4646	0.5298	0.403
HP1BP3	0.2734	0.1694	0.2024	0.1132
SRRM1	0.9298	0.9634	0.9094	0.9434
LUZP1	0.0282	0.0788	0.0269	0.0845
PHACTR4	0.091	0.0964	0.0883	0.0954
SCMH1	0.7598	0.7408	0.718	0.6754
TESK2	0.1936	0.1934	0.2238	0.2176
COL16A1	0.1866	0.2288	0.1802	0.224
SFPQ	0.781	0.771	0.6038	0.6492
ERI3	0.9496	0.571	0.9462	0.5776
AGO3	0.9064	0.7586	0.859	0.6004
HIVEP3	0.7328	0.8768	0.723	0.8678
MACF1	0.5472	0.4278	0.522	0.4396
NASP	0.8656	0.3906	0.7962	0.3648
PUM1	0.7614	0.827	0.4754	0.6814
KIAA0319L	0.3984	0.324	0.423	0.3404
ZMYM4	0.9462	0.8754	0.9496	0.8676
ZSWIM5	0.0921	0.0829	0.0444	0.026
RNF220	0.2312	0.3552	0.2262	0.3574
ARMH1	0.4554	0.35	0.3648	0.3406
FOXJ3	0.857	0.5642	0.8334	0.5384
_ENSG00000228436	0.049	0.06	0.0224	0.0355
LRRC7	0.823	0.8544	0.7604	0.8084
NRDC	0.4756	0.7306	0.3982	0.7616
EPS15	0.824	0.7148	0.811	0.7184
DOCK7	0.6042	0.626	0.5632	0.615
WLS	0.6522	0.3732	0.664	0.402
SRSF11	0.495	0.368	0.4766	0.3404
OSBPL9	0.8602	0.986	0.8294	0.9794
SGIP1	0.6504	0.5348	0.5552	0.4472
ECHDC2	0.5372	0.5688	0.4958	0.5088
SPATA6	0.5716	0.5146	0.5864	0.5326
ZRANB2	0.2162	0.2006	0.1866	0.172
PATJ	0.7584	0.5464	0.6586	0.4996
TUT4	0.9736	0.7612	0.9634	0.6826
CACHD1	0.8528	0.7668	0.8464	0.7614
ACOT11	0.3836	0.528	0.3598	0.5184
USP24	0.9838	0.8444	0.965	0.7346
PLPP3	0.7358	0.5096	0.638	0.3998
NFIA	0.485	0.4788	0.3868	0.4054
