gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
GNB1				
SLC2A5	0.8018	0.7258	0.739	0.6938
RERE	0.9796	0.721	0.939	0.7224
EIF4G3	0.909	0.6876	0.6286	0.521
CAPZB	0.55	0.715	0.5034	0.6954
STMN1				
ARID1A	0.9954	0.961	0.6544	0.6288
WASF2				
EPB41	0.728	0.8058	0.7088	0.7528
C1QC				
C1QB	0.4012	0.344	0.4674	0.4062
C1QA	0.9306	0.5718	0.8082	0.501
SMAP2	0.1044	0.4072	0.1032	0.413
CSF3R				
HIVEP3	0.8872	0.9792	0.7316	0.9202
MACF1	0.713	0.8174	0.6958	0.7552
PUM1	0.3622	0.5328	0.2862	0.5358
LAPTM5	0.9206	0.9394	0.6542	0.8354
MKNK1	0.3172	0.4896	0.2868	0.4646
NFIA	0.92	0.8984	0.6268	0.7286
PDE4B	0.736	0.7772	0.5112	0.6662
FAF1				
PKN2				
EVI5	0.8482	0.932	0.7526	0.8644
ST6GALNAC3	0.5602	0.5868	0.5842	0.594
CCDC18-AS1	0.9952	0.656	0.9712	0.6124
RAP1A	0.6616	0.8148	0.6244	0.79
PRPF38B	0.9662	0.937	0.8802	0.9398
CTTNBP2NL	0.6124	0.8782	0.6414	0.8772
CD53	0.8532	0.9418	0.707	0.91
SRGAP2C	0.9042	0.8038	0.8396	0.7786
SRGAP2B	0.855	0.8118	0.758	0.7878
LINC02798	0.9216	0.8796	0.6248	0.6234
ASH1L				
ATF6	0.3822	0.33	0.3882	0.3202
COP1	0.8214	0.9196	0.6494	0.8948
RABGAP1L	0.979	0.8482	0.9036	0.801
IFI16	0.868	0.8892	0.6958	0.7018
RCSD1	0.9258	0.9994	0.93	0.9986
RASAL2	0.9902	0.9772	0.9856	0.9754
PTPRC_ENSG00000081237	0.3838	0.3984	0.383	0.4228
NPL	0.8212	0.608	0.8016	0.609
FAM177B	0.8918	0.8974	0.5594	0.6168
SRGAP2	0.628	0.8106	0.598	0.7796
ARID4B	0.474	0.5578	0.4484	0.6082
SDCCAG8_ENSG00000054282	0.7296	0.8324	0.631	0.7374
SIPA1L2	0.9026	0.7402	0.7012	0.6708
AKT3_ENSG00000117020	0.794	0.595	0.6604	0.5208
PCNX2	0.928	0.9418	0.6314	0.6578
GALNT2	0.8752	0.8412	0.7862	0.7686
LYST	0.8696	0.1234	0.8904	0.075
CEP170_ENSG00000143702	0.604	0.5214	0.644	0.5664
DISC1				
PUM2	0.6274	0.7298	0.6394	0.7116
NCOA1	0.774	0.9464	0.772	0.9454
RAB10	0.8388	0.5616	0.7722	0.525
BIRC6	0.9904	0.9596	0.6726	0.8028
DTNB	0.655	0.4162	0.616	0.4122
BABAM2	0.7378	0.9542	0.6396	0.9586
ITSN2	0.1616	0.2084	0.1073	0.1488
LINC00486	0.423	0.5834	0.4082	0.5702
RTN4	0.227	0.1986	0.183	0.2048
CCDC88A	0.9212	0.458	0.607	0.4952
USP34	0.9302	0.7956	0.6208	0.6162
SOS1				
RAB1A	0.5668	0.9902	0.6656	0.992
ACTR2	0.063	0.0606	0.0276	0.0381
FBXO11	0.4074	0.4048	0.3912	0.3798
EML4	0.9186	0.4742	0.6102	0.4882
RPS27A	0.236	0.2132	0.1902	0.1652
ZFP36L2	0.7172	0.4962	0.7316	0.4688
NRXN1	0.852	0.7546	0.8004	0.7314
SLC8A1	0.7998	0.8982	0.6658	0.7988
PELI1	0.6168	0.4794	0.4596	0.4734
TMSB10	0.018	0.0188	0.0115	0.0066
ZNF638	0.383	0.3014	0.3368	0.2594
AAK1	0.1688	0.1908	0.1582	0.1898
EXOC6B	0.8444	0.8466	0.7526	0.77
ARHGAP25	0.9462	0.858	0.899	0.8652
USP39	0.6878	0.4878	0.5922	0.3988
LRRTM4	0.0477	0.0395	0.0202	0.0251
MAP4K4	0.7052	0.7336	0.7126	0.741
MGAT4A	0.9358	0.7926	0.9458	0.8036
AFF3	0.8938	0.9034	0.6954	0.7878
MERTK	0.6558	0.6806	0.6618	0.6584
LIMS1	0.2916	0.2	0.33	0.2344
SH3RF3	0.8624	0.9176	0.6896	0.738
R3HDM1	0.795	0.8788	0.7638	0.8154
CLASP1	0.9636	0.9714	0.6386	0.66
ARHGAP15	0.972	0.9872	0.6852	0.7944
BIN1	0.7064	0.7458	0.6824	0.735
MGAT5	0.9438	0.9234	0.6362	0.6312
LRP1B	0.4396	0.2822	0.3776	0.313
ZEB2				
DPP10				
NCKAP5	0.1474	0.1066	0.1612	0.158
WIPF1	0.8498	0.8048	0.7748	0.7394
BAZ2B				
CHN1	0.0609	0.0272	0.0252	0.0098
FMNL2	0.9704	0.4796	0.967	0.483
ARL5A	0.8902	0.902	0.8096	0.8026
CACNB4	0.5576	0.4162	0.5204	0.3712
MBD5	0.4578	0.4494	0.4024	0.4442
_ENSG00000218175	0.0179	0.0266	0.0139	0.018
ANKRD44	0.2728	0.2816	0.2598	0.2544
INO80D	0.8958	1	0.8968	1
SP100				
DOCK10	0.7288	0.8816	0.6428	0.7004
CAB39	0.5968	0.4814	0.5432	0.4176
INPP5D_ENSG00000168918				
SLC4A7	0.9102	0.8804	0.678	0.8488
TBC1D5	0.774	0.9332	0.7332	0.9054
SUMF1	0.3922	0.3306	0.2646	0.2792
PLCL2	0.9368	0.769	0.9338	0.7816
UBE2E1	0.9246	0.9136	0.6274	0.7252
UBE2E2	0.379	0.5502	0.368	0.5212
ATG7	0.299	0.262	0.2646	0.2484
RBM6	0.5016	0.533	0.538	0.5854
GOLGA4	0.9408	0.8442	0.6348	0.6174
TGFBR2				
CLASP2	0.2552	0.2856	0.1884	0.2632
CX3CR1	0.9218	0.591	0.6098	0.6294
SETD2	0.4862	0.4872	0.4372	0.3978
TRAK1	0.6252	0.5	0.5698	0.432
FRMD4B	0.9318	0.7748	0.6176	0.589
CADM2	0.9988	0.7326	0.9886	0.6582
ROBO2	0.925	0.9652	0.8712	0.9702
FHIT	0.6548	0.7414	0.5742	0.6584
GSK3B	0.8162	0.8904	0.7516	0.7958
CD86	0.9904	0.9724	0.6798	0.649
ZNF148	0.6924	0.8162	0.635	0.7838
ZBTB20	0.4332	0.6266	0.458	0.6504
LSAMP	0.9616	0.8246	0.8986	0.783
ATP2C1	0.8796	0.856	0.72	0.7262
RNF13	0.3222	0.2606	0.2574	0.2012
STAG1	0.4346	0.4498	0.4688	0.474
MBNL1	0.2232	0.1128	0.2808	0.1648
P2RY12	0.833	0.8124	0.6762	0.7606
TMCC1	0.9334	0.9256	0.6322	0.629
SLC9A9	0.73	0.536	0.6398	0.512
KBTBD12	0.3956	0.7312	0.3858	0.7106
MCF2L2	0.9518	0.86	0.6764	0.8608
PLD1	0.875	0.892	0.6938	0.704
GNB4	0.96	0.8722	0.8942	0.8524
B3GNT5	0.4424	0.4458	0.3792	0.3776
TBL1XR1	0.4296	0.361	0.4404	0.3996
NAALADL2				
ST6GAL1	0.8454	0.8214	0.825	0.8046
P3H2	0.7128	0.6424	0.7476	0.7204
ACAP2	0.5628	0.5056	0.601	0.5652
LPP	0.9876	0.9846	0.8232	0.873
UBE2K	0.7856	0.6404	0.7774	0.6334
PDS5A	0.9882	0.7954	0.9114	0.7792
