gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
VPS13D	0.0775	0.0695	0.0302	0.0306
PER3	0.2426	0.1308	0.2688	0.1324
KIF1B	0.6014	0.5704	0.4214	0.4242
PRKCZ	0.3306	0.41	0.1022	0.1812
KCNAB2	0.0216	0.0234	0.0119	0.0134
ENO1	0.8204	0.9726	0.8104	0.969
GNB1	0.892	0.7238	0.8866	0.7002
ACOT7	0.0138	0.0295	0.0235	0.0539
CHD5	0.9968	0.8264	0.9902	0.6484
PARK7	0.2566	0.3214	0.1262	0.1554
PRDM2	0.1606	0.1318	0.1532	0.1208
UBE4B	0.0414	0.0196	0.0078	0.0029
ACAP3	0.8226	0.6056	0.5368	0.28
FBXO44	0.244	0.3498	0.2022	0.3312
RERE	0.8402	0.902	0.8272	0.913
PEX14	0.0149	0.0142	0.0092	0.0107
CLSTN1	0.3832	0.4404	0.2622	0.3328
CAMTA1	0.2216	0.4908	0.112	0.4016
EXOSC10	0.2714	0.4946	0.2474	0.4852
KAZN	0.1606	0.1534	0.1562	0.1374
MTOR	0.0712	0.0813	0.045	0.0631
CCNL2	0.1052	0.05	0.024	0.0163
MTATP6P1	0.1176	0.117	0.0424	0.0562
NIPAL3	0.9582	0.8062	0.9492	0.7704
KDM1A	0.6076	0.9656	0.343	0.9456
FBXO42	0.1584	0.1084	0.0706	0.0512
SPEN	0.579	0.7862	0.422	0.749
CDC42	0.755	0.7956	0.735	0.7694
EIF4G3	0.3542	0.5174	0.2528	0.4594
RAP1GAP	0.2494	0.3096	0.0543	0.12
CAPZB	0.0565	0.1046	0.0293	0.0767
NUDC	0.0119	0.0147	0.0102	0.0165
USP48	0.134	0.1084	0.126	0.1002
DNAJC16	0.1872	0.2498	0.1246	0.179
SRSF4	0.457	0.9556	0.511	0.9712
IGSF21	0.0025	0.0039	0.0045	0.0092
RSRP1	0.0067	0.0156	0.0029	0.0084
STMN1	0.436	0.3794	0.3774	0.3036
MAN1C1	0.0632	0.1048	0.0262	0.0572
ARID1A	0.0919	0.0653	0.0404	0.0213
STX12	0.4926	0.707	0.4998	0.6994
HNRNPR	0.0669	0.1414	0.051	0.151
AHDC1	0.5216	0.6948	0.2782	0.5324
UBR4	0.0077	0.0045	0.0071	0.0068
HP1BP3	0.135	0.1404	0.0187	0.0339
ATP5IF1	0.0061	0.0202	0.0025	0.0113
EPHB2	0.2552	0.0673	0.2816	0.0804
SRRM1	0.0338	0.0236	0.0154	0.0109
RPL11	0.7246	0.727	0.617	0.6258
EYA3	0.369	0.5062	0.3594	0.4756
NBL1	0.7616	0.9706	0.7002	0.9652
PINK1	0.1408	0.179	0.1542	0.205
ATP13A2	0.028	0.0217	0.004	0.0021
CAMK2N1	0.1718	0.229	0.0464	0.0948
LUZP1	0.0103	0.0143	0.0036	0.0069
TRNAU1AP	0.1652	0.143	0.062	0.0463
TMEM50A	0.76	0.7916	0.743	0.7936
SRSF10	0.231	0.479	0.0784	0.4218
PHACTR4	0.264	0.2472	0.1962	0.1772
MACO1	0.482	0.4936	0.456	0.476
NBPF1	0.4078	0.427	0.4354	0.4712
UQCRHL	0.851	0.8092	0.7702	0.7348
SCMH1	0.9182	0.8532	0.894	0.839
NCDN	0.3202	0.4658	0.1844	0.3604
KPNA6	0.3026	0.2956	0.1444	0.1802
THRAP3	0.3786	0.2726	0.2782	0.1752
NFYC	0.4866	0.7108	0.3692	0.7216
EIF2B3	0.4414	0.4818	0.2192	0.3144
SMAP2	0.6798	0.779	0.5074	0.684
MAST2	0.0831	0.088	0.0745	0.0742
DLGAP3	0.0613	0.0554	0.0567	0.0565
SFPQ	0.462	0.3232	0.0689	0.0623
HPCAL4	0.1084	0.1734	0.0536	0.122
RLF	0.0011	0.001	0.0018	0.0016
ATP6V0B	0.1186	0.1626	0.105	0.1508
ERI3	0.9	0.5814	0.8618	0.5724
PRDX1	0.9264	0.7986	0.902	0.7244
ZCCHC17	0.383	0.488	0.3244	0.4442
KHDRBS1	0.0697	0.0332	0.004	0.0149
CSMD2	0.7092	0.6416	0.7298	0.628
HPCA	0.8314	0.9118	0.803	0.9036
AGO3	0.0429	0.0454	0.0608	0.0651
ST3GAL3	0.0953	0.0801	0.0751	0.063
HIVEP3	0.9454	0.8574	0.9334	0.8584
MACF1	0.3168	0.5658	0.3588	0.6034
PPT1	0.254	0.285	0.2768	0.3186
NASP	0.3156	0.2048	0.3064	0.2194
PUM1	0.0473	0.0522	0.0086	0.0152
YARS1	0.318	0.3542	0.0772	0.0875
PHC2	0.3442	0.2582	0.3608	0.2522
AGO4	0.1576	0.107	0.0208	0.0157
KIAA0319L	0.1694	0.1992	0.0876	0.113
RPS8	0.8172	0.7782	0.7324	0.6858
PTPRF	0.8112	0.7828	0.8344	0.7826
ZMYM4	0.403	0.5712	0.1684	0.3448
GPBP1L1	0.3474	0.6224	0.2794	0.5002
BSDC1	0.2852	0.3058	0.0541	0.146
ZSWIM5	0.8878	0.767	0.8578	0.7294
SYNC	0.991	0.737	0.987	0.6336
RBBP4	0.421	0.2484	0.4044	0.2754
MEAF6	0.8872	0.7894	0.8748	0.7714
NDUFS5	0.7246	0.8546	0.643	0.8098
UQCRH	0.8726	0.942	0.8176	0.9182
MARCKSL1	0.9606	0.698	0.911	0.593
ZBTB8OS	0.6266	0.504	0.4272	0.3948
CCDC30	0.5416	0.7296	0.5214	0.6702
RNF220	0.3936	0.6832	0.34	0.646
FOXJ3	0.6326	0.7776	0.3714	0.6448
INPP5B	0.1572	0.1546	0.0536	0.0609
_ENSG00000228436	0.5442	0.3324	0.3978	0.1968
LRRC7	0.1236	0.1466	0.0341	0.0537
NRDC	0.128	0.1026	0.0173	0.0139
MKNK1	0.5238	0.6578	0.4276	0.6038
EPS15	0.5726	0.4386	0.5064	0.342
SCP2	0.558	0.3536	0.4042	0.2114
TMEM59	0.4776	0.5498	0.386	0.4372
DOCK7	0.088	0.0779	0.009	0.0374
DNAJC6	0.3148	0.3532	0.083	0.1624
SRSF11	0.6194	0.4126	0.186	0.1172
OSBPL9	0.475	0.5124	0.4302	0.4866
ANKRD13C	0.1162	0.239	0.1212	0.245
SGIP1	0.116	0.0784	0.0617	0.0485
ECHDC2	0.1188	0.1033	0.0709	0.0548
RNF11	0.3198	0.4572	0.1338	0.3122
ATPAF1	0.2458	0.3062	0.2302	0.2474
ATG4C	0.1618	0.3638	0.1692	0.3386
SPATA6	0.419	0.5958	0.1552	0.4534
ZRANB2	0.7222	0.548	0.6372	0.3776
PATJ	0.268	0.5154	0.1582	0.4644
HOOK1	0.5386	0.5568	0.3502	0.4676
BTF3L4	0.8462	0.4644	0.8332	0.4582
TUT4	0.587	0.8146	0.5474	0.8074
ITGB3BP	0.223	0.251	0.1104	0.1482
ZFYVE9	0.0922	0.0977	0.0495	0.061
LRP8	0.8038	0.7722	0.6616	0.6628
SSBP3	0.222	0.2398	0.0676	0.1224
ELAVL4	0.0643	0.093	0.0222	0.0386
ZYG11B	0.1464	0.1354	0.0565	0.0794
USP24	0.0916	0.0838	0.0316	0.0296
PRKAA2	0.0899	0.0976	0.0179	0.0285
JAK1	0.995	0.8758	0.9864	0.7956
RAVER2	0.677	0.7536	0.6596	0.826
NFIA	0.3666	0.1244	0.2894	0.0557
MYSM1	0.224	0.4732	0.0747	0.4156
TM2D1	0.5862	0.755	0.4698	0.688
NEGR1	0.1308	0.113	0.0241	0.0295
FGGY	0.9014	0.8562	0.7836	0.7836
DAB1	0.0493	0.0564	0.0406	0.0441
PDE4B	0.8118	0.633	0.7224	0.4804
FAF1	0.8704	0.7372	0.8666	0.7736
AGBL4	0.24	0.1574	0.1768	0.0944
MIER1	0.0551	0.1596	0.0538	0.168
EFCAB7	0.7972	0.7378	0.6656	0.6124
_ENSG00000036549	0.4652	0.4678	0.262	0.2942
COL11A1	0.2626	0.1288	0.1986	0.0688
PKN2	0.2546	0.5602	0.159	0.5154
EVI5	0.6428	0.5372	0.6674	0.5586
USP33	0.0256	0.016	0.0137	0.0132
SH3GLB1	0.4466	0.3968	0.2404	0.3474
ACADM	0.2514	0.4098	0.1342	0.2666
ST6GALNAC5	0.161	0.1776	0.0724	0.091
ADGRL2	0.4814	0.3664	0.1398	0.1492
SSX2IP	0.1308	0.1172	0.0584	0.0476
ABCD3	0.4198	0.6184	0.266	0.5496
PTBP2	0.1976	0.1728	0.0456	0.0809
PLPPR5	0.1272	0.149	0.0174	0.0347
PLPPR4	0.2074	0.4016	0.0497	0.2208
OLFM3	0.7222	0.3204	0.6228	0.1952
RPL5	0.6786	0.7176	0.4934	0.5518
ODF2L	0.2888	0.4926	0.159	0.3788
LRRC39	0.0294	0.0305	0.0043	0.0051
ZNF644	0.9888	0.7624	0.979	0.5352
RPAP2	0.1568	0.1256	0.0417	0.0416
TTLL7	0.3364	0.17	0.043	0.017
FNBP1L	0.0433	0.064	0.0218	0.0383
GIPC2	0.302	0.396	0.233	0.3184
SLC44A5	0.1042	0.085	0.0935	0.07
RPL7P9	0.641	0.7514	0.5142	0.6358
PRKACB	0.1332	0.1024	0.0283	0.025
PIGK	0.0508	0.2236	0.0507	0.2156
LMO4	0.8268	0.6178	0.7316	0.498
MTF2	0.097	0.1688	0.0752	0.1138
DDAH1	0.2698	0.0198	0.1948	0.0208
HS2ST1	0.8624	0.6646	0.8328	0.646
AK5	0.7852	0.6916	0.7086	0.6182
DIPK1A	0.026	0.434	0.0243	0.2698
MFSD14A	0.5372	0.6744	0.4412	0.6354
FUBP1	0.2386	0.3974	0.0788	0.227
ZNF326	0.8658	0.8876	0.7802	0.8362
HFM1	0.4858	0.5924	0.314	0.5036
AGL	0.9486	0.8208	0.9174	0.7088
SLC30A7	0.2118	0.245	0.0825	0.1228
GLMN	0.3008	0.3374	0.1526	0.1924
ERICH3	0.3068	0.2972	0.0691	0.111
MIGA1	0.8168	0.8228	0.8288	0.8418
SELENOF	0.5164	0.2618	0.5314	0.2654
ST6GALNAC3	0.0457	0.0602	0.0491	0.0614
RNPC3	0.7414	0.8422	0.675	0.8154
DPYD	0.8134	0.634	0.7642	0.556
BTBD8	0.9676	0.8844	0.9662	0.8528
LRRC8B	0.4764	0.3018	0.2244	0.1602
CCDC18-AS1	0.3936	0.4592	0.1314	0.2804
SLC44A3-AS1	0.767	0.8322	0.6238	0.7624
_ENSG00000224550	0.2404	0.3176	0.109	0.1574
MIR137HG	0.1946	0.18	0.0578	0.0783
_ENSG00000232825	0.8398	0.834	0.8518	0.8236
ST7L	0.7236	0.5966	0.7212	0.5744
CSDE1	0.1104	0.1334	0.0433	0.0641
SARS1	0.4548	0.6088	0.353	0.5224
GNAI3	0.5076	0.6964	0.2448	0.5658
RSBN1	0.1444	0.198	0.0542	0.1326
MAGI3	0.8182	0.8534	0.762	0.8286
WDR47	0.3782	0.2994	0.1862	0.1394
KIAA1324	0.233	0.2032	0.1664	0.1458
ATP5PB	0.6464	0.8	0.5944	0.7794
RAP1A	0.1288	0.1628	0.0794	0.1142
CAPZA1	0.9464	0.8966	0.9454	0.8684
PHTF1	0.0143	0.041	0.0084	0.0315
SORT1	0.4344	0.933	0.4382	0.934
LAMTOR5	0.6408	0.734	0.5394	0.6338
CEPT1	0.0852	0.0956	0.0032	0.0155
IGSF3	0.6278	0.6342	0.6508	0.623
CELSR2	0.4984	0.4652	0.3792	0.357
HIPK1	0.209	0.2558	0.0507	0.1054
ATP1A1	0.6566	0.5362	0.648	0.5478
AHCYL1	0.1356	0.4488	0.0703	0.4168
KCND3	0.4664	0.4296	0.4774	0.4316
SRGAP2C	0.2092	0.2912	0.0731	0.1638
SRGAP2B	0.1678	0.1914	0.0521	0.0908
SLC6A17	0.4348	0.651	0.2708	0.578
TRIM33	0.8088	0.938	0.6526	0.8806
MAN1A2	0.4312	0.3766	0.3244	0.2894
_ENSG00000223804	0.7022	0.7004	0.4198	0.4406
_ENSG00000224363	0.3502	0.4828	0.2248	0.354
SLC16A1-AS1	0.274	0.3054	0.1878	0.239
LINC02798	0.3186	0.2628	0.1494	0.0782
RNF115	0.5882	0.492	0.5588	0.4618
_ENSG00000274642	0.2022	0.1954	0.2206	0.2258
HYDIN2	0.2698	0.2174	0.076	0.0581
ASH1L	0.8938	0.9218	0.9008	0.905
GON4L	0.3506	0.4934	0.2334	0.4052
MEF2D	0.6852	0.7804	0.6348	0.743
C1orf61	0.899	0.8734	0.8848	0.8266
DAP3	0.1756	0.1798	0.0516	0.0582
ARHGEF11	0.1366	0.1812	0.1214	0.1702
SYT11	0.2842	0.1766	0.2608	0.1732
VPS45	0.5088	0.628	0.461	0.609
SNX27	0.0383	0.0682	0.0073	0.0273
PIP5K1A	0.2476	0.404	0.1678	0.3524
ENSA	0.7708	0.5106	0.6954	0.4178
ARNT	0.1754	0.139	0.1628	0.141
POGZ	0.1342	0.2826	0.0545	0.243
TPM3	0.3616	0.519	0.2814	0.444
GATAD2B_ENSG00000143614	0.798	0.9554	0.7736	0.9406
SV2A	0.246	0.293	0.175	0.227
CELF3	0.4502	0.652	0.2004	0.4502
ADAR	0.3502	0.3172	0.3824	0.3392
FDPS	0.0304	0.0297	0.0119	0.007
RPRD2	0.7596	0.7262	0.7174	0.6576
CCT3	0.8044	0.6378	0.6678	0.4928
PDE4DIP	0.0352	0.0424	0.0257	0.0379
MLLT11	0.7612	0.6472	0.7136	0.5782
_ENSG00000227733	0.4806	0.5346	0.3382	0.4238
FLG-AS1	0.927	0.6178	0.9018	0.5264
MRPS21	0.8452	0.8582	0.7684	0.788
LINC01138	0.6222	0.6452	0.5356	0.5782
_ENSG00000274265	0.4366	0.438	0.2912	0.3382
LINC00869	0.3748	0.0785	0.2898	0.157
KIFAP3	0.1238	0.1124	0.0741	0.0991
SUCO	0.931	0.958	0.8576	0.9278
TNR	0.4308	0.2544	0.4614	0.2866
PRRC2C	0.4316	0.3626	0.257	0.165
ATF6	0.0285	0.019	0.0139	0.007
COPA	0.2662	0.557	0.2158	0.493
RC3H1	0.5206	0.6684	0.1648	0.4488
ATP1B1	0.5508	0.5154	0.502	0.456
TIPRL	0.7926	0.6176	0.7998	0.6398
NME7	0.458	0.7484	0.446	0.7428
