gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.1624	0.0839	0.0602	0.0348
KIF1B	0.1252	0.2044	0.043	0.1096
GNB1	0.1764	0.1198	0.1074	0.0443
PRDM2	0.6506	0.4604	0.638	0.4406
RERE	0.5164	0.5068	0.3484	0.3592
CLSTN1	0.384	0.3462	0.2258	0.1948
CAMTA1	0.5632	0.4916	0.216	0.198
ISG15	0.8578	0.7858	0.8416	0.7656
HES4	0.8188	0.923	0.7294	0.8644
MTATP6P1	0.8754	0.7874	0.8624	0.7968
SPEN	0.2524	0.0866	0.1136	0.0192
CDC42	0.9182	0.7312	0.8468	0.6372
EIF4G3	0.9098	0.9474	0.8564	0.9174
CAPZB	0.5206	0.1614	0.4796	0.1478
SRSF4	0.45	0.6908	0.3158	0.6026
ECE1	0.592	0.3496	0.6032	0.3704
ID3	0.7008	0.439	0.6596	0.3626
RSRP1	0.4986	0.575	0.267	0.3488
STMN1	0.658	0.569	0.6474	0.5534
ARID1A	0.838	0.4802	0.7486	0.3482
STX12	0.1258	0.1462	0.0418	0.0514
IFI6	0.4622	0.2634	0.2684	0.078
HP1BP3	0.2076	0.3512	0.1454	0.2988
ATP5IF1	0.268	0.2486	0.2066	0.2018
RPL11	0.1394	0.199	0.0491	0.0792
WASF2	0.898	0.7086	0.8362	0.5644
CAMK2N1	0.4372	0.4228	0.2624	0.2698
CLIC4	0.8874	0.6784	0.886	0.6452
LUZP1	0.0779	0.0898	0.0255	0.0374
SRSF10	0.15	0.1832	0.0471	0.0925
PHACTR4	0.818	0.8886	0.6732	0.807
SCMH1	0.9764	0.9196	0.9488	0.8448
THRAP3	0.2586	0.2462	0.2404	0.1912
TIE1	0.2718	0.1972	0.1248	0.0706
SFPQ	0.1378	0.5022	0.0172	0.384
SLC2A1	0.3716	0.3826	0.2366	0.2146
PRDX1	0.1324	0.1814	0.0989	0.133
KHDRBS1	0.9092	0.9594	0.9042	0.952
AGO3	0.6396	0.3432	0.465	0.2642
MACF1	0.1452	0.1446	0.1168	0.107
PUM1	0.9024	0.6812	0.865	0.5922
AGO4	0.503	0.3854	0.2236	0.1792
RPS8	0.1054	0.0387999999999999	0.0538	0.019
ZMYM4	0.607	0.7698	0.459	0.6258
ZSWIM5	0.7274	0.6206	0.6602	0.5438
MFSD2A	0.5338	0.3774	0.2944	0.1638
NDUFS5	0.2194	0.1358	0.1118	0.0638
RNF220	0.4638	0.4206	0.3488	0.3396
FOXJ3	0.751	0.871	0.742	0.8294
LRRC7	0.339	0.4986	0.23	0.402
EPS15	0.7488	0.6632	0.7666	0.6806
TMEM59	0.094	0.0633	0.0175	0.0109
LEPR	0.7484	0.7116	0.6504	0.6014
SRSF11	0.2232	0.1674	0.206	0.2004
OSBPL9	0.5552	0.3416	0.3474	0.1746
SGIP1	0.4816	0.8232	0.4808	0.8074
ZRANB2	0.1004	0.1882	0.0129	0.0645
PATJ	0.7506	0.5648	0.682	0.4698
TUT4	0.6226	0.4414	0.3658	0.218
LRP8	0.316	0.173	0.1027	0.0454
CACHD1	0.3186	0.7118	0.2976	0.7186
JAK1	0.1528	0.1286	0.0561	0.0536
NFIA	0.0510000000000001	0.0564	0.0167	0.0332
NEGR1	0.5392	0.5266	0.4702	0.4384
DAB1	0.639	0.334	0.6168	0.3246
JUN	0.7008	0.6098	0.6994	0.58
PDE4B	0.1008	0.1354	0.0438	0.0559
FAF1	0.6874	0.35	0.5246	0.1608
_ENSG00000036549	0.191	0.191	0.0556	0.0746
PKN2	0.5194	0.554	0.2314	0.2148
USP33	0.2014	0.283	0.0407	0.1078
CDC14A	0.5394	0.595	0.5356	0.6136
PALMD	0.3942	0.3182	0.2224	0.15
ADGRL2	0.9876	0.6636	0.9804	0.485
PTBP2	0.1332	0.0675	0.0699	0.0317
PLPPR4	0.804	0.5172	0.653	0.278
RPL5	0.1612	0.1938	0.1138	0.1384
ODF2L	0.0795	0.1532	0.0296	0.1234
ZNF644	0.7562	0.7724	0.7132	0.6724
IFI44L	0.1096	0.0620000000000001	0.0886	0.0457
ARHGAP29	0.7994	0.7428	0.7772	0.7296
