cell_type	rank-sum	MAST	MAST-glmer	DESeq2	IDEAS	DCA	SAVER
AST-FB	0.2	0.28	0.027	0.014	0.0065	0.0099	2e-04
AST-PP	0.42	0.43	0.017	0.011	0.0063	0.00082	0.0038
Endothelial	0.17	0.11	0.012	0.007	0.0077	0.0074	0.0042
IN-PV	0.17	0.14	0.018	0.0066	0.0072	0.0034	0.00083
IN-SST	0.2	0.098	0.0062	0.0071	0.0065	0.0014	0.00025
IN-SV2C	0.083	0.066	0.012	0.0051	0.0073	0.0028	0.0027
IN-VIP	0.21	0.13	0.0083	0.0063	0.0075	0.0026	0.0058
L2_3	0.57	0.73	0.041	0.01	0.0064	0.0038	0.00024
L4	0.42	0.35	0.024	0.0083	0.0057	0.0025	0.00047
L5_6	0.26	0.2	0.019	0.0079	0.0065	0.0083	0.0021
L5_6-CC	0.32	0.34	0.03	0.0086	0.0075	0.0024	0.00054
Microglia	0.25	0.21	0.014	0.0059	0.0021	0.001	0.01
Neu-mat	0.26	0.22	0.014	0.0097	0.0043	0.0032	0.0017
Neu-NRGN-I	0.16	0.12	0.012	0.0048	0.0077	0.0043	0.00052
Neu-NRGN-II	0.32	0.3	0.013	0.0073	0.0056	0.0024	0.0034
Oligodendrocytes	0.45	0.57	0.0096	0.012	0.0061	0.00075	0.033
OPC	0.3	0.26	0.006	0.0081	0.0064	0.0028	0.034
