gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.0508	0.0432	0.0157	0.0148
VPS13D	0.0405	0.0379	0.0179	0.0146
PER3	0.4334	0.2552	0.468	0.3056
KIF1B	0.748	0.591	0.648	0.4592
PRKCZ	0.4164	0.4876	0.1462	0.2592
KCNAB2	0.6602	0.7282	0.628	0.7078
ENO1	0.7536	0.818	0.7268	0.791
GNB1	0.7328	0.7104	0.7062	0.6928
ACOT7	0.059	0.0809	0.0607	0.0721
CEP104	0.0395	0.0298	0.0212	0.0146
RPL22	0.122	0.179	0.0369	0.0673
CHD5	0.8842	0.7262	0.6508	0.428
PARK7	0.2562	0.4118	0.123	0.2558
SRM	0.6254	0.8028	0.4786	0.7372
MFN2	0.5046	0.5838	0.4492	0.5076
PRDM2	0.0484	0.106	0.0642	0.1306
UBE4B	0.0244	0.0169	0.0047	0.005
ACAP3	0.6732	0.4832	0.1958	0.0668
C1orf159	0.2324	0.3692	0.0605	0.1804
FBXO44	0.472	0.5708	0.3304	0.4416
RERE	0.4774	0.534	0.4588	0.5326
EFHD2	0.4164	0.6848	0.1972	0.5752
PEX14	0.0075	0.0096	0.0035	0.0045
SKI	0.5326	0.4842	0.269	0.3106
SSU72	0.7114	0.661	0.653	0.585
CLSTN1	0.2378	0.3032	0.1256	0.1736
PLEKHG5	0.0051	0.0031	0.0079	0.0049
CAMTA1	0.1146	0.0919	0.0087	0.0093
EXOSC10	0.0484	0.0367	0.0104	0.0105
GABRD	0.9476	0.805	0.9068	0.7356
KAZN	0.1446	0.1398	0.0904	0.0931
AJAP1	0.9824	0.8988	0.9826	0.8938
MTOR	0.0714	0.114	0.0239	0.0544
DISP3	0.6288	0.94	0.4372	0.8874
CCNL2	0.2108	0.1102	0.0342	0.017
_ENSG00000230021	0.6676	0.768	0.3642	0.6092
MRPL20	0.3116	0.4984	0.3198	0.4886
MTATP6P1	0.1504	0.1338	0.056	0.0624
KDM1A	0.8056	0.3848	0.721	0.2422
FBXO42	0.1102	0.1418	0.0475	0.0775
PITHD1	0.5482	0.7038	0.4598	0.631
SPEN	0.6216	0.6868	0.3182	0.5158
CDC42	0.3058	0.3118	0.2742	0.3062
EIF4G3	0.1078	0.1088	0.055	0.0478
RAP1GAP	0.4828	0.5396	0.1954	0.2636
CAPZB	0.1322	0.262	0.0667	0.1688
CROCCP3	0.0855	0.1118	0.0693	0.1124
NUDC	0.1124	0.1542	0.0922	0.1258
USP48	0.0406	0.0663	0.0433	0.065
DNAJC16	0.1866	0.2956	0.116	0.2392
SRSF4	0.0935	0.1094	0.1084	0.1282
PLEKHM2	0.0748	0.0441	0.0554	0.0327
SDHB	0.0363	0.0366	0.0081	0.0115
ECE1	0.0159	0.0155	0.0195	0.0226
RSRP1	0.0024	0.0032	8e-04	8e-04
STMN1	0.6578	0.7656	0.6182	0.7224
MAN1C1	0.0092	0.0168	0.007	0.0401
DHDDS	0.077	0.0796	0.0387	0.0365
ARID1A	0.0928	0.0924	0.0465	0.0342
STX12	0.3484	0.7174	0.255	0.7786
HNRNPR	0.0303	0.0505	0.0169	0.0495
DNAJC8	0.9772	0.9728	0.9656	0.9598
AHDC1	0.4736	0.5602	0.2034	0.3246
IFI6	0.7556	0.6818	0.7048	0.6106
UBR4	0.0094	0.0102	0.003	0.0042
HP1BP3	0.196	0.224	0.033	0.0611
ATP5IF1	0.0179	0.0268	0.02	0.0333
EPHB2	0.0311	0.0419	0.0239	0.0409
SRRM1	0.0365	0.054	0.0234	0.0415
RPL11	0.6254	0.596	0.5144	0.455
WDTC1	0.6918	0.4926	0.5838	0.353
EYA3	0.788	0.928	0.7374	0.7998
NBL1	0.4928	0.8	0.3064	0.7182
PINK1	0.6764	0.8096	0.7108	0.8238
ATP13A2	0.3222	0.3334	0.1208	0.1442
CAMK2N1	0.1924	0.1894	0.0457	0.049
LUZP1	0.0153	0.0299	0.0068	0.0238
TRNAU1AP	0.1172	0.0866	0.0249	0.022
TMEM50A	0.8386	0.7098	0.837	0.7274
SRSF10	0.1816	0.1502	0.0054	0.025
DDI2	0.491	0.6072	0.4174	0.519
HMGN2	0.979	0.9676	0.9814	0.9574
PHACTR4	0.1614	0.1272	0.0621	0.0524
MACO1	0.4902	0.6048	0.4982	0.6198
NBPF1	0.57	0.3336	0.612	0.3828
EMC1-AS1	0.6574	0.7664	0.4824	0.6406
UQCRHL	0.9276	0.981	0.8824	0.97
_ENSG00000235912	0.332	0.4068	0.1066	0.1926
SCMH1	0.975	0.9888	0.9702	0.9878
NCDN	0.3254	0.5684	0.1856	0.481
KPNA6	0.2478	0.2576	0.1004	0.1222
THRAP3	0.103	0.0761	0.0166	0.0223
YBX1	0.7452	0.6098	0.347	0.2948
NFYC	0.6494	0.8236	0.4474	0.7294
EIF2B3	0.1552	0.0739	0.0224	0.0132
SMAP2	0.2566	0.1922	0.0752	0.1216
PPIE	0.4628	0.4952	0.4548	0.5064
POMGNT1	0.5586	0.5476	0.5356	0.5222
MAST2	0.1264	0.0767	0.1148	0.072
S100PBP	0.7206	0.6566	0.476	0.4892
SFPQ	0.6122	0.5336	0.1836	0.2288
MAP7D1	0.944	0.8672	0.9062	0.8312
HPCAL4	0.0767	0.0709	0.0276	0.0262
RLF	9e-04	6e-04	0.0018	0.0019
RIMS3	0.4808	0.6762	0.3952	0.5842
ATP6V0B	0.518	0.4554	0.4794	0.4112
ERI3	0.9206	0.9096	0.8926	0.8898
PTCH2	0.0245	0.0862	0.0104	0.0626
PRDX1	0.7136	0.6966	0.5692	0.5666
ADGRB2	0.7852	0.88	0.629	0.811
ZCCHC17	0.652	0.948	0.602	0.9432
FABP3	0.2522	0.4184	0.273	0.4342
KHDRBS1	0.0925	0.0882	0.0087	0.026
CSMD2	0.8574	0.8936	0.849	0.882
HPCA	0.4478	0.4724	0.3756	0.395
PSMB2	0.7164	0.7126	0.651	0.6582
AGO3	0.0294	0.0232	0.0379	0.0297
ST3GAL3	0.1278	0.0964	0.0812	0.0592
HIVEP3	0.9708	0.9484	0.964	0.946
MACF1	0.1122	0.215	0.1148	0.2038
PPT1	0.7542	0.7588	0.7554	0.7588
LRRC41	0.0451	0.0396	0.0694	0.0568
NASP	0.0906	0.0699	0.0672	0.0577
PUM1	0.0433	0.0354	0.0113	0.017
YARS1	0.2868	0.3134	0.1388	0.1642
PHC2	0.372	0.722	0.361	0.7142
AGO4	0.2086	0.2498	0.0525	0.0733
KIAA0319L	0.1354	0.136	0.058	0.058
RPS8	0.672	0.652	0.5554	0.5596
ZMYM4	0.6556	0.9048	0.5242	0.8532
RHBDL2	0.1072	0.0971	0.0146	0.0148
GPBP1L1	0.4794	0.5758	0.4188	0.5482
BSDC1	0.1832	0.11	0.0242	0.0294
ZSWIM5	0.884	0.9852	0.8536	0.9808
SYNC	0.7794	0.8804	0.6412	0.8298
RBBP4	0.5886	0.3628	0.545	0.3354
SMIM12	0.0965	0.1033	0.0565	0.0464
MEAF6	0.8264	0.9004	0.7834	0.9186
NDUFS5	0.9912	0.6114	0.9892	0.5674
UQCRH	0.925	0.6942	0.905	0.6178
MARCKSL1	0.8152	0.9078	0.6438	0.847
ZBTB8OS	0.8832	0.938	0.798	0.919
RIMKLA	0.5988	0.4272	0.5048	0.3106
CCDC30	0.6536	0.9212	0.6398	0.9074
RNF220	0.3876	0.258	0.233	0.1488
FOXJ3	0.7174	0.9694	0.56	0.944
INPP5B	0.0397	0.0258	0.0049	0.0024
_ENSG00000228436	0.364	0.3124	0.2066	0.1488
LRRC7	0.1112	0.1202	0.0444	0.0606
LRRC40	0.6984	0.7994	0.4702	0.6834
NRDC	0.0909	0.0621	0.0083	0.0074
MKNK1	0.9724	0.995	0.9086	0.9808
HSPB11	0.3588	0.363	0.1368	0.1752
EPS15	0.4956	0.4742	0.3674	0.3312
SCP2	0.4508	0.2028	0.389	0.1572
TMEM59	0.969	0.8364	0.9704	0.7584
DOCK7	0.1442	0.149	0.0466	0.069
DNAJC6	0.2646	0.2452	0.0428	0.0761
WLS	0.0452	0.0766	0.0432	0.0903
SRSF11	0.351	0.2706	0.031	0.0486
OSBPL9	0.7974	0.9334	0.8142	0.9292
ANKRD13C	0.107	0.165	0.1068	0.1884
SGIP1	0.2924	0.1726	0.223	0.1266
ECHDC2	0.1736	0.189	0.1084	0.118
RNF11	0.265	0.457	0.0921	0.3012
ATPAF1	0.4602	0.6956	0.396	0.653
ATG4C	0.1486	0.1514	0.1572	0.1638
SPATA6	0.2862	0.2824	0.0571	0.1418
ZRANB2	0.7372	0.8872	0.6532	0.852
PATJ	0.2256	0.4016	0.1256	0.3262
HOOK1	0.5642	0.5676	0.234	0.3044
BTF3L4	0.3876	0.3744	0.3904	0.3658
TUT4	0.6462	0.5586	0.6084	0.4766
ITGB3BP	0.3266	0.4484	0.1396	0.273
SERBP1	0.6208	0.7624	0.499	0.7204
ZFYVE9	0.093	0.078	0.0423	0.0434
LRP8	0.7866	0.9256	0.6342	0.8884
SSBP3	0.2202	0.1858	0.0658	0.0809
EFCAB14	0.1516	0.188	0.0337	0.0536
CMPK1	0.4044	0.6096	0.2168	0.5428
ELAVL4	0.0718	0.0715	0.0224	0.0238
ZYG11B	0.1472	0.1228	0.0493	0.0488
USP24	0.1826	0.1998	0.1296	0.122
PRKAA2	0.0535	0.0586	0.0123	0.0183
JAK1	0.7562	0.7992	0.5138	0.65
RAVER2	0.488	0.4372	0.474	0.4126
NFIA	0.6564	0.6936	0.5902	0.585
MYSM1	0.0695	0.0436	0.0016	0.0043
TM2D1	0.6868	0.8256	0.6168	0.7934
NEGR1	0.1091	0.1112	0.0193	0.0281
FGGY	0.2634	0.2334	0.0602	0.13
DAB1	0.0166	0.0763	0.0268	0.0969
GLIS1	0.0657	0.1052	0.0373	0.0732
PDE4B	0.6614	0.6028	0.5114	0.4678
FAF1	0.4054	0.2998	0.4066	0.3064
AGBL4	0.5624	0.823	0.5422	0.814
MIER1	0.187	0.134	0.074	0.0647
EFCAB7	0.9962	0.9026	0.9966	0.8664
ZRANB2-AS2	0.1184	0.1026	0.0208	0.0265
GNG12-AS1	0.4372	0.4518	0.3164	0.308
_ENSG00000036549	0.8872	0.7922	0.8766	0.766
PKN2	0.0302	0.0456	0.0079	0.0226
EVI5	0.7218	0.4518	0.7154	0.4494
USP33	0.0046	0.0017	0.0018	0.0016
SH3GLB1	0.5408	0.5518	0.1344	0.271
