gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.719	0.6112	0.595	0.4958
ENO1	0.4646	0.5702	0.4948	0.5636
RERE	0.4792	0.6406	0.3988	0.6126
PRDM16	0.9366	0.7514	0.9882	0.8442
CLSTN1	0.9352	0.9664	0.8392	0.9036
CAMTA1	0.6146	0.433	0.6102	0.3396
EIF4G3	0.926	0.7586	0.9538	0.8052
STMN1	0.8504	0.9574	0.8328	0.927
MACF1	0.2332	0.3314	0.2376	0.3474
DOCK7	0.727	0.8288	0.616	0.7108
SGIP1	0.6066	0.978	0.622	0.9578
ECHDC2	0.5702	0.8152	0.427	0.7454
TUT4	0.8128	0.7522	0.771	0.636
CACHD1	0.1984	0.3982	0.2092	0.4558
ACOT11	0.733	0.9802	0.61	0.8888
PLPP3	0.9482	0.9566	0.828	0.949
NFIA	0.9682	0.9438	0.9988	0.9368
NEGR1	0.9486	0.9542	0.9272	0.8958
PDE4B	0.8168	0.8896	0.8194	0.9098
FAF1	0.6968	0.8578	0.6478	0.9124
F3	0.6682	0.692	0.6056	0.668
VAV3	0.7666	0.9206	0.8648	0.7942
PRKACB	0.9256	0.9666	0.863	0.9636
DDAH1	0.56	0.6144	0.587	0.631
RNPC3	0.9062	0.9348	0.8728	0.9334
AHCYL1	0.8648	0.9194	0.7966	0.8214
ASH1L	0.862	0.987	0.9066	0.9824
C1orf61	0.9958	0.938	0.9982	0.9764
BCAN	0.5412	0.528	0.486	0.465
POGZ	0.6128	0.6108	0.5046	0.5678
ATP1A2	0.266	0.3768	0.2642	0.3812
POU2F1	0.8074	0.9598	0.8922	0.9506
RABGAP1L	0.279	0.1202	0.3164	0.1186
PBX1	0.7714	0.6648	0.6844	0.5974
DNM3	0.9318	0.986	0.9332	0.9846
NAV1	0.7382	0.7222	0.7082	0.6746
CRB1	0.9492	0.7252	0.9024	0.723
GLUL	0.7668	0.6772	0.8192	0.6994
ASTN1	0.7232	0.9622	0.743	0.9058
BRINP3	0.5828	0.9288	0.5038	0.9868
GPR37L1	0.5844	0.7366	0.503	0.6504
ITPKB	0.3058	0.2874	0.2962	0.2726
CDC42BPA	0.908	0.9152	0.9212	0.8904
ESRRG	0.8254	0.8398	0.8998	0.776
AKT3_ENSG00000117020	0.9644	0.9376	0.9644	0.9146
AGT	0.5298	0.637	0.4722	0.546
FMN2	0.3854	0.6848	0.483	0.8102
RGS7	0.876	0.9692	0.9006	0.9118
NCOA1	0.7988	0.9648	0.8032	0.9638
EFR3B	0.8014	0.467	0.8646	0.5368
ID2	0.5748	0.4066	0.534	0.3768
BIRC6	0.9204	0.5182	0.8778	0.5228
LINC00486	0.5664	0.5836	0.4902	0.5286
LINC00299	0.9098	0.6056	0.8396	0.5814
SPTBN1	0.6176	0.7132	0.483	0.6108
RTN4	0.7898	0.9564	0.7598	0.9692
CCDC88A	0.4122	0.6224	0.3724	0.5668
USP34	0.979	0.9386	0.9986	0.9422
EHBP1	0.6446	0.9942	0.7128	0.9812
PREPL	0.8772	0.917	0.8174	0.905
ACYP2	0.4036	0.6004	0.2854	0.6398
NRXN1	0.6868	0.9324	0.666	0.9674
BCYRN1	0.543	0.7102	0.4954	0.7236
TMSB10	0.776	0.8544	0.7734	0.829
CTNNA2	0.8564	0.9502	0.8862	0.8566
ZNF638	0.357	0.4018	0.251	0.3448
EXOC6B	0.4938	0.6516	0.5188	0.7048
SFXN5	0.936	0.9812	0.8738	0.9938
LRRTM4	0.3104	0.4338	0.0896	0.203
MAP4K4	0.9894	0.9096	0.9678	0.844
MERTK	0.8314	0.9952	0.7996	0.9806
R3HDM1	0.7052	0.9308	0.6568	0.9462
CLASP1	0.8758	0.6938	0.8246	0.6966
ARHGEF4	0.4224	0.5238	0.3318	0.4704
LRP1B	0.9912	0.9826	0.9964	0.9604
DPP10	0.487	0.6726	0.4508	0.645
NCKAP5	0.5764	0.4734	0.5288	0.474
OSBPL6	0.6082	0.9378	0.6302	0.9936
BAZ2B	0.5316	0.7672	0.4296	0.6778
CHN1	0.854	0.9382	0.7784	0.9088
FMNL2	0.2392	0.245	0.2136	0.2056
MBD5	0.7354	0.6408	0.7474	0.6452
_ENSG00000228222	0.7734	0.965	0.8542	0.8762
INO80D	0.4624	0.4372	0.347	0.3112
PARD3B	0.7372	0.9278	0.6978	0.9304
FAM171B	0.8054	0.9272	0.8064	0.8086
ERBB4	0.9296	0.7424	0.8614	0.6958
HIBCH	0.1892	0.2784	0.1026	0.2286
ITM2C	0.5282	0.6476	0.5148	0.5842
SERPINE2	0.9494	0.974	0.9718	0.8674
AGAP1	0.9532	0.9356	0.9942	0.9566
TBC1D5	0.3394	0.4984	0.3118	0.514
CHL1	0.637	0.822	0.4538	0.8124
RBMS3	0.3112	0.3664	0.2634	0.323
RPL32	0.149	0.3318	0.1316	0.361
SLC6A1	0.8274	0.9152	0.778	0.8372
LRRC3B	0.4752	0.5896	0.3506	0.5252
UBE2E2	0.2356	0.344	0.2064	0.337
SRGAP3	0.9404	0.8396	0.9712	0.8156
ATG7	0.823	0.6218	0.75	0.4562
LMCD1-AS1	0.4734	0.508	0.4286	0.503
RBM6	0.5116	0.4628	0.2898	0.326
MAP4	0.159	0.0543	0.0842	0.0436
NKTR	0.6222	0.6802	0.4228	0.5462
GOLGA4	0.583	0.7072	0.4648	0.696
CLASP2	0.462	0.661	0.4994	0.7148
PLXNB1	0.9792	0.937	0.9024	0.7992
TRAK1	0.6652	0.4876	0.5832	0.39
DOCK3	0.4346	0.4286	0.4276	0.4052
PDZRN3	0.3472	0.4776	0.4086	0.543
