gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
KIF1B	0.512	0.4278	0.4848	0.4204
ENO1	0.7522	0.9902	0.7186	0.991
GNB1	0.9718	0.901	0.9642	0.8966
ACOT7	0.4184	0.4804	0.45	0.475
CHD5	0.405	0.3258	0.1498	0.118
CLSTN1	0.7826	0.7086	0.761	0.7138
CAMTA1	0.0198	0.0224	0.0149	0.0269
MTATP6P1	0.401	0.649	0.3384	0.6222
CDC42	0.6796	0.6218	0.6226	0.5524
STMN1	0.3636	0.4234	0.2078	0.2912
ATP5IF1	4e-04	3e-04	2e-04	2e-04
CAMK2N1	0.064	0.0483	0.023	0.0176
NCDN	0.359	0.544	0.2096	0.396
ATP6V0B	0.187	0.1168	0.1828	0.1314
ADGRB2	0.32	0.2506	0.2314	0.1888
HPCA	0.6322	0.7456	0.6176	0.738
NDUFS5	0.0218	0.2132	0.0072	0.116
UQCRH	0.8836	0.9966	0.8728	0.9968
LRRC7	0.7806	0.546	0.697	0.4728
DNAJC6	0.2714	0.2008	0.24	0.2082
RNF11	0.024	0.0248	0.0063	0.0067
ELAVL4	0.1348	0.2402	0.1336	0.2204
NEGR1	0.6816	0.9498	0.6748	0.9562
PLPPR4	0.634	0.8856	0.579	0.8772
PRKACB	0.3958	0.4216	0.1994	0.3148
LMO4	0.4302	0.3508	0.484	0.3596
AK5	0.6238	0.6522	0.564	0.6098
_ENSG00000224550	0.0194	0.0296	0.0045	0.007
ATP1A1	0.9626	0.832	0.932	0.7636
SLC6A17	0.6826	0.7176	0.5976	0.637
SYT11	0.492	0.697	0.3456	0.6588
ENSA	0.0157	0.0153	0.0237	0.0269
SV2A	0.3344	0.4692	0.3862	0.5076
MLLT11	0.2836	0.5574	0.2166	0.4856
KIFAP3	0.2204	0.1902	0.0915	0.0803
RGS4	0.1614	0.1314	0.149	0.0946
ATP1B1	0.1658	0.4738	0.1716	0.4378
MGST3	0.2564	0.3506	0.1158	0.2306
CADM3	0.8842	0.6804	0.8174	0.6128
DNM3	0.603	0.8516	0.635	0.8338
CAMSAP2	0.946	0.8664	0.918	0.8442
NUCKS1	0.5454	0.8372	0.4938	0.7934
ARF1	0.3962	0.3444	0.3718	0.3068
GUK1	0.11	0.1198	0.0482	0.0529
TOMM20	0.3796	0.3658	0.246	0.1916
ZBTB18	0.355	0.7206	0.346	0.7098
MYT1L	0.358	0.2666	0.2274	0.1964
RYR2	0.9458	0.7054	0.9372	0.7148
KIF3C	0.4176	0.3822	0.4418	0.4146
VSNL1	0.3804	0.4008	0.2828	0.3014
FAM49A	0.223	0.227	0.1186	0.1268
LINC00486	0.6154	0.2756	0.483	0.1642
MDH1	0.4662	0.5268	0.1998	0.3386
