gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
DNAJC11	0.1178	0.0896	0.0298	0.0343
VPS13D	0.1466	0.5596	0.0893	0.55
PER3	0.3474	0.1702	0.275	0.109
KIF1B	0.3774	0.4718	0.2718	0.335
PRKCZ	0.2238	0.23	0.0384	0.0498
KCNAB2	0.0386	0.0737	0.0134	0.0307
ENO1	0.9034	0.9686	0.8992	0.9604
GNB1	0.753	0.9018	0.7098	0.8876
ACOT7	0.0231	0.05	0.018	0.0283
CEP104	0.24	0.1094	0.131	0.0404
RPL22	0.0479	0.0551	0.0187	0.0311
CHD5	0.8474	0.662	0.6074	0.3638
PARK7	0.2298	0.2894	0.11	0.154
MFN2	0.4534	0.659	0.3296	0.619
PRDM2	0.265	0.9696	0.2678	0.9384
UBE4B	0.201	0.13	0.0362	0.0161
ACAP3	0.6182	0.4266	0.2452	0.1232
C1orf159	0.6384	0.9744	0.5944	0.9688
NPHP4	0.209	0.2526	0.1678	0.1972
FBXO44	0.6208	0.6648	0.5112	0.5484
RERE	0.6316	0.8832	0.616	0.8344
EFHD2	0.4832	0.783	0.271	0.6908
PEX14	0.0345	0.0279	0.011	0.0106
SKI	0.6232	0.596	0.4258	0.4084
TPRG1L	0.416	0.5854	0.318	0.4824
SSU72	0.6326	0.698	0.556	0.6262
CLSTN1	0.6066	0.7202	0.4632	0.623
CAMTA1	0.4402	0.4174	0.3242	0.333
EXOSC10	0.2022	0.1648	0.0788	0.0557
AURKAIP1	0.2258	0.123	0.0887	0.024
CTNNBIP1	0.1774	0.0876	0.1222	0.0472
GABRD	0.8242	0.7232	0.6966	0.5722
NOC2L	0.6462	0.564	0.5168	0.4568
KAZN	0.0297	0.0296	0.0221	0.0197
AJAP1	0.8622	0.903	0.876	0.8884
MTOR	0.3346	0.5638	0.1872	0.4928
CCNL2	0.2334	0.2566	0.1186	0.1564
_ENSG00000230021	0.982	0.9528	0.9608	0.9038
LINC01409	0.1166	0.1204	0.0915	0.1014
MRPL20	0.3676	0.5546	0.3552	0.5236
CDK11B	0.0039	0.0014	6e-04	3e-04
MTATP6P1	0.2948	0.2824	0.1354	0.1374
NIPAL3	0.7416	0.9302	0.7354	0.9524
KDM1A	0.5076	0.9348	0.3988	0.8692
FBXO42	0.1924	0.165	0.0978	0.1106
PITHD1	0.7852	0.7494	0.71	0.6682
CROCC	0.4438	0.7336	0.357	0.6852
SPEN	0.6648	0.5696	0.6612	0.5648
CDC42	0.472	0.576	0.3942	0.4854
EIF4G3	0.5372	0.7788	0.514	0.757
RAP1GAP	0.3122	0.24	0.0889	0.0558
CAPZB	0.0434	0.0694	0.009	0.0248
CROCCP3	0.1254	0.1058	0.1028	0.0902
NUDC	0.1414	0.1386	0.1232	0.118
USP48	0.1926	0.1698	0.142	0.141
DNAJC16	0.0853	0.0798	0.0569	0.0798
SRSF4	0.1544	0.4886	0.1752	0.5298
MECR	0.1078	0.1394	0.0468	0.0508
PLEKHM2	0.262	0.6738	0.2418	0.6522
SDHB	0.0825	0.1468	0.0125	0.049
IGSF21	0.0445	0.0453	0.0065	0.0099
ECE1	0.7046	0.8122	0.7134	0.8148
RSRP1	0.0279	0.0342	0.0165	0.0194
STMN1	0.6734	0.7908	0.6502	0.7824
MAN1C1	0.3326	0.3948	0.1846	0.3326
DHDDS	0.0575	0.053	0.021	0.0139
ARID1A	0.3368	0.3472	0.1804	0.2124
STX12	0.103	0.1698	0.0642	0.1706
