gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
KIF1B	0.3802	0.24	0.3818	0.2224
GNB1	0.0173	0.0186	0.0267	0.0291
CHD5	0.496	0.4362	0.2404	0.2314
PRDM2	0.007	0.0069	0.0087	0.0173
ACAP3	0.4306	0.3074	0.2194	0.1458
RERE	0.8502	0.9806	0.8102	0.9772
CLSTN1	0.8356	0.5542	0.799	0.4692
CAMTA1	0.0443	0.0822	0.0145	0.0424
KAZN	0.012	0.0093	0.0104	0.009
MTATP6P1	0.486	0.942	0.3374	0.9138
EIF4G3	0.8846	0.8498	0.883	0.8366
STMN1	0.0119	0.0281	0.0133	0.033
CAMK2N1	0.2616	0.394	0.1292	0.2672
SCMH1	0.7078	0.9094	0.6462	0.8962
NCDN	0.8454	0.9218	0.8284	0.916
ATP6V0B	0.0883	0.0467	0.0705	0.0326
ADGRB2	0.727	0.5936	0.5708	0.449
CSMD2	0.6496	0.4328	0.6534	0.4424
HIVEP3	0.8492	0.908	0.8406	0.8946
MACF1	0.066	0.0617	0.0761	0.0739
PUM1	0.1938	0.3462	0.1098	0.2466
LRRC7	0.0223	0.0356	0.0075	0.0121
DNAJC6	0.5454	0.7684	0.4166	0.7326
SRSF11	0.0704	0.0302	0.0044	0.0025
SGIP1	0.66	0.9036	0.6448	0.8936
ZRANB2	0.0789	0.0415	0.0223	0.0101
PATJ	0.7332	0.6122	0.684	0.5906
SSBP3	0.4316	0.5092	0.2448	0.3382
PRKAA2	0.0202	0.0276	0.0097	0.0198
NEGR1	0.0943	0.1476	0.0313	0.0663
DAB1	0.212	0.1104	0.1772	0.1048
PDE4B	0.1666	0.1972	0.0778	0.1032
FAF1	0.9854	0.9602	0.982	0.9572
AGBL4	0.1946	0.1656	0.1744	0.1424
PKN2	0.0021	0.0028	0.002	0.0028
EVI5	0.984	0.9908	0.985	0.992
ST6GALNAC5	0.347	0.5342	0.3638	0.5596
ADGRL2	5e-04	6e-04	0.0018	0.002
SSX2IP	0.253	0.2412	0.1086	0.1132
PTBP2	0.526	0.136	0.502	0.0627
PLPPR4	0.6406	0.9298	0.5008	0.9054
OLFM3	0.5548	0.9388	0.515	0.9344
TTLL7	0.4412	0.6514	0.3282	0.547
SLC44A5	0.2236	0.1408	0.199	0.0896
PRKACB	0.3936	0.5026	0.2518	0.3798
LMO4	0.818	0.7272	0.736	0.6606
AK5	0.0585	0.0984	0.033	0.075
COL24A1	0.8824	0.7168	0.8566	0.6736
DPYD	0.0062	0.0066	0.0054	0.0042
LRRC8B	0.5794	0.9398	0.5166	0.913
MIR137HG	0.0381	0.0604	0.0128	0.0225
ATP1A1	0.0649	0.0285	0.0498	0.0233
MAN1A2	0.7078	0.44	0.6282	0.3298
_ENSG00000224363	0.164	0.1764	0.1082	0.1138
ASH1L	0.3654	0.1154	0.3586	0.0844
SYT11	0.2802	0.2854	0.316	0.3088
ENSA	0.0858	0.1042	0.0801	0.0925
POGZ	0.4232	0.5854	0.3878	0.5696
RPRD2	0.4732	0.4738	0.4798	0.4876
KIFAP3	0.228	0.144	0.2114	0.1274
TNR	0.3812	0.3946	0.4198	0.443
RGS4	0.8668	0.665	0.8352	0.606
PRRC2C	0.1006	0.0981	0.0518	0.0514
ATP1B1	0.6496	0.5574	0.629	0.5546
NME7	0.2706	0.3616	0.2858	0.385
DCAF6	0.086	0.0798	0.0403	0.0489
POU2F1	0.139	0.1598	0.1268	0.148
COP1	0.0476	0.0473	0.0389	0.0438
RABGAP1L	0.1212	0.1608	0.132	0.1582
PBX1	0.0018	0.0015	0.0018	0.0017
DNM3	0.5054	0.6238	0.4874	0.576
RASAL2	0.2418	0.4014	0.1572	0.2814
PPP1R12B	0.5336	0.85	0.5248	0.8428
CAMSAP2	0.896	0.663	0.8772	0.6244
NAV1	0.1852	0.1686	0.1514	0.1414
RGL1	0.5518	0.6764	0.5352	0.6482
ASTN1	0.1352	0.1344	0.1216	0.1296
NMNAT2	0.1342	0.0902	0.094	0.0828
BRINP3	0.3134	0.4686	0.1718	0.3542
KCNT2	0.9978	0.9214	0.9946	0.9094
CACNA1E	0.0201	0.0259	0.0327	0.0423
BRINP2	0.5538	0.8084	0.5444	0.777
NUCKS1	0.717	0.997	0.6524	0.9948
MARK1	0.4934	0.42	0.3964	0.285
RPS6KC1	0.1314	0.1264	0.126	0.1414
SYT14	0.756	0.3978	0.7312	0.354
KCNH1	0.3326	0.2372	0.3748	0.2598
CDC42BPA	0.2364	0.4914	0.2524	0.5194
ESRRG	0.3734	0.1478	0.3178	0.1496
ARID4B	0.9266	0.9164	0.9404	0.9114
SDCCAG8_ENSG00000054282	0.3542	0.3322	0.1712	0.2162
TARBP1	0.8588	0.5022	0.8104	0.365
AKT3_ENSG00000117020	0.2922	0.5936	0.2628	0.5976
CHRM3	0.0043	0.0054	0.0032	0.0045
PCNX2	0.5582	0.3712	0.557	0.3576
KCNK1	0.0369	0.0798	0.0424	0.074
LYST	0.4466	0.54	0.457	0.5666
FMN2	0.4096	0.5232	0.408	0.4566
ZBTB18	0.504	0.6496	0.31	0.5328
RGS7	0.27	0.3608	0.3186	0.3986
SLC35F3	0.49	0.411	0.4728	0.4038
MYT1L	0.4282	0.4012	0.4228	0.393
RYR2	0.4502	0.5672	0.3662	0.4894
LINC01250	0.0352	0.0206	0.0466	0.0388
PUM2	0.647	0.8358	0.4792	0.7946
NCOA1	0.1834	0.1184	0.195	0.1288
EFR3B	0.9328	0.9896	0.9444	0.9924
HPCAL1	0.158	0.2592	0.0817	0.1718
BIRC6	0.0814	0.1514	0.0682	0.1548
ROCK2	0.3244	0.566	0.27	0.5238
DTNB	0.0601	0.0425	0.0587	0.0426
NBAS	0.5284	0.6428	0.5284	0.6286
BABAM2	0.0483	0.0205	0.0434	0.0238
VSNL1	0.5876	0.6686	0.5448	0.6464
FAM49A	0.4956	0.7838	0.307	0.7044
LINC00486	0.5874	0.3428	0.5326	0.3226
MAP4K3	0.0302	0.0255	0.0371	0.038
MTA3	0.373	0.3738	0.3686	0.3742
SPTBN1	0.8708	0.8702	0.8326	0.8538
RTN4	0.7824	0.6726	0.773	0.6724
