gene	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD
GNB1	0.5528	0.4846	0.4538	0.3674
SLC2A5	0.8982	0.6916	0.8506	0.614
RERE	0.5318	0.4952	0.5068	0.4458
EIF4G3	0.47	0.312	0.4292	0.2514
CAPZB	0.6866	0.9884	0.6196	0.9838
STMN1	0.4986	0.389	0.4042	0.2612
ARID1A	0.514	0.4378	0.4772	0.3822
WASF2	0.7286	0.5874	0.6638	0.5006
EPB41	0.9424	0.7468	0.9036	0.6638
C1QC	0.808	0.6082	0.7764	0.5428
C1QB	0.8104	0.5956	0.7514	0.5008
C1QA	0.8548	0.6354	0.8418	0.5772
SMAP2	0.858	0.58	0.8276	0.528
CSF3R	0.9238	0.7202	0.9228	0.7026
HIVEP3	0.7466	0.5456	0.6628	0.4278
MACF1	0.6798	0.7428	0.7016	0.7778
PUM1	0.2176	0.171	0.2286	0.196
LAPTM5	0.9522	0.7498	0.9594	0.7204
MKNK1	0.9354	0.6984	0.9176	0.6294
NFIA	0.1862	0.155	0.2292	0.1946
PDE4B	0.5276	0.3922	0.4936	0.3574
FAF1	0.3614	0.2364	0.3144	0.228
PKN2	1	0.9082	0.9998	0.8754
EVI5	0.5526	0.5144	0.5638	0.5194
ST6GALNAC3	0.5676	0.345	0.4918	0.286
CCDC18-AS1	0.8668	0.696	0.8284	0.6074
RAP1A	0.6948	0.4766	0.6278	0.4096
PRPF38B	0.7514	0.5874	0.7542	0.572
CTTNBP2NL	0.9052	0.7494	0.903	0.6958
CD53	0.9184	0.9396	0.8958	0.9264
SRGAP2C	0.805	0.555	0.749	0.4434
SRGAP2B	0.7932	0.532	0.7532	0.4174
LINC02798	0.6792	0.4148	0.633	0.3614
ASH1L	0.9536	0.6122	0.9438	0.5398
ATF6	0.9478	0.7986	0.941	0.7796
COP1	0.5484	0.4708	0.5436	0.4394
RABGAP1L	0.6284	0.599	0.5354	0.4948
IFI16	0.99	0.7974	0.9826	0.744
RCSD1	0.7948	0.5442	0.743	0.469
RASAL2	0.6044	0.4216	0.545	0.3618
PTPRC_ENSG00000081237	0.889	0.6664	0.87	0.6002
NPL	0.7968	0.6546	0.7472	0.5882
FAM177B	0.871	0.6598	0.859	0.6214
SRGAP2	0.8658	0.563	0.8262	0.4572
ARID4B	0.3628	0.29	0.3814	0.3156
SDCCAG8_ENSG00000054282	0.7346	0.51	0.668	0.4134
SIPA1L2	0.8708	0.6906	0.8534	0.6314
AKT3_ENSG00000117020	0.2454	0.2168	0.243	0.2188
PCNX2	0.8496	0.6572	0.8084	0.5852
GALNT2	0.9876	0.8644	0.9914	0.8656
LYST	0.8938	0.6834	0.8682	0.6134
CEP170_ENSG00000143702	0.4672	0.3026	0.4334	0.2806
DISC1	0.866	0.6718	0.8186	0.5854
PUM2	0.4472	0.2562	0.4728	0.2842
NCOA1	0.375	0.4258	0.3642	0.4226
RAB10	0.751	0.6414	0.7254	0.576
BIRC6	0.5758	0.6164	0.6002	0.6226
DTNB	0.3032	0.3344	0.2982	0.3456
BABAM2	0.5342	0.4572	0.4714	0.3858
ITSN2	0.6874	0.5654	0.672	0.509
LINC00486	0.8392	0.6612	0.7856	0.6078
RTN4	0.743	0.7134	0.658	0.635
CCDC88A	0.3096	0.2178	0.3134	0.2386
USP34	0.5644	0.4554	0.5912	0.4404
SOS1	0.3376	0.2222	0.2744	0.1956
RAB1A	0.0866	0.135	0.0565	0.0788
ACTR2	0.8784	0.868	0.8248	0.8184
FBXO11	0.793	0.6932	0.7578	0.6116
EML4	0.956	0.7288	0.9442	0.6694
RPS27A	0.0538	0.0513	0.0417	0.0405
ZFP36L2	0.9274	0.7302	0.9418	0.7198
NRXN1	0.8504	0.7198	0.8122	0.6584
SLC8A1	0.9556	0.6158	0.9476	0.5418
PELI1	0.8412	0.6638	0.818	0.604
TMSB10	0.4598	0.3264	0.341	0.1748
ZNF638	0.3814	0.3858	0.4002	0.396
AAK1	0.6346	0.4694	0.621	0.4146
EXOC6B	0.2338	0.403	0.2674	0.4312
ARHGAP25	0.8978	0.6924	0.8796	0.6558
USP39	0.5856	0.4922	0.5014	0.3874
LRRTM4	0.824	0.7198	0.762	0.6744
MAP4K4	0.4856	0.3406	0.4184	0.2644
MGAT4A	0.864	0.6098	0.8346	0.5426
AFF3	0.434	0.5042	0.4	0.4414
MERTK	0.9806	0.8578	0.971	0.8196
LIMS1	0.7718	0.6864	0.7382	0.6172
SH3RF3	0.8966	0.703	0.8614	0.5958
R3HDM1	0.903	0.9332	0.875	0.916
CLASP1	0.2316	0.1634	0.2718	0.199
ARHGAP15	0.738	0.5306	0.6536	0.4106
BIN1	0.7946	0.2654	0.775	0.2804
MGAT5	0.7122	0.5368	0.618	0.4264
LRP1B	0.8546	0.9572	0.805	0.946
ZEB2	0.3968	0.22	0.3452	0.2026
DPP10	0.9702	0.9018	0.951	0.888
