gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
DNAJC11	0.5386	0.3222	0.46	0.3136
VPS13D	0.4718	0.514	0.3362	0.4292
PER3	0.727	0.8218	0.701	0.7358
KIF1B	0.4608	0.5754	0.3782	0.5112
PRKCZ	0.3626	0.4234	0.0958	0.237
KCNAB2	0.261	0.3058	0.1262	0.1992
ENO1	0.3686	0.2656	0.3152	0.242
GNB1	0.499	0.3642	0.4484	0.353
ACOT7	0.2242	0.2524	0.1756	0.1912
CEP104	0.8486	0.8582	0.881	0.6972
RPL22	0.9402	0.9876	0.9314	0.9972
CHD5	0.7702	0.8586	0.4924	0.8054
PARK7	0.794	0.8604	0.8988	0.915
SRM	0.3854	0.3678	0.2752	0.2814
MFN2	0.3462	0.4256	0.2216	0.3544
PRDM2	0.786	0.8862	0.813	0.8884
UBE4B	0.4998	0.748	0.3108	0.6922
ACAP3	0.912	0.9222	0.966	0.613
C1orf159	0.441	0.502	0.2734	0.4678
FBXO44	0.1974	0.2256	0.1088	0.1536
RERE	0.2732	0.3712	0.1616	0.308
EFHD2	0.4126	0.3552	0.27	0.191
PEX14	0.9532	0.8222	0.9494	0.7176
SKI	0.7514	0.8538	0.6398	0.8342
SSU72	0.4112	0.4096	0.3296	0.3316
CLSTN1	0.3388	0.393	0.2698	0.3698
PLEKHG5	0.7478	0.6444	0.7536	0.6548
CAMTA1	0.8656	0.7116	0.8756	0.6512
EXOSC10	0.7208	0.8618	0.6984	0.8646
GABRD	0.2008	0.1816	0.0459	0.0427
KAZN	0.2924	0.3906	0.2322	0.3656
AJAP1	0.379	0.4976	0.3214	0.476
MTOR	0.7252	0.1986	0.6426	0.1224
DISP3	0.4208	0.245	0.491	0.3546
CCNL2	0.4042	0.3162	0.2452	0.167
_ENSG00000230021	0.6968	0.5686	0.593	0.358
MRPL20	0.869	0.946	0.925	0.8982
MTATP6P1	0.5202	0.4928	0.6026	0.5726
KDM1A	0.5298	0.4268	0.2182	0.1746
FBXO42	0.6178	0.8104	0.5292	0.8034
PITHD1	0.3048	0.4736	0.1798	0.366
SPEN	0.0149	0.0629	0.0186	0.0899
CDC42	0.3768	0.4028	0.3142	0.3152
EIF4G3	0.4932	0.6208	0.4202	0.6036
RAP1GAP	0.3542	0.35	0.1824	0.223
CAPZB	0.9388	0.955	0.9752	0.9486
CROCCP3	0.3176	0.321	0.2528	0.3048
NUDC	0.559	0.4214	0.4558	0.3116
USP48	0.2088	0.4114	0.1536	0.3916
DNAJC16	0.1896	0.2026	0.0764	0.108
SRSF4	0.2058	0.1696	0.1302	0.133
PLEKHM2	0.263	0.21	0.24	0.1946
SDHB	0.8444	0.9634	0.7024	0.8314
ECE1	0.6322	0.6172	0.6652	0.6618
RSRP1	0.5506	0.5528	0.547	0.5594
STMN1	0.6678	0.6784	0.5956	0.6096
MAN1C1	0.7536	0.5416	0.7658	0.542
DHDDS	0.9332	0.8822	0.8458	0.7704
ARID1A	0.2706	0.3376	0.1902	0.2786
STX12	0.691	0.6502	0.7642	0.6514
HNRNPR	0.6614	0.592	0.5048	0.4364
DNAJC8	0.5886	0.403	0.4774	0.354
AHDC1	0.5058	0.5894	0.4	0.5166
IFI6	0.4152	0.421	0.386	0.4054
UBR4	0.4532	0.59	0.3384	0.5258
HP1BP3	0.9326	0.9548	0.9762	0.881
ATP5IF1	0.419	0.4464	0.3658	0.3644
EPHB2	0.83	0.859	0.836	0.9226
SRRM1	0.145	0.23	0.1956	0.3236
RPL11	0.2798	0.2918	0.2212	0.2298
WDTC1	0.7854	0.8228	0.7448	0.8372
EYA3	0.2476	0.4182	0.1086	0.2896
NBL1	0.2918	0.23	0.1564	0.1498
PINK1	0.4812	0.5962	0.4486	0.5666
ATP13A2	0.2404	0.2502	0.1042	0.1386
CAMK2N1	0.5262	0.7084	0.4496	0.6896
LUZP1	0.5872	0.4638	0.6326	0.4914
TRNAU1AP	0.604	0.7868	0.4966	0.8808
TMEM50A	0.5492	0.4388	0.5074	0.396
SRSF10	0.7246	0.8814	0.6726	0.8898
DDI2	0.146	0.1056	0.1324	0.1098
HMGN2	0.4534	0.4542	0.3612	0.3884
PHACTR4	0.3232	0.4386	0.1438	0.3376
MACO1	0.6558	0.7102	0.6556	0.7332
NBPF1	0.6224	0.9796	0.5116	0.9802
EMC1-AS1	0.6804	0.5388	0.5108	0.3934
UQCRHL	0.613	0.411	0.5582	0.331
_ENSG00000235912	0.1836	0.0750999999999999	0.1826	0.0755
SCMH1	0.5192	0.627	0.356	0.6392
NCDN	0.4798	0.5108	0.4742	0.497
KPNA6	0.4584	0.5148	0.3124	0.4166
THRAP3	0.524	0.3324	0.4	0.3014
YBX1	0.7484	0.6074	0.678	0.5172
NFYC	0.6168	0.7916	0.4002	0.6366
EIF2B3	0.8252	0.996	0.7888	0.9076
SMAP2	0.9678	0.9298	0.9768	0.7638
PPIE	0.8738	0.928	0.909	0.9844
POMGNT1	0.2356	0.1612	0.2644	0.2088
MAST2	0.9824	0.6908	0.928	0.5892
S100PBP	0.2948	0.2898	0.1014	0.1272
SFPQ	0.4744	0.3154	0.0978	0.0803
MAP7D1	0.7544	0.7532	0.6096	0.6064
HPCAL4	0.5308	0.7332	0.474	0.7502
RLF	0.717	0.9158	0.6704	0.957
RIMS3	0.3086	0.3656	0.1822	0.3088
ATP6V0B	0.123	0.1156	0.1012	0.0971
ERI3	0.8186	0.6942	0.8126	0.534
PTCH2	0.9972	0.9476	0.9542	0.8338
PRDX1	0.9518	0.7148	0.8386	0.5718
ADGRB2	0.4744	0.5822	0.229	0.4816
ZCCHC17	0.9972	0.793	0.8876	0.6516
FABP3	0.2948	0.3312	0.2396	0.2408
KHDRBS1	0.8908	0.8396	0.7686	0.7264
CSMD2	0.7282	0.7562	0.7226	0.7188
