gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
GNB1	0.877	0.9458	0.7934	0.8924
SLC2A5	0.7182	0.8906	0.6476	0.8594
RERE	0.3002	0.2662	0.157	0.117
EIF4G3	0.2758	0.2348	0.1554	0.1356
CAPZB	0.1006	0.1888	0.0712	0.1542
STMN1	0.544	0.5504	0.4672	0.4742
ARID1A	0.2592	0.368	0.1118	0.2394
WASF2	0.4008	0.4712	0.1812	0.2968
EPB41	0.5816	0.4716	0.4214	0.3488
C1QC	0.3382	0.6268	0.2226	0.5108
C1QB	0.4368	0.8906	0.2478	0.8212
C1QA	0.3084	0.5936	0.2134	0.5262
SMAP2	0.1328	0.1678	0.1258	0.155
CSF3R	0.6746	0.6216	0.5	0.4878
HIVEP3	0.434	0.4292	0.1704	0.2146
MACF1	0.8058	0.753	0.7622	0.701
PUM1	0.194	0.1978	0.1766	0.1814
LAPTM5	0.2864	0.2652	0.2158	0.2298
MKNK1	0.3802	0.3678	0.2342	0.2608
NFIA	0.4452	0.548	0.4456	0.5646
PDE4B	0.8468	0.9702	0.8422	0.9754
FAF1	0.6132	0.6074	0.4138	0.4194
PKN2	0.654	0.723	0.517	0.6516
EVI5	0.2256	0.2532	0.123	0.1512
ST6GALNAC3	0.0265	0.0249	0.0102	0.0079
CCDC18-AS1	0.39	0.4116	0.199	0.2082
RAP1A	0.4766	0.363	0.3838	0.3004
PRPF38B	0.115	0.1944	0.069	0.1378
CTTNBP2NL	0.2848	0.3788	0.2086	0.3466
CD53	0.3414	0.3568	0.1824	0.2462
SRGAP2C	0.5766	0.5276	0.472	0.4552
SRGAP2B	0.3942	0.4064	0.2902	0.3186
LINC02798	0.013	0.0212	0.0185	0.0197
ASH1L	0.4392	0.4638	0.2276	0.2784
ATF6	0.8862	0.8716	0.8802	0.8758
COP1	0.3886	0.3336	0.289	0.2714
RABGAP1L	0.347	0.445	0.177	0.2878
IFI16	0.96	0.7678	0.9392	0.6572
RCSD1	0.462	0.5536	0.2084	0.4274
RASAL2	0.0588	0.0907	0.0207	0.0498
PTPRC_ENSG00000081237	0.8264	0.7346	0.8198	0.696
NPL	0.9254	0.7982	0.926	0.781
FAM177B	0.2266	0.2636	0.0696	0.1188
SRGAP2	0.4506	0.4878	0.3384	0.4142
ARID4B	0.8312	0.6336	0.7356	0.4916
SDCCAG8_ENSG00000054282	0.446	0.4312	0.2634	0.2512
SIPA1L2	0.6442	0.5856	0.6512	0.6046
AKT3_ENSG00000117020	0.3242	0.3948	0.246	0.3354
PCNX2	0.0514	0.0872000000000001	0.0147	0.0445
GALNT2	0.1818	0.255	0.0925	0.1768
LYST	0.4408	0.4274	0.2346	0.2204
CEP170_ENSG00000143702	0.1686	0.172	0.1584	0.1648
DISC1	0.5722	0.4326	0.3818	0.2548
PUM2	0.191	0.4076	0.1828	0.3812
NCOA1	0.8542	0.9318	0.7982	0.888
RAB10	0.437	0.528	0.346	0.4842
BIRC6	0.4576	0.5438	0.2772	0.3642
DTNB	0.9784	0.9554	0.9618	0.9298
BABAM2	0.6338	0.5892	0.4168	0.322
ITSN2	0.643	0.7654	0.5112	0.6862
LINC00486	0.281	0.4006	0.2276	0.3458
RTN4	0.7428	0.851	0.6438	0.7996
CCDC88A	0.705	0.7544	0.6902	0.7552
USP34	0.7662	0.826	0.633	0.7142
SOS1	0.756	0.8346	0.638	0.748
RAB1A	0.9554	0.8852	0.9352	0.8376
ACTR2	0.8308	0.7752	0.7786	0.7242
FBXO11	0.36	0.389	0.2322	0.2656
EML4	0.4366	0.3094	0.2872	0.2136
RPS27A	0.7192	0.68	0.6482	0.5906
ZFP36L2	0.2508	0.3992	0.275	0.4216
NRXN1	0.7544	0.908	0.6826	0.8742
SLC8A1	0.0901999999999999	0.109	0.0588	0.0902
PELI1	0.974	0.9046	0.962	0.9142
TMSB10	0.4956	0.3958	0.3964	0.285
ZNF638	0.727	0.8218	0.7082	0.792
AAK1	0.5548	0.8314	0.3928	0.784
EXOC6B	0.7992	0.662	0.8202	0.6764
ARHGAP25	0.2144	0.1662	0.1968	0.159
USP39	0.5538	0.4536	0.3654	0.2658
LRRTM4	0.8138	0.922	0.7818	0.8998
MAP4K4	0.1084	0.1336	0.0299	0.0485
MGAT4A	0.7742	0.7234	0.7764	0.7298
AFF3	0.183	0.3256	0.1674	0.3074
MERTK	0.8408	0.7448	0.7646	0.7336
LIMS1	0.5654	0.5884	0.5626	0.5736
SH3RF3	0.9782	0.8204	0.9656	0.7606
R3HDM1	0.6802	0.6998	0.646	0.6798
CLASP1	0.9818	0.9902	0.9784	0.9864
ARHGAP15	0.3284	0.283	0.2782	0.2264
BIN1	0.3234	0.4518	0.1598	0.323
MGAT5	0.5316	0.5634	0.5296	0.5834
LRP1B	0.6636	0.9232	0.6108	0.9148
ZEB2	0.7242	0.7326	0.7094	0.7118
DPP10	0.9804	0.9812	0.9678	0.9488
NCKAP5	0.2162	0.18	0.0955	0.0773
WIPF1	0.6778	0.5422	0.4772	0.323
BAZ2B	0.3584	0.4558	0.2972	0.3758
CHN1	0.6374	0.769	0.54	0.6972
FMNL2	0.509	0.5386	0.4418	0.4732
ARL5A	0.1764	0.2248	0.1026	0.1672
CACNB4	0.07	0.1022	0.0362	0.0707
MBD5	0.9112	0.8452	0.8574	0.7472
_ENSG00000218175	0.2564	0.4218	0.2964	0.4546
ANKRD44	0.165	0.2188	0.0907	0.164
INO80D	0.4122	0.4346	0.383	0.394
SP100	0.5156	0.5694	0.3614	0.4576
DOCK10	0.1544	0.1572	0.1156	0.136
CAB39	0.0848	0.1154	0.0602	0.1026
INPP5D_ENSG00000168918	0.1256	0.1476	0.0461	0.064
SLC4A7	0.0488	0.079	0.0371	0.0756
TBC1D5	0.2248	0.2176	0.1122	0.097
SUMF1	0.9694	0.8186	0.9498	0.75
PLCL2	0.1066	0.1632	0.0382	0.1076
UBE2E1	0.618	0.669	0.3996	0.5594
UBE2E2	0.1756	0.1994	0.0734	0.0828
ATG7	0.7016	0.7154	0.5008	0.5244
RBM6	0.5924	0.6762	0.4024	0.5246
GOLGA4	0.604	0.6564	0.5086	0.5694
TGFBR2	0.2236	0.281	0.0915	0.1608
CLASP2	0.4188	0.624	0.3898	0.6324
CX3CR1	0.1508	0.1608	0.1194	0.14
SETD2	0.467	0.5044	0.2182	0.2414
TRAK1	0.4776	0.5156	0.2544	0.3496
FRMD4B	0.3122	0.3104	0.2818	0.3418
CADM2	0.628	0.7814	0.544	0.731
ROBO2	0.9514	0.7666	0.924	0.6934
FHIT	0.3022	0.3164	0.2094	0.2142
GSK3B	0.3494	0.5046	0.3104	0.4694
CD86	0.1622	0.2164	0.1064	0.1814
ZNF148	0.2828	0.4398	0.2832	0.4332
ZBTB20	0.1015	0.1692	0.0758	0.139
LSAMP	0.8062	0.92	0.7646	0.8972
ATP2C1	0.0371	0.0349	0.0328	0.0394
RNF13	0.247	0.3448	0.241	0.3324
STAG1	0.4934	0.4788	0.2812	0.292
MBNL1	0.3706	0.419	0.3466	0.4102
P2RY12	0.0124	0.0236	0.0075	0.0171
TMCC1	0.5208	0.6332	0.3704	0.5354
SLC9A9	0.2864	0.2178	0.1842	0.1316
KBTBD12	0.0294	0.0642	0.0091	0.0323
MCF2L2	0.4866	0.536	0.2786	0.4136
PLD1	0.193	0.1646	0.0575	0.0449
GNB4	0.3012	0.3104	0.2438	0.277
B3GNT5	0.4348	0.4286	0.4602	0.4514
TBL1XR1	0.7978	0.986	0.7838	0.9822
NAALADL2	0.4488	0.5898	0.3342	0.5184
ST6GAL1	0.4628	0.3844	0.3492	0.2972
P3H2	0.0536	0.1022	0.0184	0.0601
ACAP2	0.6822	0.7764	0.6664	0.7754
LPP	0.6486	0.506	0.5888	0.4312
UBE2K	0.1386	0.3478	0.1596	0.3652
PDS5A	0.5526	0.6578	0.3818	0.5372
RBM47	0.9618	0.8514	0.9386	0.8182
KCNIP4_ENSG00000185774	0.7968	0.934	0.742	0.9212
ANKRD17	0.505	0.5208	0.381	0.416
RASGEF1B	0.3952	0.4614	0.3598	0.4258
BMP2K	0.5894	0.3412	0.586	0.3402
MANBA	0.4304	0.495	0.317	0.4142
SPP1	0.5354	0.4716	0.4812	0.3764
ARHGAP24	0.0502	0.0627	0.064	0.0673
PPP3CA	0.774	0.89	0.6798	0.8392
SNCA	0.8488	0.9458	0.7898	0.9032
CAMK2D	0.925	0.9922	0.908	0.9898
USP53	0.3328	0.3656	0.1444	0.2162
GRID2	0.191	0.1852	0.2486	0.2344
WDFY3	0.6448	0.7436	0.5624	0.7124
TET2	0.357	0.3256	0.3038	0.2922
AFF1	0.527	0.5636	0.3508	0.4768
ELF2	0.8038	0.686	0.7426	0.5758
FBXW7	0.8124	0.884	0.7268	0.8094
KIAA1109	0.8848	0.8688	0.7978	0.7896
MAML3	0.0326	0.0734	0.0094	0.0328
LRBA	0.4178	0.405	0.2576	0.2496
RAPGEF2	0.461	0.6342	0.4704	0.6408
MARCHF1	0.3954	0.473	0.4164	0.496
GPM6A	0.7092	0.8334	0.6184	0.7664
TRIO	0.269	0.3174	0.136	0.1854
SLC1A3	0.3856	0.4168	0.3468	0.3724
WDR70	0.3854	0.349	0.2488	0.2122
NIPBL	0.5654	0.5664	0.4658	0.4664
GPBP1	0.8322	0.7456	0.8006	0.6958
FYB1	0.9452	0.6222	0.951	0.545
ERBIN	0.553	0.5928	0.5308	0.5676
PDE4D	0.9998	0.8828	1	0.8432
ZSWIM6	0.2792	0.2722	0.2762	0.257
IL6ST	0.0502	0.0829	0.034	0.0638
PIK3R1	0.9048	0.905	0.8568	0.8704
PARP8	0.2752	0.4314	0.2512	0.4372
ARL15	0.322	0.3972	0.172	0.2746
MEF2C	0.035	0.0577	0.0138	0.0369
FAM172A	0.323	0.3842	0.1952	0.2316
AP3B1	0.8208	0.875	0.789	0.8574
LHFPL2	0.5624	0.4508	0.5014	0.408
SSBP2	0.3116	0.3872	0.1966	0.285
RASA1	0.3164	0.6034	0.2676	0.5186
FBXL17	0.4156	0.3464	0.3432	0.2984
FER	0.1606	0.178	0.1288	0.1314
TENT2	0.5288	0.6136	0.45	0.5686
MEF2C-AS1	0.1016	0.1532	0.0908	0.1372
COMMD10	0.4676	0.4874	0.2994	0.3706
MARCHF3	0.0988	0.106	0.0294	0.0349
CD74	0.4298	0.8648	0.2702	0.8282
NR3C1	0.451	0.7852	0.379	0.7414
HAVCR2	0.44	0.4822	0.3576	0.4554
ARHGAP26	0.5404	0.6618	0.4878	0.6066
CSF1R	0.1088	0.1802	0.0331	0.0907
RNF130	0.5822	0.5756	0.3712	0.3536
DOCK2	0.651	0.6324	0.484	0.5344
RASGEF1C	0.04	0.0681000000000001	0.0125	0.0341
GMDS-DT	0.4924	0.5058	0.2662	0.2628
PHACTR1	0.9836	0.9494	0.9828	0.9276
LY86	0.4028	0.3456	0.1552	0.1612
