gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
VPS13D	0.5464	0.6616	0.4972	0.5938
PER3	0.8594	0.8696	0.8242	0.828
KIF1B	0.4916	0.7872	0.4066	0.7638
PRKCZ	0.009	0.0066	1e-04	1e-04
KCNAB2	0.0296	0.0316	0.0352	0.0433
ENO1	0.8406	0.9956	0.7696	0.991
GNB1	0.9864	0.9684	0.9852	0.9668
ACOT7	0.038	0.0939	0.049	0.123
CHD5	0.1852	0.1258	0.0162	0.0138
PARK7	0.2924	0.362	0.2498	0.3158
PRDM2	0.4386	0.4022	0.4418	0.3774
UBE4B	0.8302	0.8906	0.8266	0.9062
ACAP3	0.503	0.3636	0.2892	0.1462
FBXO44	0.6702	0.5784	0.6572	0.5762
RERE	0.0048	0.0072	0.0013	0.0023
EFHD2	0.2908	0.5262	0.2196	0.4286
PEX14	0.8246	0.8986	0.8062	0.8926
SKI	0.3738	0.313	0.2858	0.2354
CLSTN1	0.3024	0.254	0.283	0.2514
PIK3CD	0.7258	0.74	0.6244	0.7702
CAMTA1	0.5582	0.5744	0.552	0.532
KAZN	0.5114	0.523	0.4572	0.4582
MTOR	0.0361	0.0286	0.0483	0.0485
MTATP6P1	0.4302	0.3696	0.3594	0.3076
NIPAL3	0.7638	0.9996	0.6972	0.9994
KDM1A	0.499	0.4368	0.39	0.3184
FBXO42	0.7526	0.8612	0.7382	0.8554
PITHD1	0.2498	0.2242	0.212	0.1546
SPEN	0.4804	0.5342	0.4696	0.5484
CDC42	0.3144	0.4382	0.2818	0.4242
EIF4G3	0.2406	0.4246	0.218	0.4402
RAP1GAP	0.438	0.3314	0.31	0.1866
CAPZB	0.0088	0.0145	0.0087	0.0158
CROCCP3	0.0515	0.0682	0.0342	0.0416
USP48	0.7998	0.8908	0.7948	0.8812
DNAJC16	0.4472	0.6346	0.4126	0.6194
SRSF4	0.513	0.647	0.4734	0.5806
PLEKHM2	0.7926	0.8234	0.792	0.8206
RSRP1	0.1882	0.2036	0.2266	0.2256
STMN1	0.0926	0.0787	0.0776	0.0698
ARID1A	0.8832	0.8494	0.89	0.8496
STX12	0.9316	0.8656	0.9184	0.8452
HNRNPR	0.0526	0.0557	0.0084	0.0166
UBR4	0.8892	0.7458	0.8888	0.7298
HP1BP3	0.2628	0.2526	0.147	0.1234
ATP5IF1	0.4046	0.2416	0.3862	0.2626
SRRM1	0.4896	0.5968	0.4926	0.5984
RPL11	0.6714	0.5032	0.6208	0.4474
EYA3	0.4054	0.4318	0.444	0.4768
NBL1	0.9398	0.67	0.902	0.5666
PINK1	0.8966	0.9718	0.9006	0.9758
ATP13A2	0.0257	0.0195	0.0125	0.0128
CAMK2N1	0.5134	0.4756	0.3582	0.3214
LUZP1	0.0654	0.1082	0.0549	0.0892
TMEM50A	0.7622	0.7256	0.5952	0.6462
SRSF10	0.1954	0.168	0.0716	0.0788
PHACTR4	0.0938	0.0908	0.0416	0.0407
MACO1	0.1384	0.1264	0.129	0.1216
NBPF1	0.7	0.5952	0.6668	0.561
UQCRHL	0.4984	0.5544	0.4788	0.5574
SCMH1	0.5136	0.7632	0.376	0.6828
NCDN	0.6512	0.764	0.5592	0.701
THRAP3	0.3646	0.4024	0.298	0.3212
NFYC	0.3384	0.4808	0.3428	0.4514
EIF2B3	0.2888	0.2448	0.2166	0.1606
SMAP2	0.3676	0.2782	0.3794	0.3224
MAST2	0.7814	0.823	0.8014	0.8112
SFPQ	0.4774	0.4146	0.478	0.4168
MAP7D1	0.2974	0.223	0.298	0.2434
HPCAL4	0.136	0.2816	0.0904	0.24
RLF	0.809	0.9034	0.812	0.9056
ATP6V0B	0.6972	0.509	0.6454	0.4356
ERI3	0.9632	0.7738	0.9598	0.6898
PRDX1	0.46	0.7064	0.4808	0.7152
ZCCHC17	0.7062	0.548	0.7166	0.5482
KHDRBS1	0.3404	0.3002	0.3248	0.2632
CSMD2	0.5404	0.6044	0.5646	0.6238
AGO3	0.149	0.2078	0.1908	0.233
ST3GAL3	0.6394	0.7054	0.554	0.6838
HIVEP3	0.445	0.461	0.3584	0.3644
MACF1	0.6358	0.7016	0.651	0.7066
PPT1	0.4962	0.441	0.5388	0.4742
NASP	0.6314	0.7654	0.6454	0.7834
PUM1	0.0235	0.0114	0.0267	0.0116
YARS1	0.8306	0.6886	0.8268	0.6918
PHC2	0.5324	0.8172	0.5416	0.8384
AGO4	0.8218	0.9704	0.826	0.972
KIAA0319L	0.5458	0.4016	0.487	0.3796
RPS8	0.3864	0.4654	0.3478	0.3922
ZMYM4	0.151	0.2656	0.101	0.1854
GPBP1L1	0.0684	0.0492	0.0732	0.0424
BSDC1	0.4914	0.273	0.386	0.1578
ZSWIM5	0.9316	0.789	0.9264	0.7622
SDC3	0.378	0.3974	0.3136	0.3422
RBBP4	0.334	0.693	0.2114	0.6042
GRIK3	0.502	0.3994	0.5014	0.3754
MEAF6	0.843	0.947	0.7708	0.9506
NDUFS5	0.2026	0.151	0.2034	0.1424
UQCRH	0.5846	0.5806	0.5936	0.588
ZBTB8OS	0.137	0.1192	0.0801	0.0906
CCDC30	0.7968	0.8338	0.764	0.7804
RNF220	0.5864	0.9014	0.5768	0.9006
FOXJ3	0.5718	0.5566	0.588	0.534
_ENSG00000228436	0.9598	0.893	0.9442	0.8536
LRRC7	0.125	0.113	0.11	0.116
NRDC	0.0547	0.0678	0.0041	0.0079
MKNK1	0.1636	0.186	0.1212	0.1502
EPS15	0.706	0.6632	0.6968	0.659
SCP2	0.7436	0.9466	0.727	0.9428
TMEM59	0.449	0.564	0.3688	0.535
DOCK7	0.3544	0.2008	0.2774	0.1526
DNAJC6	0.463	0.6868	0.3138	0.6338
WLS	0.7864	0.8234	0.7958	0.8198
SRSF11	0.0068	0.0058	0.0016	0.0011
OSBPL9	0.2616	0.1934	0.2996	0.2256
ANKRD13C	0.6936	0.768	0.6744	0.7542
SGIP1	0.3312	0.3164	0.3214	0.2912
RNF11	0.5222	0.6732	0.3382	0.5338
ATPAF1	0.6696	0.708	0.5146	0.6168
ATG4C	0.9582	0.9622	0.959	0.965
SPATA6	0.666	0.5118	0.6444	0.478
ZRANB2	0.846	0.8468	0.8184	0.8222
PATJ	0.52	0.6004	0.4032	0.4712
HOOK1	0.4154	0.2804	0.404	0.2622
BTF3L4	0.242	0.1458	0.2372	0.1296
TUT4	0.951	0.8802	0.9478	0.8894
ZFYVE9	0.0404	0.0389	0.0349	0.0362
LRP8	0.2174	0.1554	0.2524	0.1772
SSBP3	0.664	0.992	0.6496	0.9936
ELAVL4	0.0739	0.1606	0.0752	0.1524
ZYG11B	0.059	0.119	0.0783	0.1362
USP24	0.2846	0.3162	0.2606	0.2936
PRKAA2	0.6476	0.8178	0.6644	0.7934
JAK1	0.5042	0.6006	0.4662	0.5538
MYSM1	0.0974	0.1366	0.084	0.107
RAB3B	0.0672	0.0446	0.0309	0.021
NEGR1	0.9852	0.839	0.9934	0.8418
DAB1	0.4922	0.542	0.5182	0.5554
PDE4B	0.9982	0.8992	0.999	0.9144
FAF1	0.5004	0.3734	0.4622	0.3368
AGBL4	0.1314	0.1238	0.1212	0.1306
MIER1	0.483	0.3222	0.3924	0.1784
GNG12-AS1	0.1532	0.0941	0.106	0.0499
_ENSG00000036549	0.2626	0.3048	0.267	0.3162
PKN2	0.2094	0.1208	0.175	0.0992
EVI5	0.0873	0.211	0.0869	0.1738
USP33	0.0255	0.0561	0.0374	0.0841
SH3GLB1	0.18	0.218	0.1626	0.2194
ACADM	0.8498	0.9482	0.8574	0.9302
ST6GALNAC5	0.4756	0.1952	0.4696	0.1994
ADGRL2	0.5636	0.6108	0.5524	0.6118
SSX2IP	0.458	0.5368	0.3854	0.4264
PTBP2	0.461	0.4554	0.5032	0.46
