gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.2406	0.5466	0.268	0.5274
VPS13D	0.5692	0.713	0.4498	0.6388
PER3	0.8238	0.948	0.8308	0.9452
KIF1B	0.5374	0.571	0.5722	0.5936
PRKCZ	0.142	0.1556	0.1432	0.126
KCNAB2	0.0163	0.0156	0.0022	0.0036
ENO1	0.3362	0.3114	0.3522	0.33
GNB1	0.7194	0.847	0.6842	0.8274
ACOT7	0.2348	0.3918	0.29	0.4104
CEP104	0.7572	0.5414	0.7004	0.4238
RPL22	0.7832	0.995	0.7816	0.9946
CHD5	0.8584	0.9888	0.7784	0.9904
PARK7	0.2314	0.3402	0.1394	0.2294
SRM	0.7646	0.8632	0.7378	0.855
MFN2	0.1356	0.1458	0.1172	0.1256
PRDM2	0.3038	0.2372	0.2768	0.184
UBE4B	0.0746	0.0788	0.0685	0.0623
ACAP3	0.7694	0.5774	0.7056	0.4166
C1orf159	0.7074	0.947	0.7202	0.9456
FBXO44	0.8674	0.6196	0.858	0.6162
RERE	0.7524	0.843	0.6768	0.7764
EFHD2	0.662	0.7526	0.5748	0.6766
PEX14	0.0765	0.0812	0.1022	0.0922
SKI	0.578	0.3914	0.4916	0.2796
SSU72	0.7518	0.8122	0.7576	0.7964
CLSTN1	0.2074	0.1596	0.137	0.1006
PLEKHG5	0.189	0.1762	0.2426	0.2336
CAMTA1	0.4704	0.4308	0.3902	0.3242
EXOSC10	0.0268	0.0297	0.0365	0.0354
GABRD	0.9912	0.6768	0.9876	0.5798
KAZN	0.3354	0.1712	0.3196	0.1694
AJAP1	0.3288	0.479	0.34	0.5038
MTOR	0.2196	0.259	0.19	0.214
DISP3	0.5452	0.5142	0.5666	0.5342
CCNL2	0.3708	0.5882	0.3616	0.5488
_ENSG00000230021	0.9482	0.9358	0.9188	0.8924
MRPL20	0.7986	0.8916	0.8096	0.8762
MTATP6P1	0.6578	0.308	0.4916	0.1884
KDM1A	0.3508	0.6548	0.1082	0.487
FBXO42	0.2444	0.1722	0.2888	0.2018
PITHD1	0.1576	0.1318	0.1504	0.1278
SPEN	0.0801	0.0984	0.046	0.053
CDC42	0.2808	0.3478	0.2912	0.3608
EIF4G3	0.3028	0.3186	0.2782	0.2738
RAP1GAP	0.593	0.4346	0.59	0.4228
CAPZB	0.6652	0.748	0.5952	0.7184
CROCCP3	0.1926	0.2222	0.1706	0.232
NUDC	0.1994	0.224	0.193	0.2082
USP48	0.6046	0.2984	0.6208	0.3218
DNAJC16	0.656	0.6968	0.6792	0.7208
SRSF4	0.6068	0.826	0.653	0.8432
PLEKHM2	0.0734	0.0371	0.0436	0.0209
SDHB	0.431	0.8572	0.4334	0.8634
ECE1	0.9774	0.9522	0.9782	0.955
RSRP1	0.0271	0.0294	0.0271	0.0294
STMN1	0.4418	0.5042	0.4094	0.4462
MAN1C1	0.8232	0.8196	0.8046	0.797
DHDDS	0.6426	0.525	0.6252	0.5022
ARID1A	0.3662	0.2406	0.3726	0.2378
STX12	0.8846	0.7668	0.8854	0.7484
HNRNPR	0.74	0.7024	0.736	0.6718
DNAJC8	0.8832	0.9096	0.8324	0.8684
AHDC1	0.75	0.5828	0.7378	0.5856
IFI6	0.6112	0.8072	0.604	0.8034
UBR4	0.6242	0.6566	0.6234	0.6486
HP1BP3	0.5704	0.4694	0.498	0.393
ATP5IF1	0.14	0.328	0.1682	0.3272
EPHB2	0.3938	0.4868	0.443	0.5178
SRRM1	0.1026	0.0488	0.1252	0.0537
RPL11	0.9984	0.9796	0.9964	0.9776
WDTC1	0.0843	0.1672	0.0757	0.1862
EYA3	0.4994	0.9744	0.4208	0.972
NBL1	0.668	0.8082	0.6078	0.7818
PINK1	0.6282	0.7628	0.6452	0.7678
ATP13A2	0.0973	0.1596	0.0316	0.1276
CAMK2N1	0.2492	0.1822	0.1008	0.0761
LUZP1	0.0068	0.0117	0.0118	0.0198
TRNAU1AP	0.138	0.1736	0.0829	0.1068
TMEM50A	0.3906	0.3528	0.3954	0.3562
SRSF10	0.9854	0.9874	0.984	0.9908
DDI2	0.0445	0.1004	0.0448	0.0855
HMGN2	0.0475	0.044	0.0356	0.0389
PHACTR4	0.7558	0.5858	0.7664	0.5894
MACO1	0.4606	0.598	0.4882	0.5888
NBPF1	0.849	0.993	0.8138	0.986
EMC1-AS1	0.1498	0.0721	0.104	0.0432
UQCRHL	0.5344	0.5106	0.4256	0.4342
_ENSG00000235912	0.31	0.1822	0.2504	0.17
SCMH1	0.6438	0.681	0.589	0.6356
NCDN	0.1336	0.1532	0.105	0.1372
KPNA6	0.1242	0.1788	0.1244	0.2068
THRAP3	0.1984	0.652	0.2248	0.651
YBX1	0.6592	0.5578	0.669	0.5844
NFYC	0.5946	0.6896	0.617	0.6952
EIF2B3	0.0427	0.0515	0.0262	0.0341
SMAP2	0.2398	0.1908	0.1842	0.1624
PPIE	0.5686	0.5506	0.6046	0.5696
POMGNT1	0.535	0.5638	0.568	0.5968
MAST2	0.843	0.8838	0.8344	0.8586
S100PBP	0.2528	0.2112	0.2716	0.2288
SFPQ	0.8494	0.9934	0.8074	0.9914
MAP7D1	0.3886	0.37	0.2982	0.2868
HPCAL4	0.1304	0.1066	0.0559	0.0617
RLF	0.0331	0.0376	0.0239	0.0286
RIMS3	0.0821	0.0637	0.0657	0.0559
ATP6V0B	0.5098	0.4586	0.5402	0.4668
ERI3	0.6832	0.7556	0.6718	0.7468
PTCH2	0.0059	0.0037	0.0096	0.0058
PRDX1	0.1326	0.0656	0.1124	0.0707
ADGRB2	0.3354	0.4834	0.172	0.3412
ZCCHC17	0.879	0.7748	0.853	0.715
FABP3	0.6786	0.5194	0.6902	0.5346
KHDRBS1	0.2416	0.2208	0.2298	0.1912
CSMD2	0.213	0.159	0.2022	0.1292
HPCA	0.3928	0.35	0.4106	0.3762
PSMB2	0.4994	0.3198	0.494	0.3222
AGO3	0.0873	0.0784	0.0861	0.0644
ST3GAL3	0.0853	0.0691	0.0931	0.0744
HIVEP3	0.1754	0.0904	0.0588	0.0249
MACF1	0.5902	0.5888	0.6024	0.5954
PPT1	0.1416	0.127	0.083	0.072
LRRC41	0.5338	0.6218	0.4968	0.6166
NASP	0.559	0.8458	0.5436	0.8404
PUM1	0.1156	0.158	0.1282	0.1804
YARS1	0.6694	0.4602	0.6438	0.4656
PHC2	0.466	0.5468	0.4528	0.5134
AGO4	0.7396	0.6428	0.7418	0.5826
KIAA0319L	0.114	0.1262	0.0925	0.1114
RPS8	0.876	0.79	0.8338	0.749
ZMYM4	0.5382	0.5088	0.537	0.5086
RHBDL2	0.7398	0.9072	0.6392	0.856
GPBP1L1	0.185	0.5056	0.1524	0.4262
BSDC1	0.4654	0.2654	0.4026	0.2018
ZSWIM5	0.3206	0.3084	0.1978	0.1992
SYNC	0.5708	0.9344	0.4616	0.9158
RBBP4	0.7056	0.9492	0.7036	0.9502
SMIM12	0.2158	0.2326	0.2316	0.2492
MEAF6	0.0484	0.0595	0.0312	0.0427
NDUFS5	0.6908	0.5878	0.6324	0.5528
UQCRH	0.6246	0.4824	0.5638	0.4366
MARCKSL1	0.6988	0.9968	0.5758	0.9958
ZBTB8OS	0.327	0.229	0.2936	0.2082
RIMKLA	0.0379	0.0559	0.038	0.0595
CCDC30	0.1068	0.1254	0.0816	0.123
RNF220	0.9084	0.8466	0.7992	0.7404
FOXJ3	0.1412	0.2752	0.1334	0.2566
INPP5B	0.6158	0.9166	0.5558	0.8882
_ENSG00000228436	0.0657	0.148	0.0272	0.1062
LRRC7	0.1882	0.2586	0.194	0.26
LRRC40	0.0887	0.0999	0.0101	0.0261
NRDC	0.1076	0.1552	0.0739	0.147
MKNK1	0.7818	0.9362	0.807	0.9466
HSPB11	0.7684	0.7582	0.7668	0.7374
EPS15	0.2664	0.4024	0.2158	0.3898
SCP2	0.4252	0.3302	0.437	0.3558
TMEM59	0.5712	0.4236	0.5712	0.4318
DOCK7	0.8764	0.8006	0.8736	0.81
DNAJC6	0.1144	0.1244	0.0176	0.0198
WLS	0.697	0.9278	0.7286	0.9352
SRSF11	0.1146	0.1418	0.0727	0.0988
OSBPL9	0.8734	0.5834	0.8834	0.613
ANKRD13C	0.4572	0.3264	0.4264	0.242
