gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
VPS13D	0.092	0.0628	0.1226	0.0943
KIF1B	0.9224	0.8712	0.8296	0.88
GNB1	0.9432	0.9586	0.9456	0.9608
PRDM2	0.2424	0.2862	0.2836	0.3148
RERE	0.2682	0.4982	0.2712	0.4954
CLSTN1	0.5442	0.4782	0.4782	0.3898
CAMTA1	0.6726	0.9312	0.7412	0.8878
ISG15	0.535	0.7544	0.4828	0.7116
HES4	0.868	0.8976	0.8016	0.8318
MTATP6P1	0.8494	0.6446	0.8176	0.6188
SPEN	0.5008	0.7756	0.4822	0.7846
CDC42	0.757	0.609	0.6948	0.5176
EIF4G3	2e-04	4e-04	3e-04	0.0011
CAPZB	0.2954	0.175	0.249	0.1538
SRSF4	0.767	0.9734	0.7462	0.9724
ECE1	0.5048	0.353	0.5382	0.369
ID3	0.516	0.4672	0.5014	0.4288
RSRP1	0.5342	0.4872	0.5158	0.4774
STMN1	0.1762	0.1818	0.1372	0.1134
ARID1A				
STX12	0.2392	0.2078	0.1874	0.1376
IFI6	0.145	0.073	0.1013	0.0416
HP1BP3	0.8208	0.81	0.8198	0.8242
ATP5IF1				
RPL11				
WASF2	0.561	0.592	0.5436	0.5852
CAMK2N1	0.3938	0.5344	0.278	0.4128
CLIC4	0.9964	0.6372	0.9944	0.635
LUZP1	0.7598	0.4984	0.7458	0.4794
SRSF10	0.9872	0.8652	0.9864	0.8566
PHACTR4	0.8746	0.8346	0.8622	0.8256
SCMH1	0.2422	0.2096	0.1852	0.1674
THRAP3				
TIE1	0.353	0.5026	0.3142	0.4318
SFPQ				
SLC2A1	0.5328	0.377	0.5046	0.3352
PRDX1				
KHDRBS1	0.7774	0.788	0.7804	0.7896
AGO3	0.3732	0.3984	0.3006	0.3156
MACF1	0.4026	0.7374	0.4178	0.7374
PUM1	0.0573	0.1254	0.0521	0.1072
AGO4				
RPS8	0.0295	0.0158	0.0196	0.0127
ZMYM4	0.1986	0.3522	0.2392	0.3952
ZSWIM5	0.436	0.4454	0.4706	0.4802
MFSD2A				
NDUFS5	0.0358	0.0294	5e-04	1e-04
RNF220	0.7322	0.9186	0.5262	0.9044
FOXJ3	0.8708	0.8154	0.8536	0.8146
LRRC7				
EPS15	0.6348	0.7292	0.5214	0.572
TMEM59	0.1974	0.193	0.092	0.103
LEPR				
SRSF11	0.1462	0.2792	0.1544	0.278
OSBPL9				
SGIP1				
ZRANB2	0.759	0.6214	0.7066	0.5418
PATJ	0.6768	0.8098	0.6692	0.8142
TUT4	0.9996	0.9196	0.9996	0.916
LRP8	0.4764	0.2814	0.3708	0.1882
CACHD1				
JAK1	0.0054	0.0087	7e-04	0.002
NFIA	0.0375	0.0375	0.0343	0.0445
NEGR1	0.203	0.2038	0.1266	0.1212
DAB1	0.1726	0.1686	0.1708	0.1334
