gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
DNAJC11	0.0895	0.198	0.0562	0.1304
VPS13D	0.1276	0.206	0.1128	0.1696
PER3	0.7812	0.571	0.7736	0.5298
KIF1B	0.8678	0.8198	0.8542	0.813
PRKCZ	0.149	0.1694	0.0571	0.0775
KCNAB2	0.1806	0.3838	0.0755	0.2354
ENO1	0.6702	0.665	0.6414	0.6626
GNB1	0.4576	0.3354	0.4228	0.2882
ACOT7	0.0887	0.197	0.0956	0.203
CEP104	0.8574	0.879	0.8488	0.8476
RPL22	0.0759	0.212	0.0462	0.171
CHD5	0.41	0.2626	0.0624	0.0282
PARK7	0.3936	0.5376	0.2592	0.4292
MFN2	0.4696	0.643	0.3796	0.5758
PRDM2	0.1762	0.1806	0.1918	0.1988
UBE4B	0.3416	0.3206	0.1774	0.1366
ACAP3	0.4526	0.3222	0.1038	0.0405
C1orf159	0.1468	0.1148	0.128	0.1044
NPHP4	0.617	0.603	0.5854	0.5364
FBXO44	0.3384	0.297	0.3158	0.2464
RERE	0.451	0.362	0.4108	0.3146
EFHD2	0.3064	0.6966	0.168	0.5982
PEX14	0.0715	0.16	0.0401	0.123
SKI	0.413	0.3796	0.268	0.2338
TPRG1L	0.2342	0.3436	0.168	0.2586
SSU72	0.7874	0.6036	0.7624	0.5442
CLSTN1	0.6532	0.8798	0.5646	0.8652
CAMTA1	0.117	0.1958	0.0728	0.158
EXOSC10	0.231	0.1674	0.1926	0.1168
AURKAIP1	0.607	0.4914	0.545	0.4356
CTNNBIP1	0.8448	0.7626	0.844	0.761
GABRD	0.3854	0.2202	0.253	0.09
NOC2L	0.2606	0.2586	0.167	0.1558
KAZN	0.1026	0.0989	0.0754	0.0598
AJAP1	0.7566	0.704	0.7532	0.7196
MTOR	0.6264	0.4958	0.6242	0.4788
CCNL2	0.3618	0.2462	0.3618	0.2242
_ENSG00000230021	0.7236	0.8054	0.604	0.6912
LINC01409	0.058	0.2798	0.0826	0.2958
MRPL20	0.6008	0.7454	0.5768	0.7202
CDK11B	0.0016	0.007	0.001	0.0051
MTATP6P1	0.489	0.4524	0.3638	0.3396
NIPAL3	0.931	0.9566	0.9426	0.9516
KDM1A	0.6064	0.8178	0.6168	0.8286
FBXO42	0.61	0.5018	0.5754	0.4378
PITHD1	0.7686	0.5988	0.7144	0.5322
CROCC	0.3332	0.2986	0.3082	0.2412
SPEN	0.4062	0.4668	0.357	0.4282
CDC42	0.628	0.7834	0.5614	0.717
EIF4G3	0.5916	0.5862	0.6002	0.585
RAP1GAP	0.2912	0.1956	0.1872	0.1064
CAPZB	0.1158	0.1007	0.1214	0.0977
CROCCP3	0.4882	0.575	0.4446	0.546
NUDC	0.4462	0.3674	0.4	0.3122
USP48	0.105	0.0855	0.0982	0.0828
DNAJC16	0.8264	0.8934	0.8204	0.8724
SRSF4	0.4974	0.4002	0.4886	0.417
MECR	0.185	0.1366	0.1324	0.0802
PLEKHM2	0.0401	0.0234	0.0607	0.0487
SDHB	0.775	0.9562	0.743	0.9522
IGSF21	0.1368	0.1174	0.0412	0.0482
ECE1	0.9654	0.7596	0.9586	0.7258
RSRP1	0.0369	0.0669	0.042	0.0772
STMN1	0.8996	0.8968	0.8704	0.885
MAN1C1	0.509	0.5406	0.3458	0.3942
DHDDS	0.757	0.7372	0.724	0.702
ARID1A	0.0051	0.0039	0.0092	0.0098
STX12	0.1816	0.2852	0.1904	0.2626
HNRNPR	0.8726	0.869	0.853	0.8208
DNAJC8	0.8052	0.579	0.7324	0.4884
AHDC1	0.8744	0.8808	0.8192	0.8516
UBR4	0.965	0.8842	0.9704	0.8712
HP1BP3	0.3024	0.4124	0.1958	0.3128
ATP5IF1	0.0523	0.1144	0.0608	0.1122
EPHB2	0.534	0.362	0.5572	0.3722
SRRM1	0.1076	0.1224	0.0986	0.1178
SH3BGRL3	0.5902	0.4098	0.5278	0.296
RPL11	0.2996	0.376	0.2014	0.2594
WDTC1	0.9928	0.987	0.993	0.9892
