cell_type	DESeq2	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD	KR_dca_direct_Was	KR_dca_direct_JSD	PS_dca_direct_Was	PS_dca_direct_JSD	MAST_glm	MAST_glmer	rank_sum	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
L2_3	131	4	0	0	0	0	0	1784	1041	8083	4891	7389	0	0	0	0
L4	114	0	0	0	0	0	0	403	3	4429	17	5601	0	0	0	0
Microglia	0	0	0	0	0	0	0	0	0	400	57	308	0	0	0	0
Endothelial	1	0	0	0	2	0	0	0	0	548	5	574	0	0	1	0
IN-SV2C	43	0	0	0	0	68	14	2806	1732	2473	379	3067	0	0	1520	706
AST-PP	13	0	0	0	0	0	0	0	0	1491	685	1251	0	0	0	0
IN-VIP	203	0	2	10	2	318	0	2264	1384	2642	97	3476	0	0	1233	731
IN-SST	144	0	0	11	10	1098	400	2453	2051	1820	12	3316	0	0	1725	1423
IN-PV	151	0	0	3	0	0	0	3014	2051	3850	1123	3426	0	0	2218	1497
AST-FB	0	5	3	5	6	0	0	0	0	304	3	317	0	0	0	0
Oligodendrocytes	32	0	0	0	0	0	0	572	492	916	519	778	0	0	0	0
L5_6	3	0	0	0	0	0	0	0	0	2953	20	5883	0	0	0	0
L5_6-CC	23	0	0	0	0	0	0	86	0	5293	33	7597	0	0	0	0
OPC	5	0	0	1	0	0	5	556	681	891	1	1129	0	0	0	0
Neu-NRGN-II	161	23	13	74	53	0	0	367	247	439	145	427	84	9	361	339
Neu-NRGN-I	82	1	0	29	4	0	0	0	0	823	250	869	0	0	131	16
Neu-mat	28	3	2	1	0	285	255	469	399	679	29	882	1	0	388	462
