gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
KIF1B	0.6928	0.5562	0.6576	0.4866
UBE4B	0.4798	0.5018	0.1162	0.092
RERE	0.9722	0.6382	0.9574	0.5194
CAMTA1	0.4388	0.5446	0.1168	0.3196
KAZN	0.278	0.3498	0.3392	0.3654
EIF4G3	0.9202	0.9804	0.8646	0.9712
RSRP1	0.2856	0.3804	0.059	0.131
STMN1	0.5174	0.5426	0.4886	0.494
HP1BP3	0.0181	0.039	0.0123	0.064
SRRM1	0.6384	0.8874	0.575	0.8462
CAMK2N1	0.5024	0.4478	0.1586	0.0909
CLIC4	0.7614	0.8926	0.6506	0.8742
PHACTR4	0.8264	0.9216	0.6448	0.8166
TESK2	0.941	0.693	0.887	0.492
AGO3	0.7282	0.74	0.4716	0.5316
MACF1	0.1144	0.1126	0.141	0.155
NASP	0.7586	0.5478	0.6944	0.4618
MARCKSL1	0.4312	0.335	0.394	0.3084
RNF220	0.6718	0.4638	0.5882	0.3546
FOXJ3	0.3042	0.3336	0.1182	0.1672
LRRC7	0.2054	0.1318	0.0684	0.0584
NRDC	0.3252	0.308	0.0527	0.0569
EPS15	0.8392	0.61	0.7768	0.471
TMEM59	0.0945	0.179	0.035	0.0667
DNAJC6	0.5634	0.3748	0.535	0.3928
SRSF11	0.5314	0.0391	0.388	0.0342
OSBPL9	0.8904	0.7542	0.8344	0.6618
SGIP1	0.311	0.295	0.3454	0.3288
ATG4C	0.4078	0.2544	0.322	0.1928
SPATA6	0.8684	0.7336	0.7828	0.6622
TUT4	0.5496	0.5368	0.3042	0.3658
NFIA	0.0302	0.0407	0.0373	0.0415
NEGR1	0.5038	0.406	0.2322	0.2092
PDE4B	0.4194	0.3508	0.3706	0.3432
FAF1	0.9936	0.6702	0.9894	0.5118
_ENSG00000036549	0.8306	0.7272	0.711	0.4936
PKN2	0.7698	0.8144	0.6172	0.712
EVI5	0.9152	0.9448	0.864	0.9054
PTBP2	0.811	0.54	0.7574	0.4586
ZNF644	0.6154	0.7128	0.5064	0.5706
TTLL7	0.604	0.5736	0.5596	0.5268
PRKACB	0.487	0.462	0.196	0.223
AK5	0.59	0.6684	0.5066	0.5968
DIPK1A	0.9808	0.7604	0.9664	0.6836
ST6GALNAC3	0.2722	0.2148	0.2284	0.1804
DPYD	0.694	0.4144	0.6114	0.267
CCDC18-AS1	0.9768	0.7966	0.9604	0.6224
RAP1A	0.6566	0.9242	0.4364	0.8776
SORT1	0.6726	0.3958	0.525	0.218
SLC22A15	0.7974	0.8764	0.7004	0.8394
ASH1L	0.8964	0.8826	0.8248	0.8056
SYT11	0.7788	0.9076	0.5574	0.8448
POGZ	0.5318	0.3844	0.2998	0.1906
GATAD2B_ENSG00000143614	0.9794	0.558	0.9436	0.2126
OTUD7B	0.6512	0.806	0.284	0.5322
COPA	0.265	0.4358	0.0645	0.2038
ATP1B1	0.5826	0.6	0.2792	0.304
POU2F1	0.4828	0.5536	0.32	0.4438
RABGAP1L	0.0549	0.2696	0.0276	0.1808
PBX1	0.0668	0.0713	0.0397	0.0388
DNM3	0.7436	0.4178	0.6774	0.3048
PPP1R12B	0.5066	0.6888	0.2566	0.511
PIK3C2B	0.5504	0.838	0.2218	0.6838
NAV1	0.4362	0.2538	0.1668	0.098
GLUL	0.3808	0.4366	0.3434	0.3922
RGL1	0.5952	0.3452	0.521	0.2826
CSRP1	0.2392	0.3414	0.2586	0.372
NFASC	0.4276	0.6148	0.2436	0.5006
CNTN2	0.6012	0.5386	0.6136	0.5394
MDM4	0.037	0.0291	0.0058	0.0049
COLGALT2	0.9828	0.7608	0.9748	0.7112
MIR181A1HG	0.3896	0.2818	0.3224	0.2446
NUCKS1	0.5374	0.544	0.1992	0.1668
CDK18	0.4062	0.4806	0.2934	0.3238
LPGAT1	0.6618	0.5782	0.5962	0.4512
CDC42BPA	0.8764	0.7806	0.7936	0.6116
ENAH	0.9186	0.959	0.9048	0.9574
TMEM63A	0.6326	0.701	0.408	0.5302
ARID4B	0.9286	0.696	0.8978	0.668
SDCCAG8_ENSG00000054282	0.8394	0.997	0.6596	0.9898
AKT3_ENSG00000117020	0.6158	0.4458	0.639	0.397
CEP170_ENSG00000143702	0.9188	0.8414	0.9096	0.8142
PLD5	0.5264	0.8038	0.3976	0.7462
PUM2	0.1016	0.0669	0.0082	0.0222
NCOA1	0.24	0.2558	0.1972	0.2076
CLIP4	0.4112	0.3224	0.3974	0.3078
BIRC6	0.6426	0.0796	0.573	0.0498
YWHAQ	0.303	0.1462	0.11	0.0443
KIDINS220	0.762	0.7502	0.7656	0.7542
DTNB	0.4514	0.4484	0.0702	0.0905
MBOAT2	0.7154	0.9704	0.6566	0.9706
RNF144A	0.698	0.7802	0.6442	0.7716
RASGRP3	0.589	0.712	0.4148	0.6418
DPYSL5	0.9036	0.9126	0.8632	0.8796
LINC00486	0.6102	0.6898	0.5244	0.5944
SILC1	0.7004	0.8642	0.4748	0.7592
MAP4K3	0.9644	0.477	0.9466	0.4
VRK2	0.7432	0.4694	0.7056	0.3678
PSME4	0.7394	0.914	0.6232	0.861
SPTBN1	0.3386	0.5254	0.1074	0.4066
RTN4	0.8708	0.9412	0.778	0.918
CCDC88A	0.3802	0.2816	0.2614	0.1978
USP34	0.8666	0.5634	0.7892	0.3138
STRN	0.6506	0.9006	0.4784	0.8876
PPM1B	0.8954	0.9076	0.8686	0.888
PREPL	0.5862	0.604	0.356	0.4758
FBXO11	0.3222	0.505	0.2586	0.4618
