gene	KR_nb_Was	KR_nb_JSD	PS_nb_Was	PS_nb_JSD
KIF1B	0.9138	0.7736	0.9244	0.7554
ENO1	0.1176	0.2016	0.1738	0.2458
RERE	0.5216	0.6526	0.3896	0.5246
PRDM16	0.596	0.5076	0.5952	0.4884
CLSTN1	0.33	0.29	0.2874	0.2182
CAMTA1	0.75	0.8794	0.74	0.861
EIF4G3	0.3928	0.5526	0.3502	0.5344
STMN1	0.1468	0.0881	0.0889	0.0367
MACF1	0.5356	0.5608	0.5174	0.5776
DOCK7	0.973	0.7678	0.9652	0.6922
SGIP1	0.101	0.1294	0.1354	0.1142
ECHDC2	0.455	0.2752	0.4076	0.266
TUT4	0.6718	0.4602	0.6008	0.348
CACHD1	0.7212	0.6862	0.701	0.6772
ACOT11	0.2186	0.3306	0.1704	0.2094
PLPP3	0.3306	0.4826	0.2132	0.3374
NFIA	0.0393	0.0457	0.1202	0.0924
NEGR1	0.9082	0.7344	0.8734	0.6684
PDE4B	0.7396	0.5342	0.685	0.4596
FAF1	0.0174	0.0167	0.0384	0.0167
F3	0.381	0.4202	0.2756	0.3292
VAV3				
PRKACB	0.638	0.2666	0.5552	0.18
DDAH1	8e-04	4e-04	0.0044	6e-04
RNPC3	0.0439	0.0796	0.0239	0.0514
AHCYL1	0.4214	0.7008	0.4186	0.6754
ASH1L	0.5882	0.9108	0.48	0.8542
C1orf61	0.5072	0.5876	0.533	0.5862
BCAN	0.477	0.4008	0.5104	0.419
POGZ	0.128	0.178	0.1348	0.1614
ATP1A2	0.4152	0.7614	0.3712	0.7128
POU2F1	0.3642	0.2622	0.275	0.1498
RABGAP1L	0.904	0.6992	0.9182	0.724
PBX1	0.2142	0.1794	0.2284	0.1662
DNM3	0.917	0.7838	0.9352	0.8164
NAV1	0.8668	0.8662	0.8508	0.8688
CRB1	0.5272	0.3672	0.5088	0.308
GLUL	0.5818	0.454	0.4962	0.3344
ASTN1	0.8036	0.6984	0.8022	0.7286
BRINP3	0.6152	0.3496	0.4872	0.2078
GPR37L1	0.6334	0.4668	0.553	0.3918
ITPKB	0.1708	0.175	0.2144	0.2278
CDC42BPA	0.6176	0.9884	0.617	0.9904
ESRRG	0.855	0.8236	0.8424	0.8044
AKT3_ENSG00000117020	0.0981	0.1018	0.1586	0.1164
AGT	0.8928	0.6176	0.8996	0.5842
FMN2	0.853	0.5812	0.8468	0.6338
RGS7	0.581	0.484	0.6018	0.529
NCOA1	0.9472	0.8988	0.9422	0.8684
EFR3B	0.8222	0.9506	0.7878	0.9334
ID2	0.272	0.3886	0.2638	0.3626
BIRC6	0.7214	0.7232	0.7308	0.678
LINC00486	0.8546	0.8512	0.7936	0.7818
LINC00299	0.6266	0.8626	0.6398	0.8416
SPTBN1	0.8766	0.726	0.8646	0.7286
RTN4	0.5436	0.5334	0.5036	0.5072
CCDC88A	0.7052	0.9924	0.69	0.9928
USP34	0.3454	0.4892	0.306	0.389
EHBP1	0.4212	0.3358	0.4124	0.3066
PREPL	0.6634	0.5388	0.581	0.451
ACYP2	0.3262	0.4634	0.287	0.3566
NRXN1	0.4998	0.456	0.3518	0.2946
BCYRN1	0.5304	0.458	0.4484	0.348
TMSB10	0.116	0.0542	0.0597	0.0182
CTNNA2	0.5368	0.4964	0.5492	0.52
ZNF638				
EXOC6B	0.6032	0.9858	0.5746	0.9834
SFXN5	0.9976	0.7618	0.9972	0.7074
LRRTM4	0.8394	0.9664	0.698	0.9254
MAP4K4	0.2182	0.185	0.2386	0.229
MERTK	0.4356	0.2954	0.4172	0.2986
R3HDM1	0.1164	0.0939	0.1146	0.0924
CLASP1	0.1028	0.0684	0.1442	0.0842
ARHGEF4	0.6694	0.9144	0.6332	0.8996
LRP1B	0.1894	0.2474	0.1588	0.209
DPP10	0.317	0.6516	0.3042	0.537
NCKAP5	0.2332	0.219	0.2082	0.219
OSBPL6	0.6358	0.7866	0.6772	0.8058
BAZ2B	0.6768	0.4984	0.6066	0.4084
CHN1	0.4442	0.4288	0.3554	0.3588
FMNL2	0.1968	0.403	0.1866	0.3076
MBD5	0.8112	0.7552	0.8214	0.7498
_ENSG00000228222	0.8598	0.9824	0.8548	0.9842
INO80D	0.9686	0.989	0.9514	0.9828
PARD3B	0.789	0.686	0.7748	0.6756
FAM171B	0.3664	0.456	0.2928	0.3928
ERBB4	0.1208	0.187	0.065	0.089
HIBCH	2e-04	2e-04	0.0018	7e-04
ITM2C	0.4376	0.5318	0.4452	0.5192
SERPINE2	0.74	0.9268	0.6278	0.8904
AGAP1	0.9558	0.6604	0.9502	0.6264
TBC1D5	0.1828	0.2156	0.2008	0.1712
CHL1	0.0995	0.0936	0.1386	0.0755
RBMS3	0.7454	0.6818	0.7536	0.6636
RPL32	0.3654	0.17	0.3548	0.1688
SLC6A1	0.2346	0.2162	0.2668	0.2186
LRRC3B	0.77	0.9712	0.7256	0.968
UBE2E2	0.5418	0.978	0.505	0.9814
SRGAP3	0.505	0.356	0.5302	0.362
ATG7	0.6652	0.418	0.592	0.3394
LMCD1-AS1	0.277	0.2262	0.3198	0.2546
RBM6				
MAP4	0.233	0.187	0.2426	0.2268
NKTR	0.7004	0.5066	0.6884	0.531
GOLGA4	0.932	0.6616	0.9422	0.6762
CLASP2	0.1754	0.146	0.1644	0.1306
PLXNB1	0.5744	0.9846	0.5492	0.9824
TRAK1	0.2982	0.5856	0.2756	0.6014
DOCK3	0.2392	0.2556	0.2328	0.2368
PDZRN3	0.4336	0.4456	0.41	0.3718
PTPRG	0.0407	0.0337	0.0411	0.0439
LRIG1	0.3012	0.175	0.2724	0.225
MAGI1	0.169	0.1954	0.2006	0.2162
CADPS				
PRICKLE2	0.7246	0.8738	0.4568	0.7756
CADM2	0.215	0.1636	0.1018	0.0851
TAFA1	0.2702	0.2156	0.1874	0.1596
ROBO2	0.1808	0.1498	0.205	0.1424
FHIT	0.4052	0.465	0.389	0.4146
ALDH1L1	0.4634	0.667	0.465	0.6832
KALRN	0.295	0.5014	0.2044	0.3598
ALCAM	0.0828	0.1006	0.138	0.0649
ZBTB20	0.2116	0.267	0.237	0.271
LSAMP	0.0675	0.0805	0.1094	0.1238
_ENSG00000239268	0.3034	0.2298	0.3126	0.2114
ATP2C1	0.2072	0.2262	0.2268	0.2424
ARHGEF26_ENSG00000114790	0.3668	0.5182	0.2834	0.3568
TMEM108	0.5096	0.3504	0.4922	0.3544
MED12L	0.154	0.1098	0.1506	0.1122
EPHB1	0.43	0.352	0.4288	0.3372
DGKG	0.208	0.3832	0.1658	0.2582
TNIK	0.0872	0.0977	0.1268	0.13
NLGN1	0.53	0.6304	0.3932	0.5306
NAALADL2	0.4576	0.5832	0.4638	0.6022
FGFR3	0.9754	0.8992	0.9734	0.895
ADD1	0.348	0.2378	0.3756	0.2572
ACAP2	0.1306	0.3438	0.1606	0.3666
ATP13A4	0.4314	0.422	0.448	0.4214
LPP	0.1554	0.1174	0.149	0.123
ATP5ME	0.611	0.571	0.6394	0.5868
SORCS2	0.9032	0.7526	0.9086	0.7558
NAT8L	0.4954	0.3188	0.2658	0.1122
ARAP2	0.1886	0.3532	0.2018	0.2816
LIMCH1				
ATP8A1				
GABRA2	0.6294	0.6246	0.6124	0.5168
GABRB1	0.0445	0.0311	0.026	0.026
PCDH7	0.2466	0.2854	0.2212	0.2324
KCNIP4_ENSG00000185774	0.1422	0.0888	0.0698	0.0481
RUFY3	0.6336	0.3988	0.5724	0.2774
SLC4A4	0.6606	0.356	0.6008	0.2688
ANKRD17	0.1924	0.1992	0.2308	0.2266
RASGEF1B	0.7096	0.5238	0.5932	0.3768
BMP2K	0.7768	0.6494	0.6802	0.5458
SHROOM3	0.5806	0.8142	0.5782	0.8156
SCD5	0.1041	0.2042	0.0659	0.1766
ADGRL3	0.1076	0.147	0.0802	0.1316
MAPK10	0.2182	0.2054	0.1562	0.1544
ARHGAP24	0.4786	0.8246	0.4372	0.7978
BMPR1B	0.8786	0.5664	0.8756	0.5724
PPP3CA	0.3738	0.2838	0.2672	0.1756
ANK2	0.3306	0.3784	0.2564	0.3546
GRID2	0.2034	0.2374	0.2224	0.2498
SPARCL1	0.4754	0.4712	0.4944	0.4782
PDLIM5	0.3082	0.4404	0.328	0.467
WDFY3	0.266	0.569	0.2374	0.571
TSPAN5	0.1018	0.0818	0.0949	0.0718
TRIM2	0.6784	0.994	0.6924	0.992
GRIA2	0.4386	0.3826	0.4084	0.3392
KIAA1109	0.6926	0.9752	0.6316	0.971
SLC7A11	0.1186	0.0841	0.0423	0.0343
NR3C2	0.1254	0.1438	0.0884	0.0835
INTU	0.7826	0.5454	0.795	0.5434
DCLK2	0.7742	0.809	0.6192	0.7502
LINC00499	0.8962	0.8572	0.8708	0.8396
CPE	0.7226	0.5434	0.66	0.4596
NEK1	0.686	0.8298	0.6704	0.8412
GPM6A	0.0115	0.0148	0.0128	0.0167
TRIO	0.9088	0.9294	0.8294	0.917
ADCY2	0.8264	0.8038	0.8274	0.7952
SLC1A3	0.7976	0.7374	0.7744	0.7028
LIFR	0.175	0.1476	0.191	0.1664
MYO10	0.5104	0.6058	0.5164	0.6056
RANBP3L	0.4916	0.4326	0.5064	0.4444
CTNND2	0.904	0.6536	0.8636	0.5884
FBXL7	0.1884	0.1039	0.207	0.1378
MAST4	0.2868	0.5044	0.3168	0.5176
ERBIN	0.1352	0.1294	0.1192	0.1154
PDE4D	0.6952	0.9786	0.7114	0.9726
ZSWIM6	0.4418	0.5936	0.4064	0.5508
MAP1B	0.3158	0.2784	0.2442	0.2258
MEF2C	0.8226	0.9924	0.7322	0.9898
SSBP2	0.0995	0.0435	0.1198	0.0579
FBXL17	0.5528	0.6444	0.4838	0.6074
FER	0.1768	0.2284	0.1874	0.2332
