gene	KR_saver_direct_Was	KR_saver_direct_JSD	PS_saver_direct_Was	PS_saver_direct_JSD
VPS13D	0.9008	0.7114	0.893	0.6438
KIF1B	0.5636	0.3506	0.4796	0.2368
GNB1	0.4742	0.377	0.3934	0.2454
PRDM2	0.1408	0.189	0.1738	0.215
RERE	0.5748	0.5132	0.4568	0.4246
CLSTN1	0.349	0.7088	0.2714	0.764
CAMTA1	0.704	0.8918	0.4222	0.825
ISG15	0.5914	0.9682	0.504	0.988
HES4	0.7476	0.6392	0.723	0.5694
MTATP6P1	0.4182	0.2486	0.4712	0.2744
SPEN	0.3106	0.3318	0.1806	0.2162
CDC42	0.3558	0.406	0.2262	0.3076
EIF4G3	0.8258	0.8824	0.7486	0.8296
CAPZB	0.4792	0.708	0.4238	0.5974
SRSF4	0.3954	0.4722	0.3276	0.422
ECE1	0.529	0.6972	0.5832	0.7456
ID3	0.2504	0.623	0.177	0.515
RSRP1	0.472	0.5326	0.2714	0.3336
STMN1	0.7646	0.912	0.752	0.9072
ARID1A	0.4584	0.6786	0.2418	0.5946
STX12	0.525	0.6292	0.4338	0.5522
IFI6	0.6578	0.9452	0.504	0.9394
HP1BP3	0.9316	0.8128	0.8064	0.7274
ATP5IF1	0.7038	0.8466	0.6714	0.8122
RPL11	0.53	0.5586	0.4416	0.447
WASF2	0.0858	0.1922	0.0168	0.0747
CAMK2N1	0.348	0.5644	0.2498	0.5484
CLIC4	0.2764	0.7744	0.2698	0.7254
LUZP1	0.5664	0.5968	0.5762	0.6098
SRSF10	0.7512	0.9624	0.7318	0.992
PHACTR4	0.3968	0.519	0.177	0.3656
SCMH1	0.5334	0.6184	0.4062	0.5772
THRAP3	0.6658	0.5616	0.6022	0.6444
TIE1	0.9496	0.928	0.9182	0.899
SFPQ	0.8816	0.8028	0.7716	0.7916
SLC2A1	0.9802	0.8136	0.9538	0.702
PRDX1	0.8608	0.704	0.8302	0.6428
KHDRBS1	0.6176	0.6306	0.476	0.5082
AGO3	0.4798	0.6354	0.3526	0.5982
MACF1	0.5918	0.5488	0.699	0.6424
PUM1	0.6034	0.3906	0.5212	0.2794
AGO4	0.5258	0.6248	0.2972	0.4396
RPS8	0.6856	0.3898	0.673	0.3898
ZMYM4	0.9632	0.9886	0.9504	0.996
ZSWIM5	0.451	0.5454	0.4236	0.5388
MFSD2A	0.7126	0.666	0.5286	0.5226
NDUFS5	0.7696	0.8906	0.6946	0.8352
