geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.703	0.775	0.871	0.774	0.691	0.742	0.848	0.708	0.855687966583773	0.30076597531489	0.909513525174481
EE	0.558	0.787	0.421	0.224	0.55	0.773	0.43	0.207	0.762438470865375	2.56172387604855e-06	0.974874099966204
EE	0.413	0.487	0.937	0.281	0.463	0.486	0.958	0.304	0.65841327166011	0.714275774387627	0.788308706951913
meanDE	0.006	0.002	0.002	0.013	0.006	0.007	0.004	0.01	0.000864566094957955	4.15098106765805e-20	0.000959699416059142
varDE	0.279	0.403	0.554	0.308	0.26	0.4	0.541	0.269	0.642008211751826	9.0216032300753e-32	0.194232944325403
varDE	0.015	0.014	0.002	0.025	0.016	0.007	0.001	0.021	0.42783733824076	1.3660015339779e-23	0.00020364062035958
EE	0.939	0.896	0.775	0.738	0.935	0.899	0.765	0.75	0.345225585957221	0.075305412555816	0.500277463788643
EE	0.631	0.917	0.448	0.576	0.584	0.909	0.406	0.58	0.759203795309782	0.0255821914688609	0.894850438528001
EE	0.371	0.466	0.354	0.778	0.321	0.439	0.341	0.761	0.478856177543051	0.128336168471132	0.803374942951246
EE	0.418	0.311	0.592	0.523	0.331	0.232	0.528	0.528	0.90786254784911	0.952440111106127	0.74488968240793
EE	0.935	0.952	0.949	0.446	0.939	0.955	0.949	0.463	0.927708533287904	0.562003620196003	0.825728488134994
EE	0.365	0.652	0.213	0.61	0.365	0.652	0.242	0.571	0.108437081286949	3.71190812249722e-11	0.058174251719158
EE	0.131	0.072	0.125	0.227	0.134	0.075	0.136	0.186	0.201066514061407	0.0227357147042878	0.181858452491054
EE	0.446	0.488	0.78	0.838	0.454	0.43	0.785	0.856	0.807825827835527	3.61479923780708e-06	0.934782961913807
EE	0.625	0.707	0.377	0.337	0.604	0.672	0.376	0.329	0.11555959328474	9.68250527600354e-09	0.0840696541478414
meanDE	0.175	0.154	0.103	0.047	0.172	0.17	0.122	0.057	0.0339441057161783	2.8411576830377e-27	0.0299266763554872
EE	0.816	0.707	0.594	0.601	0.816	0.722	0.608	0.645	0.964597587040428	3.84382099895429e-05	0.970961772071059
varDE	0.184	0.122	0.052	0.147	0.165	0.12	0.071	0.163	0.562708540349013	2.05110772474221e-15	0.0135302736470771
meanDE	0.014	0.01	0.018	0.036	0.01	0.008	0.008	0.053	0.00337910080009221	1.07027072873999e-35	0.000775591456242386
EE	0.996	0.969	0.999	0.234	0.989	0.967	0.996	0.23	0.954465453545741	0.00475312285946715	0.863288788412736
EE	0.828	0.86	0.678	0.189	0.873	0.855	0.695	0.198	0.871200807921203	0.000163233198509772	0.96664936209913
EE	0.305	0.332	0.276	0.152	0.306	0.338	0.285	0.156	0.238402442820783	0.0286270385009625	0.323070391988996
EE	0.663	0.436	0.909	0.963	0.672	0.382	0.911	0.95	0.486530717752385	0.00260481763323301	0.693123935695431
EE	0.947	0.516	0.909	0.441	0.937	0.431	0.905	0.447	0.728614087463376	0.0703114631937043	0.479557021015497
EE	0.222	0.165	0.259	0.139	0.227	0.176	0.271	0.16	0.675882833052203	0.648693372470837	0.708534519807735
EE	0.002	0.008	0.006	0.102	0.004	0.01	0.011	0.085	0.000155538176935672	4.37881696121941e-195	0.00046918235338872
EE	0.517	0.552	0.644	0.845	0.504	0.522	0.645	0.838	0.889958346167586	0.441996009436721	0.668962681854616
varDE	0.313	0.101	0.136	0.005	0.313	0.125	0.174	0.009	0.643646737298554	1.4521771987701e-18	0.0068214497663915
EE	0.657	0.75	0.779	0.775	0.703	0.765	0.793	0.782	0.642255825348708	0.84414977554113	0.850206031813627
EE	0.054	0.045	0.144	0.534	0.072	0.06	0.18	0.547	0.290610397165442	0.00960132742534033	0.106034783067871
EE	0.139	0.147	0.315	0.708	0.162	0.152	0.324	0.685	0.256582490313317	0.00162173680375728	0.34151032115289
EE	0.473	0.738	0.842	0.957	0.441	0.732	0.826	0.953	0.717702328888356	0.230955119591241	0.52729393046471
EE	0.388	0.677	0.655	0.852	0.328	0.678	0.674	0.869	0.15771883452319	0.0146259343663016	0.166513523999031
EE	0.015	0.016	0.01	0.012	0.007	0.008	0.008	0.01	0.0223193170597279	6.8947268768357e-15	0.000494507233139275
meanDE	0.733	0.84	0.925	0.52	0.767	0.857	0.923	0.496	0.361170798873729	1.19121435303276e-32	0.699012051489238
EE	0.981	0.819	0.361	0.24	0.973	0.862	0.384	0.218	0.168206464265529	0.00157898431341972	0.106238808370783
EE	0.167	0.11	0.146	0.159	0.135	0.105	0.111	0.17	0.474541590920719	0.191737926896684	0.372222503322871
EE	0.306	0.271	0.184	0.075	0.284	0.28	0.18	0.067	0.0673046412909183	2.99656613559055e-46	0.730713975720011
EE	0.684	0.63	0.562	0.232	0.686	0.6	0.61	0.236	0.755185520346692	0.0770115185738094	0.822315405064341
EE	0.271	0.282	0.322	0.392	0.311	0.281	0.324	0.4	0.967769119058286	0.311754835046618	0.103688685501661
